BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	ID	age	biomaterial_provider	cell_line	disease	isolate	sex	tissue	treatment	group
SAMN07445216	SRR5891589	2019-08-01T00:27:51Z	2017-08-03T03:18:48Z	2753376	407815521	2753376	148	105	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891589/SRR5891589.1	SRX3057331	KCL22_NDC_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403276	simple	9606	Homo sapiens	KCL22 NDC 1					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	3678ADB0A4195F6760E04CFB32B38B02	23617B1E328939C3017A6BFE08D7B959	7445216	KCL22 parental cellline, untreated, sample #1	University of Glasgow	9606	Sample name: KCL22 NDC 1	SRA: SRS2403276	KCL22 NDC 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.NDC
SAMN07445227	SRR5891590	2019-08-01T00:27:51Z	2017-08-03T03:28:36Z	37978969	5623472826	37978969	148	1498	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891590/SRR5891590.1	SRX3057330	KCL22Pon-Res_NDC_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403277	simple	9606	Homo sapiens	KCL22Pon-Res NDC 4					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	9B5FB577D39250A080ABECB5F6BA1AB7	BD48B1479107632E375398B589053015	7445227	KCL22 Pon-Res cellline, untreated, sample #4	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 4	SRA: SRS2403277	KCL22Pon-Res NDC 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.Pon_Res.NDC
SAMN07445226	SRR5891591	2019-08-01T00:27:51Z	2017-08-03T03:37:32Z	34128527	5057437812	34128527	148	1246	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891591/SRR5891591.1	SRX3057329	KCL22Pon-Res_NDC_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403278	simple	9606	Homo sapiens	KCL22Pon-Res NDC 3					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	5FDA09DFE62207AA3988F05D8D8E3EA8	267F7DDE4BCA3E63A418DEB0ED34E748	7445226	KCL22 Pon-Res cellline, untreated, sample #3	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 3	SRA: SRS2403278	KCL22Pon-Res NDC 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.Pon_Res.NDC
SAMN07445229	SRR5891592	2019-08-01T00:27:51Z	2017-08-03T03:36:41Z	30353991	4502353272	30353991	148	1120	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891592/SRR5891592.1	SRX3057328	KCL22Pon-Res_PON_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403279	simple	9606	Homo sapiens	KCL22Pon-Res PON 2					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	9A46389CF254B50A566E113161EC4D5E	80DA990BFB185CB07573902EF9D99923	7445229	KCL22 Pon-Res cellline, treated with 100nM Ponatinib (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22Pon-Res PON 2	SRA: SRS2403279	KCL22Pon-Res PON 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)	KCL22.Pon_Res.PON
SAMN07445224	SRR5891593	2019-08-01T00:27:51Z	2017-08-03T03:31:01Z	38848609	5755811827	38848609	148	1391	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891593/SRR5891593.1	SRX3057327	KCL22Pon-Res_NDC_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403280	simple	9606	Homo sapiens	KCL22Pon-Res NDC 1					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	C60F74125ABF8EBEC3349303544FBCA4	23D64E640519D17DB7D3E6FA204A923C	7445224	KCL22 Pon-Res cellline, untreated, sample #1	University of Glasgow	9606	Sample name: KCL22Pon-Res NDC 1	SRA: SRS2403280	KCL22Pon-Res NDC 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.Pon_Res.NDC
SAMN07445223	SRR5891594	2019-08-01T00:27:51Z	2017-08-03T03:18:16Z	468924	69266590	468924	147	21	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5891594/SRR5891594.1	SRX3057326	KCL22_PON_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403281	simple	9606	Homo sapiens	KCL22 PON 4					not applicable		no					UNIVERSITY OF GLASGOW	SRA596097		public	A6A94B0991C440BA410E6A10B6145376	5DF849180BA45A23B5359241807D715C	7445223	KCL22 parental cellline, treated with 100nM Ponatinib (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22 PON 4	SRA: SRS2403281	KCL22 PON 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM Ponatinib (24h)	KCL22.PON
SAMN07445472	SRR5892100	2018-06-12T12:33:13Z	2017-08-03T07:36:51Z	52628924	7810778912	52628924	148	1816	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892100/SRR5892100.1	SRX3057868	KCL22Pon-Res_PON+BEZ_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403780	simple	9606	Homo sapiens	KCL22Pon-Res PON+BEZ 1					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	01A1CECA5DDEBFC9CC369154BBF616E6	1B414ED4D70E3476A70295BA82C5A953	7445472	KCL22 Pon-Res cellline, treated with 100nM BEZ and 100nM Ponatinib (for 24h), sample #1	University of Glasgow	9606	Sample name: KCL22Pon-Res PON+BEZ 1	SRA: SRS2403780	KCL22Pon-Res PON+BEZ 1	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)	KCL22.Pon_Res.PON_BEZ
SAMN07445473	SRR5892101	2018-06-12T12:33:13Z	2017-08-03T07:43:20Z	47559244	7061726904	47559244	148	1645	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892101/SRR5892101.1	SRX3057867	KCL22Pon-Res_PON+BEZ_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403781	simple	9606	Homo sapiens	KCL22Pon-Res PON+BEZ 2					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	D80AC0655303F28B757D9FB1470BCCF7	9AFE0370C569DDB76E47A00C955E9E61	7445473	KCL22 Pon-Res cellline, treated with 100nM BEZ and 100nM Ponatinib (for 24h), sample #2	University of Glasgow	9606	Sample name: KCL22Pon-Res PON+BEZ 2	SRA: SRS2403781	KCL22Pon-Res PON+BEZ 2	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)	KCL22.Pon_Res.PON_BEZ
SAMN07445474	SRR5892102	2018-06-12T12:33:13Z	2017-08-03T07:27:16Z	43408857	6445970459	43408857	148	1489	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892102/SRR5892102.1	SRX3057866	KCL22Pon-Res_PON+BEZ_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403782	simple	9606	Homo sapiens	KCL22Pon-Res PON+BEZ 3					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	8DE9079E18F23B593F6B6040281933CF	E670298375767FEECE60874678D7242D	7445474	KCL22 Pon-Res cellline, treated with 100nM BEZ and 100nM Ponatinib (for 24h), sample #3	University of Glasgow	9606	Sample name: KCL22Pon-Res PON+BEZ 3	SRA: SRS2403782	KCL22Pon-Res PON+BEZ 3	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)	KCL22.Pon_Res.PON_BEZ
SAMN07445475	SRR5892103	2018-06-12T12:33:13Z	2017-08-03T07:28:43Z	40730632	6045638495	40730632	148	1415	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892103/SRR5892103.1	SRX3057865	KCL22Pon-Res_PON+BEZ_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403783	simple	9606	Homo sapiens	KCL22Pon-Res PON+BEZ 4					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	3C73346B6ABCE9858CE2A40C5FFDBFCE	31B6B783391E89D2ADD9AC5C18C82ED3	7445475	KCL22 Pon-Res cellline, treated with 100nM BEZ and 100nM Ponatinib (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22Pon-Res PON+BEZ 4	SRA: SRS2403783	KCL22Pon-Res PON+BEZ 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22 Pon-Res	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 + 100nM Ponatinib (24h)	KCL22.Pon_Res.PON_BEZ
SAMN07445455	SRR5892104	2018-06-12T12:33:12Z	2017-08-03T07:28:49Z	48959989	7262870579	48959989	148	1666	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892104/SRR5892104.1	SRX3057864	KCL22_NDC_8	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403784	simple	9606	Homo sapiens	KCL22 NDC 8					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	E05C9A8129EA647922E71354C64A4A4F	C4F559C1F030DE8E75835B6105275752	7445455	KCL22 parental cellline, untreated, sample #8	University of Glasgow	9606	Sample name: KCL22 NDC 8	SRA: SRS2403784	KCL22 NDC 8	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.NDC
SAMN07445454	SRR5892105	2018-06-12T12:33:12Z	2017-08-03T07:39:38Z	58978120	8757645306	58978120	148	1969	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892105/SRR5892105.1	SRX3057863	KCL22_NDC_7	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403785	simple	9606	Homo sapiens	KCL22 NDC 7					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	069BEEF2D3B52E1DF065F8ADBD783901	48E54134DF287764B57F1FB04E7D3419	7445454	KCL22 parental cellline, untreated, sample #7	University of Glasgow	9606	Sample name: KCL22 NDC 7	SRA: SRS2403785	KCL22 NDC 7	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.NDC
SAMN07445453	SRR5892106	2018-06-12T12:33:12Z	2017-08-03T07:26:24Z	41678491	6183930951	41678491	148	1431	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892106/SRR5892106.1	SRX3057862	KCL22_NDC_6	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403786	simple	9606	Homo sapiens	KCL22 NDC 6					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	3C2280E7C44C8275504028011E44D31F	D0DA2D73506DE2C4C5B5305E5236CF25	7445453	KCL22 parental cellline, untreated, sample #6	University of Glasgow	9606	Sample name: KCL22 NDC 6	SRA: SRS2403786	KCL22 NDC 6	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.NDC
SAMN07445452	SRR5892107	2018-06-12T12:33:12Z	2017-08-03T07:28:01Z	42067573	6243140512	42067573	148	1426	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892107/SRR5892107.1	SRX3057861	KCL22_NDC_5	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403787	simple	9606	Homo sapiens	KCL22 NDC 5					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	8ED2C867412CD2F7B59A17F371626A34	7A32510F8DE5A8E6ECC25CBD3F1AED4A	7445452	KCL22 parental cellline, untreated, sample #5	University of Glasgow	9606	Sample name: KCL22 NDC 5	SRA: SRS2403787	KCL22 NDC 5	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	NDC	KCL22.NDC
SAMN07445459	SRR5892108	2018-06-12T12:33:12Z	2017-08-03T07:28:54Z	46029629	6834294531	46029629	148	1582	GCA_000001405.13	https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5892108/SRR5892108.1	SRX3057860	KCL22_BEZ_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP114737	PRJNA396985		396985	SRS2403788	simple	9606	Homo sapiens	KCL22 BEZ 4					not applicable		no					UNIVERSITY OF GLASGOW	SRA596108		public	FFF753E6EF136A9EF5C7764F9E88B7AC	E6B30961CA556AD3FD9DF9E7D38D5748	7445459	KCL22 parental cellline, treated with 100nM NVP-BEZ235 (for 24h), sample #4	University of Glasgow	9606	Sample name: KCL22 BEZ 4	SRA: SRS2403788	KCL22 BEZ 4	not applicable	G. Vignir Helgason, Institute of Cancer Sciences, MVLS, University of Glasgow	KCL22	chronic myeloid leukemia	not applicable	not applicable	not applicable	100nM NVP-BEZ235 (24h)	KCL22.BEZ
