BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	passage	source_name	time	treatment
SAMN12818520	SRR10162423	2020-01-15T17:01:10Z	2019-09-23T09:02:47Z	11745971	2936492750	11745971	250	1356		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162423/SRR10162423.1	SRX6887815		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420913	simple	9606	Homo sapiens	GSM4089235							no					GEO	SRA966265		public	B86BC86FB170F5C37D3577154D194600	1609439099C9BBE27AA060D17148E901	12818520	AR-V7-30DMSO	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420913	GSM4089235	LNCaP AR-V7	Prostate Adenocarcinoma	passage 30-50	LNCaP AR-V7	24 hours	no ARD-61
SAMN12818522	SRR10162422	2020-01-15T17:01:10Z	2019-09-23T09:02:56Z	9562446	2390611500	9562446	250	1115		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162422/SRR10162422.1	SRX6887814		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420912	simple	9606	Homo sapiens	GSM4089234							no					GEO	SRA966265		public	64985756A3A5B712A7F8ACFBC45EB7A6	E774D4D3022552B0DCBFD2D595A941F7	12818522	AR-V7-26DMSO	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420912	GSM4089234	LNCaP AR-V7	Prostate Adenocarcinoma	passage 30-50	LNCaP AR-V7	24 hours	no ARD-61
SAMN12818523	SRR10162421	2020-01-15T17:01:10Z	2019-09-23T09:01:32Z	9065455	2266363750	9065455	250	1059		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162421/SRR10162421.1	SRX6887813		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420911	simple	9606	Homo sapiens	GSM4089233							no					GEO	SRA966265		public	7CC9678A7BF48BDD31BC787ED7F35096	37BDC4D9B87DFE75BA698E4A5BF1849D	12818523	AR-V7-15DMSO	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420911	GSM4089233	LNCaP AR-V7	Prostate Adenocarcinoma	passage 30-50	LNCaP AR-V7	24 hours	no ARD-61
SAMN12818525	SRR10162420	2020-01-15T17:01:10Z	2019-09-23T09:01:49Z	9034281	2258570250	9034281	250	1067		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162420/SRR10162420.1	SRX6887812		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420910	simple	9606	Homo sapiens	GSM4089232							no					GEO	SRA966265		public	33FDA099BD357E30F55E863C4D5CA620	4D83158C35C769281598E2E08429D8E2	12818525	AR-V7-13DMSO	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420910	GSM4089232	LNCaP AR-V7	Prostate Adenocarcinoma	passage 30-50	LNCaP AR-V7	24 hours	no ARD-61
SAMN12818527	SRR10162419	2020-01-15T17:01:10Z	2019-09-23T09:03:02Z	11560931	2890232750	11560931	250	1370		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162419/SRR10162419.1	SRX6887811		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420909	simple	9606	Homo sapiens	GSM4089231							no					GEO	SRA966265		public	9A3EC8706FF31002FACAAF3BED589735	4AD09E1DE1D3A96170AA12EA4ECF63EE	12818527	LNCaP EnzR 24h 100nM ARD 61b-3	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420909	GSM4089231	LNCaP-EnzR	Prostate Adenocarcinoma	passage 30-50	LNCaP-EnzR	24 hours	ARD-61
SAMN12818528	SRR10162418	2020-01-15T17:01:10Z	2019-09-23T09:02:14Z	13008549	3252137250	13008549	250	1535		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162418/SRR10162418.1	SRX6887810		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420908	simple	9606	Homo sapiens	GSM4089230							no					GEO	SRA966265		public	31C9B3DFB3DBE4360B9CD61AA74A9D4F	704A09A2932B14104545425E824D8A24	12818528	LNCaP EnzR 24h 100nM ARD 61b-2	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420908	GSM4089230	LNCaP-EnzR	Prostate Adenocarcinoma	passage 30-50	LNCaP-EnzR	24 hours	ARD-61
SAMN12818529	SRR10162417	2020-01-15T17:01:10Z	2019-09-23T09:01:57Z	11843613	2960903250	11843613	250	1404		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162417/SRR10162417.1	SRX6887809		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420907	simple	9606	Homo sapiens	GSM4089229							no					GEO	SRA966265		public	F1B7EB975018EC43DB7420D266EFE4DD	C33745695FADF45C0017878D3A87295A	12818529	LNCaP EnzR 24h 100nM ARD 61b-1	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420907	GSM4089229	LNCaP-EnzR	Prostate Adenocarcinoma	passage 30-50	LNCaP-EnzR	24 hours	ARD-61
SAMN12818531	SRR10162416	2020-01-15T17:01:10Z	2019-09-23T09:01:45Z	10332196	2583049000	10332196	250	1228		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10162416/SRR10162416.1	SRX6887808		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420906	simple	9606	Homo sapiens	GSM4089228							no					GEO	SRA966265		public	C62F2244E01D01AC2A4478A561D371FF	E8BC2680D9BC8A3FC621EC9269CE7D9F	12818531	LNCaP EnzR Cntl(w/MDV)-3	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420906	GSM4089228	LNCaP-EnzR	Prostate Adenocarcinoma	passage 30-50	LNCaP-EnzR	24 hours	no ARD-61
SAMN12818532	SRR10162415	2020-01-15T17:01:10Z	2019-09-23T09:01:51Z	10505190	2626297500	10505190	250	1253		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162415/SRR10162415.1	SRX6887807		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420905	simple	9606	Homo sapiens	GSM4089227							no					GEO	SRA966265		public	D17963D86270F7D1504CE355AFCAFBA5	6BB526BFD9A72B5DC0F572E818D3FAF2	12818532	LNCaP EnzR Cntl(w/MDV)-2	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420905	GSM4089227	LNCaP-EnzR	Prostate Adenocarcinoma	passage 30-50	LNCaP-EnzR	24 hours	no ARD-61
SAMN12818533	SRR10162414	2020-01-15T17:01:10Z	2019-09-23T09:01:23Z	9746476	2436619000	9746476	250	1165		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162414/SRR10162414.1	SRX6887806		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420904	simple	9606	Homo sapiens	GSM4089226							no					GEO	SRA966265		public	CA26E02376FEECB043A059E467511326	B0B37E8BF49CCE1147C73AC73B6856A1	12818533	LNCaP EnzR Cntl(w/MDV)-1	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420904	GSM4089226	LNCaP-EnzR	Prostate Adenocarcinoma	passage 30-50	LNCaP-EnzR	24 hours	no ARD-61
SAMN12818535	SRR10162413	2020-01-15T17:01:10Z	2019-09-23T09:01:44Z	15302219	3825554750	15302219	250	1730		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162413/SRR10162413.1	SRX6887805		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420903	simple	9606	Homo sapiens	GSM4089225							no					GEO	SRA966265		public	FB7CEB414EDA4CF00780D37A83CE847D	272CA621549FDAAD0DAEA8F529B84AC9	12818535	LNCap p.11 100nm ARD-61b 24h -3	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420903	GSM4089225	LNCaP	Prostate Adenocarcinoma	passage 30-50	LNCaP	24 hours	ARD-61
SAMN12818537	SRR10162412	2020-01-15T17:01:10Z	2019-09-23T09:01:21Z	15407225	3851806250	15407225	250	1785		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10162412/SRR10162412.1	SRX6887804		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420902	simple	9606	Homo sapiens	GSM4089224							no					GEO	SRA966265		public	37807580D418DDDFB5EC5CA2F3564498	E7F2EDA87FC8E7A5E987101D24583447	12818537	LNCap p.11 100nm ARD-61b 24h -2	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420902	GSM4089224	LNCaP	Prostate Adenocarcinoma	passage 30-50	LNCaP	24 hours	ARD-61
SAMN12818538	SRR10162411	2020-01-15T17:01:10Z	2019-09-23T09:02:56Z	14985835	3746458750	14985835	250	1697		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162411/SRR10162411.1	SRX6887803		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420901	simple	9606	Homo sapiens	GSM4089223							no					GEO	SRA966265		public	7C5D2449274F7F08E8DC0D4AED111224	5C5B65699CCD25BCC6F626D4753976C2	12818538	LNCap p.11 100nm ARD-61b 24h -1	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420901	GSM4089223	LNCaP	Prostate Adenocarcinoma	passage 30-50	LNCaP	24 hours	ARD-61
SAMN12818540	SRR10162410	2020-01-15T17:01:09Z	2019-09-23T09:03:22Z	15863228	3965807000	15863228	250	1816		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10162410/SRR10162410.1	SRX6887802		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420900	simple	9606	Homo sapiens	GSM4089222							no					GEO	SRA966265		public	56BFA4C885A5877B2DE522C3221961C8	2C4AC227353FEF883A0CFD6F455B4D40	12818540	LNCaP p.11 DMSO 24h -3	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420900	GSM4089222	LNCaP	Prostate Adenocarcinoma	passage 30-50	LNCaP	24 hours	no ARD-61
SAMN12818542	SRR10162409	2020-01-15T17:01:09Z	2019-09-23T09:00:40Z	15145764	3786441000	15145764	250	1783		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162409/SRR10162409.1	SRX6887801		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420899	simple	9606	Homo sapiens	GSM4089221							no					GEO	SRA966265		public	A832BBC31ABA30BA513E5E7647D2FB67	CF0D6A4985C69CEBD55FACC27A973D56	12818542	LNCaP p.11 DMSO 24h -2	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420899	GSM4089221	LNCaP	Prostate Adenocarcinoma	passage 30-50	LNCaP	24 hours	no ARD-61
SAMN12818543	SRR10162424	2020-01-15T17:01:10Z	2019-09-23T09:02:49Z	9432950	2358237500	9432950	250	1097		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10162424/SRR10162424.1	SRX6887816		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP222942	PRJNA573618	3	573618	SRS5420914	simple	9606	Homo sapiens	GSM4089236							no					GEO	SRA966265		public	DAFD024E4BE7AAB7F585942005979F23	ACE4F1B469CC9F0B9F287923298B9584	12818543	AR-V7-13ARD	Chinnaiyan, MCTP, University of Michigan	9606	SRS5420914	GSM4089236	LNCaP AR-V7	Prostate Adenocarcinoma	passage 30-50	LNCaP AR-V7	24 hours	ARD-61
