BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	internal id	method	replicate	source_name	cell_line	treatment	group
SAMN07555360	SRR5973422	2018-02-27T16:48:31Z	2017-08-24T17:40:36Z	46097942	4379304490	46097942	95	2694		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973422/SRR5973422.1	SRX3130746		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464719	simple	9606	Homo sapiens	GSM2753267							no					GEO	SRA602600		public	57A8652B067DCE6D2755534000D7295B	EFE84F9766C6DDBB5E896DB64B028149	7555360	BI00894999_1nM_4h_Volasertib_20nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464719	GSM2753267	J2733	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 4h and Volasertib, 20nM, 4h	BI00894999_Volasertib.1nM_20nM.4
SAMN07555359	SRR5973423	2018-02-27T16:48:31Z	2017-08-24T17:27:06Z	16250616	1543808520	16250616	95	937		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973423/SRR5973423.1	SRX3130747		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464720	simple	9606	Homo sapiens	GSM2753268							no					GEO	SRA602600		public	F0E78E5D965F1E42B41F0C35D7858523	85EDD62683C58E79DE183A89653E9986	7555359	BI00894999_1nM_4h_Volasertib_20nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464720	GSM2753268	J2742	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	BI00894999, 1nM, 4h and Volasertib, 20nM, 4h	BI00894999_Volasertib.1nM_20nM.4
SAMN07555358	SRR5973424	2018-02-27T16:48:31Z	2017-08-24T17:33:28Z	35046526	3329419970	35046526	95	1975		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973424/SRR5973424.1	SRX3130748		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464721	simple	9606	Homo sapiens	GSM2753269							no					GEO	SRA602600		public	4BDF726A09C9EC05D1EB38A682CEBF9A	EA8EC7F9096E28F7DB69CA2A9C348D00	7555358	BI00894999_35nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464721	GSM2753269	J2752	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 24h	BI00894999.35nM.24
SAMN07555356	SRR5973425	2018-02-27T16:48:31Z	2017-08-24T17:34:28Z	39257531	3729465445	39257531	95	2254		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973425/SRR5973425.1	SRX3130749		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464722	simple	9606	Homo sapiens	GSM2753270							no					GEO	SRA602600		public	0B273F283241212F7901BCCB8471AA58	4946151FE4B42DB760F60A868F4CCD0E	7555356	BI00894999_35nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464722	GSM2753270	J2760	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 24h	BI00894999.35nM.24
SAMN07555391	SRR5973426	2018-02-27T16:48:31Z	2017-08-24T17:28:37Z	23216568	2205573960	23216568	95	1287		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973426/SRR5973426.1	SRX3130750		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464723	simple	9606	Homo sapiens	GSM2753271							no					GEO	SRA602600		public	0F44785BB8C90B1CD729A5ABA2268FCC	3ED53B93B9554F153E3B7CB1906FD5B5	7555391	BI00894999_35nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464723	GSM2753271	J2768	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 24h	BI00894999.35nM.24
SAMN07555390	SRR5973427	2018-02-27T16:48:31Z	2017-08-24T17:27:50Z	21883217	2078905615	21883217	95	1232		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973427/SRR5973427.1	SRX3130751		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464724	simple	9606	Homo sapiens	GSM2753272							no					GEO	SRA602600		public	2DAE80E7195F2E9E8E75487CA708B29B	373F5CD75F5C9E690148A62E8C7F3DB4	7555390	BI00894999_35nM_24h_Volasertib_20nM_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464724	GSM2753272	J2753	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 24h and Volasertib, 20nM, 24h	BI00894999_Volasertib.35nM_20nM.24
SAMN07555389	SRR5973428	2018-02-27T16:48:31Z	2017-08-24T17:27:48Z	21542250	2046513750	21542250	95	1236		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973428/SRR5973428.1	SRX3130752		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464725	simple	9606	Homo sapiens	GSM2753273							no					GEO	SRA602600		public	D70F6FE64FB22A30EA6FF77F705252D4	3AA027856728BA036F4FC562D803B1E8	7555389	BI00894999_35nM_24h_Volasertib_20nM_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464725	GSM2753273	J2761	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 24h and Volasertib, 20nM, 24h	BI00894999_Volasertib.35nM_20nM.24
SAMN07555388	SRR5973429	2018-02-27T16:48:31Z	2017-08-24T17:26:59Z	14243408	1353123760	14243408	95	765		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973429/SRR5973429.1	SRX3130753		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464726	simple	9606	Homo sapiens	GSM2753274							no					GEO	SRA602600		public	061CFE416E45AF772AC224D0B9B360C1	DA5C0ACF3396D3D009052F50E6D90E29	7555388	BI00894999_35nM_24h_Volasertib_20nM_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464726	GSM2753274	J2883	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 24h and Volasertib, 20nM, 24h	BI00894999_Volasertib.35nM_20nM.24
SAMN07555387	SRR5973430	2018-02-27T16:48:31Z	2017-08-24T17:30:16Z	28532435	2710581325	28532435	95	1640		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973430/SRR5973430.1	SRX3130754		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464727	simple	9606	Homo sapiens	GSM2753275							no					GEO	SRA602600		public	D0E3EA391BB7B73C447A2748E1CC44DC	573D6E5E4BDD06877F74CF7A7FFBE098	7555387	BI00894999_35nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464727	GSM2753275	J2725	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 4h	BI00894999.35nM.4
SAMN07555384	SRR5973431	2018-02-27T16:48:31Z	2017-08-24T17:30:25Z	24916856	2367101320	24916856	95	1465		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973431/SRR5973431.1	SRX3130755		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464728	simple	9606	Homo sapiens	GSM2753276							no					GEO	SRA602600		public	2E8854DD4F97CD93757C24448DC5EF21	19B4BD6537E6D119C0F59CBE5C6AA030	7555384	BI00894999_35nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464728	GSM2753276	J2734	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 4h	BI00894999.35nM.4
SAMN07555385	SRR5973432	2018-02-27T16:48:31Z	2017-08-24T17:28:35Z	22405435	2128516325	22405435	95	1283		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973432/SRR5973432.1	SRX3130756		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464729	simple	9606	Homo sapiens	GSM2753277							no					GEO	SRA602600		public	65D70A289A4ECB58BE29ECDF952A9DD6	497E22CDDC4729544659F130B0644D40	7555385	BI00894999_35nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464729	GSM2753277	J2743	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 4h	BI00894999.35nM.4
SAMN07555386	SRR5973433	2018-02-27T16:48:31Z	2017-08-24T17:30:38Z	26614147	2528343965	26614147	95	1532		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973433/SRR5973433.1	SRX3130757		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464730	simple	9606	Homo sapiens	GSM2753278							no					GEO	SRA602600		public	AC8AD8D05EE619EDFA340C02604BCD6E	19A696954EE1BAD591534833CCFCAC23	7555386	BI00894999_35nM_4h_Volasertib_20nM_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464730	GSM2753278	J2726	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 4h and Volasertib, 20nM, 4h	BI00894999_Volasertib.35nM_20nM.4
SAMN07555383	SRR5973434	2018-02-27T16:48:31Z	2017-08-24T17:30:51Z	28191790	2678220050	28191790	95	1654		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973434/SRR5973434.1	SRX3130758		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464731	simple	9606	Homo sapiens	GSM2753279							no					GEO	SRA602600		public	3D11F0CE9C208AE661B82FBED05AE351	141F621A1315F37E2A454DA702184444	7555383	BI00894999_35nM_4h_Volasertib_20nM_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464731	GSM2753279	J2735	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 4h and Volasertib, 20nM, 4h	BI00894999_Volasertib.35nM_20nM.4
SAMN07555382	SRR5973435	2018-02-27T16:48:31Z	2017-08-24T17:29:33Z	26278977	2496502815	26278977	95	1508		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973435/SRR5973435.1	SRX3130759		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464732	simple	9606	Homo sapiens	GSM2753280							no					GEO	SRA602600		public	141A4D94727AE5ED030928EB66B67AB4	2DDD2721EEA7563276A0DC6B416644E7	7555382	BI00894999_35nM_4h_Volasertib_20nM_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464732	GSM2753280	J2744	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	BI00894999, 35nM, 4h and Volasertib, 20nM, 4h	BI00894999_Volasertib.35nM_20nM.4
SAMN07555380	SRR5973436	2018-02-27T16:48:31Z	2017-08-24T17:30:23Z	25913126	2461746970	25913126	95	1463		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973436/SRR5973436.1	SRX3130760		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464733	simple	9606	Homo sapiens	GSM2753281							no					GEO	SRA602600		public	DAD74CE1C486E9BD391BCF4443A359FF	F4C2330502434BF58D4F725F760F31EC	7555380	DMSO_24h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464733	GSM2753281	J2749	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	DMSO, 24h	DMSO.NA.24
SAMN07555379	SRR5973437	2018-02-27T16:48:31Z	2017-08-24T17:29:41Z	24925774	2367948530	24925774	95	1429		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973437/SRR5973437.1	SRX3130761		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464734	simple	9606	Homo sapiens	GSM2753282							no					GEO	SRA602600		public	1335F2A357617DD41802E0E0C5ECCDDF	F9A323FB1297E0A0901522366B84F9E4	7555379	DMSO_24h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464734	GSM2753282	J2757	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	DMSO, 24h	DMSO.NA.24
SAMN07555378	SRR5973438	2018-02-27T16:48:31Z	2017-08-24T17:29:11Z	23406167	2223585865	23406167	95	1287		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973438/SRR5973438.1	SRX3130762		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464735	simple	9606	Homo sapiens	GSM2753283							no					GEO	SRA602600		public	379EA541517F5D72F99A77A20FEBB664	D78E13D824CC53C2392FDBC8EA86E99A	7555378	DMSO_24h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464735	GSM2753283	J2765	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	DMSO, 24h	DMSO.NA.24
SAMN07555377	SRR5973439	2018-02-27T16:48:31Z	2017-08-24T17:30:06Z	26889912	2554541640	26889912	95	1549		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973439/SRR5973439.1	SRX3130763		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464736	simple	9606	Homo sapiens	GSM2753284							no					GEO	SRA602600		public	B9D2CE340E1C64D8CD7DE06E77DED532	31CDD22260BFD6A17A78DA45EB044A5C	7555377	DMSO_4h_rep1	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464736	GSM2753284	J2722	RNA-seq	rep1	MV-4-11-B cells	MV-4-11	DMSO, 4h	DMSO.NA.4
SAMN07555376	SRR5973440	2018-02-27T16:48:31Z	2017-08-24T17:31:05Z	31440685	2986865075	31440685	95	1844		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973440/SRR5973440.1	SRX3130764		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464737	simple	9606	Homo sapiens	GSM2753285							no					GEO	SRA602600		public	FEB71C932E8A90B94F7C2A5284443CC5	C637A8C20D812B023A98DFBEF5A89247	7555376	DMSO_4h_rep2	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464737	GSM2753285	J2731	RNA-seq	rep2	MV-4-11-B cells	MV-4-11	DMSO, 4h	DMSO.NA.4
SAMN07555381	SRR5973441	2018-02-27T16:48:31Z	2017-08-24T17:30:06Z	27187819	2582842805	27187819	95	1567		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5973441/SRR5973441.1	SRX3130765		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP116140	PRJNA400080	2	400080	SRS2464738	simple	9606	Homo sapiens	GSM2753286							no					GEO	SRA602600		public	E2B992AB7C54A3D1C836202CFB9051DB	8386831B644938781B8210C7AE967AAA	7555381	DMSO_4h_rep3	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2464738	GSM2753286	J2740	RNA-seq	rep3	MV-4-11-B cells	MV-4-11	DMSO, 4h	DMSO.NA.4
