BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	drug exposure time	knockout	source_name	treatment condition	group
SAMN12822740	SRR10166290	2020-01-01T12:33:08Z	2019-09-23T19:46:23Z	38235846	1950028146	0	51	698		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016629/SRR10166290.1	SRX6891057		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424036	simple	9606	Homo sapiens	GSM4091109							no					GEO	SRA966882		public	7FEF60D52A4C445F0EA749F68CEAFAD7	480B42E2835BFB00EC0B0ED9CF0302AE	12822740	STAT5_KO_AB17_4_S31	University of California San Francisco	9606	SRS5424036	GSM4091109	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEXIL7_16	CCRF_CEM.STAT5A_STAT5B.DEX_IL7.16
SAMN12822739	SRR10166291	2020-01-01T12:33:08Z	2019-09-23T19:45:38Z	34609148	1765066548	0	51	639		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166291/SRR10166291.1	SRX6891058		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424037	simple	9606	Homo sapiens	GSM4091110							no					GEO	SRA966882		public	4E270DF391897B6618D1BDB458F821DB	2D8CD436AE8748120FB169DCAA1B0527	12822739	STAT5_KO_AB17_5_S50	University of California San Francisco	9606	SRS5424037	GSM4091110	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEX_4	CCRF_CEM.STAT5A_STAT5B.DEX.4
SAMN12822737	SRR10166292	2020-01-01T12:33:08Z	2019-09-23T19:49:32Z	50416250	2571228750	0	51	937		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166292/SRR10166292.1	SRX6891059		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424038	simple	9606	Homo sapiens	GSM4091111							no					GEO	SRA966882		public	ABC517079F69040C7C00E747D6984858	437DBB9433AE543BC6B66D4351A1387C	12822737	STAT5_KO_AB17_6_S44	University of California San Francisco	9606	SRS5424038	GSM4091111	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	IL7_4	CCRF_CEM.STAT5A_STAT5B.IL7.4
SAMN12822736	SRR10166293	2020-01-01T12:33:08Z	2019-09-23T19:46:29Z	37246341	1899563391	0	51	694		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016629/SRR10166293.1	SRX6891060		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424039	simple	9606	Homo sapiens	GSM4091112							no					GEO	SRA966882		public	F71F458A0156FAC90BB67320AE833C3A	93B8EEC7C172036C847A73E2917EFC88	12822736	STAT5_KO_AB17_7_S30	University of California San Francisco	9606	SRS5424039	GSM4091112	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEXIL7_4	CCRF_CEM.STAT5A_STAT5B.DEX_IL7.4
SAMN12822734	SRR10166294	2020-01-01T12:33:08Z	2019-09-23T19:48:10Z	41647100	2124002100	0	51	773		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166294/SRR10166294.1	SRX6891061		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424040	simple	9606	Homo sapiens	GSM4091113							no					GEO	SRA966882		public	B0938C56E297593FA29033C53934F568	DFDBEA7E8546DCB03D031A09ED396DCF	12822734	STAT5_KO_AB1_1_S39	University of California San Francisco	9606	SRS5424040	GSM4091113	NA	STAT5A and STAT5B	CCRF-CEM leukemia cell line	VEH	CCRF_CEM.STAT5A_STAT5B.VEH.
SAMN12822733	SRR10166295	2020-01-01T12:33:08Z	2019-09-23T19:47:42Z	46675713	2380461363	0	51	872		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016629/SRR10166295.1	SRX6891062		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424041	simple	9606	Homo sapiens	GSM4091114							no					GEO	SRA966882		public	5378EF20A7033238DD3BED25A0E983D9	3CA3F0F7516E538BF4890972768C851E	12822733	STAT5_KO_AB1_2_S47	University of California San Francisco	9606	SRS5424041	GSM4091114	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEX_16	CCRF_CEM.STAT5A_STAT5B.DEX.16
SAMN12822732	SRR10166296	2020-01-01T12:33:08Z	2019-09-23T19:53:31Z	57123772	2913312372	0	51	1066		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166296/SRR10166296.1	SRX6891063		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424042	simple	9606	Homo sapiens	GSM4091115							no					GEO	SRA966882		public	BF511DD26B5C54533BB6F8FA5BF1C8D4	528690305DD86F4EB95503C69F2B9B0E	12822732	STAT5_KO_AB1_3_S54	University of California San Francisco	9606	SRS5424042	GSM4091115	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	IL7_16	CCRF_CEM.STAT5A_STAT5B.IL7.16
SAMN12822731	SRR10166297	2020-01-01T12:33:08Z	2019-09-23T19:47:14Z	36965672	1885249272	0	51	691		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1016629/SRR10166297.1	SRX6891064		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424043	simple	9606	Homo sapiens	GSM4091116							no					GEO	SRA966882		public	5C0577F4458294FE5F685CD0718849E4	0A9401E1563BE52511DC95AEBBBAC2A2	12822731	STAT5_KO_AB1_4_S34	University of California San Francisco	9606	SRS5424043	GSM4091116	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEXIL7_16	CCRF_CEM.STAT5A_STAT5B.DEX_IL7.16
SAMN12822730	SRR10166298	2020-01-01T12:33:08Z	2019-09-23T19:50:03Z	48139511	2455115061	0	51	886		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166298/SRR10166298.1	SRX6891065		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424044	simple	9606	Homo sapiens	GSM4091117							no					GEO	SRA966882		public	ADE29EB343A940EFB22E876D64A2F436	0FB6CD5AE22B8536FD0682A20D4DDC81	12822730	STAT5_KO_AB1_5_S41	University of California San Francisco	9606	SRS5424044	GSM4091117	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEX_4	CCRF_CEM.STAT5A_STAT5B.DEX.4
SAMN12822729	SRR10166299	2020-01-01T12:33:08Z	2019-09-23T19:57:43Z	67534367	3444252717	0	51	1245		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166299/SRR10166299.1	SRX6891066		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424045	simple	9606	Homo sapiens	GSM4091118							no					GEO	SRA966882		public	DF1C8889A17C579B0AF26E2301B1FA9E	039CC68AC78DBB3603FC440229F663E4	12822729	STAT5_KO_AB1_6_S39	University of California San Francisco	9606	SRS5424045	GSM4091118	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	IL7_4	CCRF_CEM.STAT5A_STAT5B.IL7.4
SAMN12822728	SRR10166300	2020-01-01T12:33:08Z	2019-09-23T19:51:01Z	40504642	2065736742	0	51	744		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166300/SRR10166300.1	SRX6891067		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424046	simple	9606	Homo sapiens	GSM4091119							no					GEO	SRA966882		public	441EDDA2FB32A4802A43F6EEC28577C1	9FE16D8DD30A65E19AFC9BC9CE473035	12822728	STAT5_KO_AB1_7_S21	University of California San Francisco	9606	SRS5424046	GSM4091119	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEXIL7_4	CCRF_CEM.STAT5A_STAT5B.DEX_IL7.4
SAMN12822727	SRR10166301	2020-01-01T12:33:08Z	2019-09-23T19:51:39Z	48930777	2495469627	0	51	909		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166301/SRR10166301.1	SRX6891068		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424047	simple	9606	Homo sapiens	GSM4091120							no					GEO	SRA966882		public	D590445E64B185C38754FB53221F6818	1F1B55369A4C8BDD9EB716D52E385FA5	12822727	STAT5_KO_AB22_1_S44	University of California San Francisco	9606	SRS5424047	GSM4091120	NA	STAT5A and STAT5B	CCRF-CEM leukemia cell line	VEH	CCRF_CEM.STAT5A_STAT5B.VEH.
SAMN12822724	SRR10166302	2020-01-01T12:33:08Z	2019-09-23T19:55:57Z	64902935	3310049685	0	51	1198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166302/SRR10166302.1	SRX6891069		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424048	simple	9606	Homo sapiens	GSM4091121							no					GEO	SRA966882		public	0EE1C04DF61C56B510AAE7E9F5ADC5FE	F9E4EA575313196AEC37A83BCF154CCD	12822724	STAT5_KO_AB22_2_S47	University of California San Francisco	9606	SRS5424048	GSM4091121	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEX16	CCRF_CEM.STAT5A_STAT5B.DEX.16
SAMN12822723	SRR10166303	2020-01-01T12:33:08Z	2019-09-23T19:48:11Z	33843256	1726006056	0	51	644		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166303/SRR10166303.1	SRX6891070		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424049	simple	9606	Homo sapiens	GSM4091122							no					GEO	SRA966882		public	739DBD285190BEEDB664AEB84D905D12	3B2D4CE5FB40E4E72CB93D0BE6B330E4	12822723	STAT5_KO_AB22_3_S52	University of California San Francisco	9606	SRS5424049	GSM4091122	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	IL7_16	CCRF_CEM.STAT5A_STAT5B.IL7.16
SAMN12822721	SRR10166304	2020-01-01T12:33:08Z	2019-09-23T19:48:04Z	39250936	2001797736	0	51	730		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166304/SRR10166304.1	SRX6891079		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424058	simple	9606	Homo sapiens	GSM4091123							no					GEO	SRA966882		public	30D465F3885AD8E694B693CE21A1DCBF	3ABA722426374EBCFF903C51576BCDC6	12822721	STAT5_KO_AB22_4_S51	University of California San Francisco	9606	SRS5424058	GSM4091123	16 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEXIL7_16	CCRF_CEM.STAT5A_STAT5B.DEX_IL7.16
SAMN12822720	SRR10166305	2020-01-01T12:33:08Z	2019-09-23T19:49:30Z	35000128	1785006528	0	51	650		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166305/SRR10166305.1	SRX6891080		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424059	simple	9606	Homo sapiens	GSM4091124							no					GEO	SRA966882		public	F08D776662E8068FB1A7A5B3F3FA3BE6	1AA522FACBD7C372D6E599B5D152D068	12822720	STAT5_KO_AB22_5_S37	University of California San Francisco	9606	SRS5424059	GSM4091124	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEX_4	CCRF_CEM.STAT5A_STAT5B.DEX.4
SAMN12822769	SRR10166306	2020-01-01T12:33:08Z	2019-09-23T19:51:04Z	40994453	2090717103	0	51	764		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166306/SRR10166306.1	SRX6891081		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424060	simple	9606	Homo sapiens	GSM4091125							no					GEO	SRA966882		public	C07966C13692396E1D9E9CFB112FBDBC	886D3B25E2DD704F00DF58AFCA9CCFC7	12822769	STAT5_KO_AB22_6_S49	University of California San Francisco	9606	SRS5424060	GSM4091125	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	IL7_4	CCRF_CEM.STAT5A_STAT5B.IL7.4
SAMN12822726	SRR10166307	2020-01-01T12:33:08Z	2019-09-23T19:51:03Z	38689539	1973166489	0	51	726		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166307/SRR10166307.1	SRX6891082		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424061	simple	9606	Homo sapiens	GSM4091126							no					GEO	SRA966882		public	AEF4480AAA6AE0C428FDAC3F3CACE467	11DED49A8BFA710A8CA6EB23C55BA2A0	12822726	STAT5_KO_AB22_7_S55	University of California San Francisco	9606	SRS5424061	GSM4091126	4 hours	STAT5A and STAT5B	CCRF-CEM leukemia cell line	DEXIL7_4	CCRF_CEM.STAT5A_STAT5B.DEX_IL7.4
SAMN12822725	SRR10166308	2020-01-01T12:33:08Z	2019-09-23T19:57:14Z	57966231	2956277781	0	51	1064		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166308/SRR10166308.1	SRX6891083		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424062	simple	9606	Homo sapiens	GSM4091127							no					GEO	SRA966882		public	47D654DBD5F2FF2DCCD8FBFB0CB96760	94E96EED4E92CDCC883948E5ABB4FEE8	12822725	Scramble_S18_1_S43	University of California San Francisco	9606	SRS5424062	GSM4091127	NA	None	CCRF-CEM leukemia cell line	VEH	CCRF_CEM.None.VEH.
SAMN12822768	SRR10166309	2020-01-01T12:33:08Z	2019-09-23T19:53:51Z	51480760	2625518760	0	51	949		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166309/SRR10166309.1	SRX6891084		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424063	simple	9606	Homo sapiens	GSM4091128							no					GEO	SRA966882		public	8D0D7B8749338642031FF9E1B71C8C30	73A224FD57FD9020348F07F2D9E7EB3F	12822768	Scramble_S18_2_S30	University of California San Francisco	9606	SRS5424063	GSM4091128	16 hours	None	CCRF-CEM leukemia cell line	DEX_16	CCRF_CEM.None.DEX.16
SAMN12822767	SRR10166310	2020-01-01T12:33:08Z	2019-09-23T19:51:10Z	41076512	2094902112	0	51	763		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10166310/SRR10166310.1	SRX6891085		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424064	simple	9606	Homo sapiens	GSM4091129							no					GEO	SRA966882		public	ADE8E03BED4166462B4433095768AD9F	AE4DB421ADA94D07D727912FE839D79A	12822767	Scramble_S18_3_S36	University of California San Francisco	9606	SRS5424064	GSM4091129	16 hours	None	CCRF-CEM leukemia cell line	IL7_16	CCRF_CEM.None.IL7.16
SAMN12822766	SRR10166311	2020-01-01T12:33:08Z	2019-09-23T20:03:00Z	79864577	4073093427	0	51	1467		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10166311/SRR10166311.1	SRX6891086		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424065	simple	9606	Homo sapiens	GSM4091130							no					GEO	SRA966882		public	9563C3393C6AE98792DE0E807AAB4829	EAD14C47B083F818DD0C8D0FD7614436	12822766	Scramble_S18_4_S28	University of California San Francisco	9606	SRS5424065	GSM4091130	16 hours	None	CCRF-CEM leukemia cell line	DEXIL7_16	CCRF_CEM.None.DEX_IL7.16
SAMN12822765	SRR10166312	2020-01-01T12:33:09Z	2019-09-23T19:51:12Z	38613476	1969287276	0	51	710		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10166312/SRR10166312.1	SRX6891087		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP223020	PRJNA573721		573721	SRS5424066	simple	9606	Homo sapiens	GSM4091131							no					GEO	SRA966882		public	89DBBA68B50CDEE1CEDC9DEC26FACA42	73D25839E9EDFBA4D54978EEAE3680EE	12822765	Scramble_S18_5_S48	University of California San Francisco	9606	SRS5424066	GSM4091131	4 hours	None	CCRF-CEM leukemia cell line	DEX_4	CCRF_CEM.None.DEX.4
