BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	isolate	sex	tissue	treatment	group
SAMN06167262	SRR5121738	2016-12-25T13:01:47Z	2016-12-20T12:57:05Z	16301164	1059575660	0	65	594		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121738/SRR5121738.1	SRX2436909	JAR-PV-3_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871747	simple	9606	Homo sapiens	JAR-PV-3_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	04E12095C17F7D9DF0CA7DFA5F0376C6	B4D21F0BD6D343B02052F8C20D2C94A8	6167262	Replicate 3	University of Rochester	9606	Sample name: JAR-PV-3_R1.fastq	SRA: SRS1871747	not applicable	not applicable	Jar choriocarcinoma	Replicate 3	not applicable	not applicable	Stimulated with 100 microM Pervanadate	Jar.Pervanadate_100uM
SAMN06167263	SRR5121717	2016-12-25T12:56:27Z	2016-12-20T12:54:19Z	14674352	953832880	0	65	535		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121717/SRR5121717.1	SRX2436888	JAR-PV-4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871726	simple	9606	Homo sapiens	JAR-PV-4_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	53D26454EAAB977E1D8D1AD185E2D62B	92D2DFBAF8681370E7A638E03320EAE8	6167263	Replicate 4	University of Rochester	9606	Sample name: JAR-PV-4_R1.fastq	SRA: SRS1871726	not applicable	not applicable	Jar choriocarcinoma	Replicate 4	not applicable	not applicable	Stimulated with 100 microM Pervanadate	Jar.Pervanadate_100uM
SAMN06167264	SRR5121736	2016-12-25T13:01:59Z	2016-12-20T12:57:00Z	21142771	1374280115	0	65	805		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121736/SRR5121736.1	SRX2436907	JAR-V-1_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871745	simple	9606	Homo sapiens	JAR-V-1_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	6A56F183A82B0D60B320948786D8252F	63C1BB7456881FCA087F2837BB4E1EE9	6167264	Replicate 1	University of Rochester	9606	Sample name: JAR-V-1_R1.fastq	SRA: SRS1871745	not applicable	not applicable	Jar choriocarcinoma	Replicate 1	not applicable	not applicable	Stimulated with 5 mM Valproic acid	Jar.ValproicAcid_5nM
SAMN06167265	SRR5121720	2016-12-25T12:58:37Z	2016-12-20T12:55:39Z	20423371	1327519115	0	65	757		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121720/SRR5121720.1	SRX2436891	JAR-V-2_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871729	simple	9606	Homo sapiens	JAR-V-2_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	BECB8FFA9464041B380EC17149F537EF	BAA7FB1485DE2750BE631A22F3818F4F	6167265	Replicate 2	University of Rochester	9606	Sample name: JAR-V-2_R1.fastq	SRA: SRS1871729	not applicable	not applicable	Jar choriocarcinoma	Replicate 2	not applicable	not applicable	Stimulated with 5 mM Valproic acid	Jar.ValproicAcid_5nM
SAMN06167266	SRR5121731	2016-12-25T13:01:45Z	2016-12-20T12:58:31Z	13971794	908166610	0	65	509		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121731/SRR5121731.1	SRX2436903	JAR-V-3_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871741	simple	9606	Homo sapiens	JAR-V-3_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	598AD453FB6A1F132AA38014C87D0417	26F6DB66FCA341DB7F7A6D90C5ADAD9F	6167266	Replicate 3	University of Rochester	9606	Sample name: JAR-V-3_R1.fastq	SRA: SRS1871741	not applicable	not applicable	Jar choriocarcinoma	Replicate 3	not applicable	not applicable	Stimulated with 5 mM Valproic acid	Jar.ValproicAcid_5nM
SAMN06167267	SRR5121722	2016-12-25T12:58:22Z	2016-12-20T12:55:38Z	14860711	965946215	0	65	542		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121722/SRR5121722.1	SRX2436893	JAR-V-4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871731	simple	9606	Homo sapiens	JAR-V-4_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	79B430EAC34814976554575B331AC6E3	5ED3A9E0999C9E0E1D5C17177954F33E	6167267	Replicate 4	University of Rochester	9606	Sample name: JAR-V-4_R1.fastq	SRA: SRS1871731	not applicable	not applicable	Jar choriocarcinoma	Replicate 4	not applicable	not applicable	Stimulated with 5 mM Valproic acid	Jar.ValproicAcid_5nM
SAMN06167268	SRR5121733	2016-12-25T12:58:17Z	2016-12-20T12:55:25Z	12039494	782567110	0	65	457		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121733/SRR5121733.1	SRX2436905	JAR-d_PV-1_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871743	simple	9606	Homo sapiens	JAR-d_PV-1_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	E6393ED8131149814F2EF728698E4B52	9FB05721B5A2026BB381683C4137F80D	6167268	Replicate 1	University of Rochester	9606	Sample name: JAR-d_PV-1_R1.fastq	SRA: SRS1871743	not applicable	not applicable	Jar choriocarcinoma	Replicate 1	not applicable	not applicable	Stimulated with 100 microM Pervanadate and 200 U/ml IFN-?	Jar.Pervanadate_100uM_200Uml_IFNy
SAMN06167269	SRR5121749	2016-12-25T13:01:43Z	2016-12-20T12:56:40Z	15400771	1001050115	0	65	575		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121749/SRR5121749.1	SRX2436920	JAR-d_PV-2_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871758	simple	9606	Homo sapiens	JAR-d_PV-2_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	F281A161A0D0C83ECACAEE17EDC14669	CB21520DDA0FAB78DD62C6BC60CDDB0F	6167269	Replicate 2	University of Rochester	9606	Sample name: JAR-d_PV-2_R1.fastq	SRA: SRS1871758	not applicable	not applicable	Jar choriocarcinoma	Replicate 2	not applicable	not applicable	Stimulated with 100 microM Pervanadate and 200 U/ml IFN-?	Jar.Pervanadate_100uM_200Uml_IFNy
SAMN06167270	SRR5121725	2016-12-25T13:01:24Z	2016-12-20T12:57:05Z	23880356	1552223140	0	65	877		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121725/SRR5121725.1	SRX2436896	JAR-q_PV-3_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871736	simple	9606	Homo sapiens	JAR-q_PV-3_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	71301960E84CBDC57E63D65EA981472F	F4362DC517A31E88280BEECA96B73E3D	6167270	Replicate 3	University of Rochester	9606	Sample name: JAR-q_PV-3_R1.fastq	SRA: SRS1871736	not applicable	not applicable	Jar choriocarcinoma	Replicate 3	not applicable	not applicable	Stimulated with 100 microM Pervanadate and 200 U/ml IFN-?	Jar.Pervanadate_100uM_200Uml_IFNy
SAMN06167271	SRR5121750	2016-12-25T12:58:32Z	2016-12-20T12:56:08Z	13557346	881227490	0	65	493		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121750/SRR5121750.1	SRX2436921	JAR-q_PV-4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871759	simple	9606	Homo sapiens	JAR-q_PV-4_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	60BA4719940A948F22C7BC321D64055D	D715D147202E12EF8C1E780DE0988A2C	6167271	Replicate 4	University of Rochester	9606	Sample name: JAR-q_PV-4_R1.fastq	SRA: SRS1871759	not applicable	not applicable	Jar choriocarcinoma	Replicate 4	not applicable	not applicable	Stimulated with 100 microM Pervanadate and 200 U/ml IFN-?	Jar.Pervanadate_100uM_200Uml_IFNy
SAMN06167272	SRR5121727	2016-12-25T12:58:19Z	2016-12-20T12:55:45Z	13000466	845030290	0	65	493		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121727/SRR5121727.1	SRX2436898	JAR-d_V-1_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871734	simple	9606	Homo sapiens	JAR-d_V-1_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	78A06983FC9B6CD52BE7F87ED58788D6	746F0E639D2D6732D27D56448C01D7C8	6167272	Replicate 1	University of Rochester	9606	Sample name: JAR-d_V-1_R1.fastq	SRA: SRS1871734	not applicable	not applicable	Jar choriocarcinoma	Replicate 1	not applicable	not applicable	Stimulated with 5 mM Valproic acid and 200 U/ml IFN-?	Jar.ValproicAcid_5nM_200Uml_IFNy
SAMN06167273	SRR5121741	2016-12-25T12:58:16Z	2016-12-20T12:55:20Z	11848259	770136835	0	65	439		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121741/SRR5121741.1	SRX2436912	JAR-d_V-2_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871750	simple	9606	Homo sapiens	JAR-d_V-2_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	BFF5A578B19C9A0A09735561EA66C1E0	C6B233946A9470A1242AB3FCDC3CF9A2	6167273	Replicate 2	University of Rochester	9606	Sample name: JAR-d_V-2_R1.fastq	SRA: SRS1871750	not applicable	not applicable	Jar choriocarcinoma	Replicate 2	not applicable	not applicable	Stimulated with 5 mM Valproic acid and 200 U/ml IFN-?	Jar.ValproicAcid_5nM_200Uml_IFNy
SAMN06167274	SRR5121746	2016-12-25T12:58:23Z	2016-12-20T12:56:04Z	14884884	967517460	0	65	537		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121746/SRR5121746.1	SRX2436917	JAR-q_V-3_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871755	simple	9606	Homo sapiens	JAR-q_V-3_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	F2925F7C2EA7D3431BC7C7B63D79F10A	F2740B23C13E2643E8B1C2BECB7DA9AA	6167274	Replicate 3	University of Rochester	9606	Sample name: JAR-q_V-3_R1.fastq	SRA: SRS1871755	not applicable	not applicable	Jar choriocarcinoma	Replicate 3	not applicable	not applicable	Stimulated with 5 mM Valproic acid and 200 U/ml IFN-?	Jar.ValproicAcid_5nM_200Uml_IFNy
SAMN06167275	SRR5121730	2016-12-25T12:58:28Z	2016-12-20T12:55:56Z	15963563	1037631595	0	65	588		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121730/SRR5121730.1	SRX2436902	JAR-q_V-4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871740	simple	9606	Homo sapiens	JAR-q_V-4_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	29FEFE400D1E0A2E5ACA233878B4D173	49FB73F608EE731F1967D613B10BEE12	6167275	Replicate 4	University of Rochester	9606	Sample name: JAR-q_V-4_R1.fastq	SRA: SRS1871740	not applicable	not applicable	Jar choriocarcinoma	Replicate 4	not applicable	not applicable	Stimulated with 5 mM Valproic acid and 200 U/ml IFN-?	Jar.ValproicAcid_5nM_200Uml_IFNy
SAMN06167276	SRR5121719	2016-12-25T12:56:27Z	2016-12-20T12:54:58Z	12464451	810189315	0	65	475		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121719/SRR5121719.1	SRX2436890	Hela-d-1_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871728	simple	9606	Homo sapiens	Hela-d-1_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	58B7CDF34C335E86D55E745088CBDF68	3AB4EC53690CDB6CA046DE7829AA8A73	6167276	Replicate 1	University of Rochester	9606	Sample name: Hela-d-1_R1.fastq	SRA: SRS1871728	not applicable	not applicable	HeLa	Replicate 1	not applicable	not applicable	Stimulated with 200 U/ml IFN-?	HeLa.200Uml_IFNy
SAMN06167277	SRR5121745	2016-12-25T13:01:54Z	2016-12-20T12:57:04Z	18915618	1229515170	0	65	700		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121745/SRR5121745.1	SRX2436916	Hela-d-2_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871754	simple	9606	Homo sapiens	Hela-d-2_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	245EF3CFDB8C520CDFCC2AB2122A22A2	D0E73201F056F005DBAFBF38C8149BA4	6167277	Replicate 2	University of Rochester	9606	Sample name: Hela-d-2_R1.fastq	SRA: SRS1871754	not applicable	not applicable	HeLa	Replicate 2	not applicable	not applicable	Stimulated with 200 U/ml IFN-?	HeLa.200Uml_IFNy
SAMN06167278	SRR5121737	2016-12-25T12:58:35Z	2016-12-20T12:55:38Z	19101384	1241589960	0	65	704		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121737/SRR5121737.1	SRX2436908	Hela-q-3_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871746	simple	9606	Homo sapiens	Hela-q-3_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	332FC180E7C05C076541821845F31B62	182622618C077542AAC557DD385FC32A	6167278	Replicate 3	University of Rochester	9606	Sample name: Hela-q-3_R1.fastq	SRA: SRS1871746	not applicable	not applicable	HeLa	Replicate 3	not applicable	not applicable	Stimulated with 200 U/ml IFN-?	HeLa.200Uml_IFNy
SAMN06167279	SRR5121718	2016-12-25T13:04:46Z	2016-12-20T12:59:55Z	18213253	1183861445	0	65	665		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121718/SRR5121718.1	SRX2436889	Hela-q-4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871727	simple	9606	Homo sapiens	Hela-q-4_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	F33A041757A8B3EF9A2CEEF94F9A1E2F	E58FC60E2BA589F62CC024AA8426CCD8	6167279	Replicate 4	University of Rochester	9606	Sample name: Hela-q-4_R1.fastq	SRA: SRS1871727	not applicable	not applicable	HeLa	Replicate 4	not applicable	not applicable	Stimulated with 200 U/ml IFN-?	HeLa.200Uml_IFNy
SAMN06167280	SRR5121747	2016-12-25T12:58:27Z	2016-12-20T12:56:40Z	15295320	994195800	0	65	577		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR5121747/SRR5121747.1	SRX2436918	Hela-C-1_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP095402	PRJNA358198		358198	SRS1871756	simple	9606	Homo sapiens	Hela-C-1_R1.fastq					not applicable		no					UNIVERSITY OF ROCHESTER	SRA505728		public	1760A46A9D1989B522760DC15F021665	E89DFD3F29C8E60E9A63DC89ED0C9A7A	6167280	Replicate 1	University of Rochester	9606	Sample name: Hela-C-1_R1.fastq	SRA: SRS1871756	not applicable	not applicable	HeLa	Replicate 1	not applicable	not applicable	untreated controls	HeLa.control
