BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	source_name	treatment
SAMN26542532	SRR18280484	2022-03-26T14:35:29Z	2022-03-11T15:31:28Z	9491617	958653317	0	101	312		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280484/SRR18280484	SRX14418385	GSM5941973	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227489	simple	9606	Homo sapiens	GSM5941973							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	A69F90BE99BDF4729D4FE6F31ECC36AC	B5042418DC8747CDEFFCD6AE0BE7561B	26542532	MPAF_YKL5124_100nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227489	GSM5941973	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_1h
SAMN26542533	SRR18280485	2022-03-26T14:35:28Z	2022-03-11T15:32:58Z	11619954	1173615354	0	101	377		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280485/SRR18280485	SRX14418384	GSM5941972	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227487	simple	9606	Homo sapiens	GSM5941972							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	8CB55D433B21478D82D45DEF84CA17BC	F0CB52F7C76EA37183572BBF927C54FD	26542533	MPAF_YKL5124_100nM_1h_	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227487	GSM5941972	Human Adult Fibroblasts	MPAF_cell_line	YKL5124_100nM_1h_
SAMN26542534	SRR18280486	2022-03-26T14:35:28Z	2022-03-11T15:34:41Z	17164177	1733581877	0	101	558		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280486/SRR18280486	SRX14418383	GSM5941971	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227488	simple	9606	Homo sapiens	GSM5941971							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	5774450F58FCC46299298B20319A0899	F4CDA5A9303C14374969B63B6E9700F0	26542534	MPAF_THZ531_100nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227488	GSM5941971	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_24h
SAMN26542535	SRR18280487	2022-03-26T14:35:28Z	2022-03-11T15:32:43Z	10674089	1078082989	0	101	349		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280487/SRR18280487	SRX14418382	GSM5941970	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227486	simple	9606	Homo sapiens	GSM5941970							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	D8A42FBD2997CBD0C593142B21329BE2	0008FEF8C0D62F4FF230A59A9F22100F	26542535	MPAF_THZ531_100nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227486	GSM5941970	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_24h
SAMN26542536	SRR18280488	2022-03-26T14:35:28Z	2022-03-11T15:33:39Z	11596247	1171220947	0	101	379		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280488/SRR18280488	SRX14418381	GSM5941969	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227485	simple	9606	Homo sapiens	GSM5941969							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	BBF735F0BBA559200D1F687B41B4BE35	B73B7123A290C48EAF7A1A655A50FEDC	26542536	MPAF_THZ531_100nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227485	GSM5941969	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_24h
SAMN26542537	SRR18280489	2022-03-26T14:35:28Z	2022-03-11T15:31:49Z	11187918	1129979718	0	101	369		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280489/SRR18280489	SRX14418380	GSM5941968	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227483	simple	9606	Homo sapiens	GSM5941968							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	3693DBC5CAE245293805856DB00E3041	669EF257EA9235A7FD6356271BD0E950	26542537	MPAF_THZ531_100nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227483	GSM5941968	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_1h
SAMN26542538	SRR18280490	2022-03-26T14:35:28Z	2022-03-11T15:31:13Z	9396164	949012564	0	101	311		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280490/SRR18280490	SRX14418379	GSM5941967	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227484	simple	9606	Homo sapiens	GSM5941967							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	6040E8968F983DF1CDF5FD5E2883AAC4	7E520418430213D8B8AC367A5ACCB8EC	26542538	MPAF_THZ531_100nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227484	GSM5941967	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_1h
SAMN26542539	SRR18280491	2022-03-26T14:35:28Z	2022-03-11T15:33:21Z	15576988	1573275788	0	101	506		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280491/SRR18280491	SRX14418378	GSM5941966	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227482	simple	9606	Homo sapiens	GSM5941966							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	CFBF8B1149E875A72E394FA15229B89E	B25FA4C35F3A47904B36CC8F96DF0746	26542539	MPAF_THZ531_100nM_1h_	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227482	GSM5941966	Human Adult Fibroblasts	MPAF_cell_line	THZ531_100nM_1h_
SAMN26542540	SRR18280492	2022-03-26T14:35:28Z	2022-03-11T15:32:41Z	12678141	1280492241	0	101	411		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280492/SRR18280492	SRX14418377	GSM5941965	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227481	simple	9606	Homo sapiens	GSM5941965							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	F1512CC904061B21039A7A72A0CD8F40	CAAC576A94AA75357165AA6FFD1664DB	26542540	MPAF_DMSO_0.0001%_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227481	GSM5941965	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_24h
SAMN26542541	SRR18280493	2022-03-26T14:35:28Z	2022-03-11T15:34:16Z	11291351	1140426451	0	101	373		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280493/SRR18280493	SRX14418376	GSM5941964	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227479	simple	9606	Homo sapiens	GSM5941964							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	D96C3FD60C4A685A74713E6C7B5A186D	386954CC60E48CA84F616D282AFA394A	26542541	MPAF_DMSO_0.0001%_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227479	GSM5941964	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_24h
SAMN26542542	SRR18280494	2022-03-26T14:35:28Z	2022-03-11T15:32:38Z	12255687	1237824387	0	101	401		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280494/SRR18280494	SRX14418375	GSM5941963	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227480	simple	9606	Homo sapiens	GSM5941963							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	8502C0D3EE82CD93B30326A09A31D389	C9CAC810C1AA78AE78AACE22E8169A51	26542542	MPAF_DMSO_0.0001%_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227480	GSM5941963	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_24h
SAMN26542543	SRR18280495	2022-03-26T14:35:28Z	2022-03-11T15:33:10Z	13933048	1407237848	0	101	454		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280495/SRR18280495	SRX14418374	GSM5941962	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227478	simple	9606	Homo sapiens	GSM5941962							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	F4C3518034FFD8F7CD29AD7944661013	6F611A52FCE19ECF7951073728F2AFC9	26542543	MPAF_DMSO_0.0001%_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227478	GSM5941962	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_1h
SAMN26542544	SRR18280496	2022-03-26T14:35:28Z	2022-03-11T15:32:29Z	11024809	1113505709	0	101	384		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280496/SRR18280496	SRX14418373	GSM5941961	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227477	simple	9606	Homo sapiens	GSM5941961							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	796E323DD50206771BE911921576B20C	E6CFF7314E3A2EB15FEED4B1BB9BC783	26542544	MPAF_DMSO_0.0001%_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227477	GSM5941961	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_1h
SAMN26542545	SRR18280497	2022-03-26T14:35:28Z	2022-03-11T15:33:22Z	13192168	1332408968	0	101	435		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280497/SRR18280497	SRX14418372	GSM5941960	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227475	simple	9606	Homo sapiens	GSM5941960							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	E5C92E64C38F06466441BAE6EC1CB54D	45CFF70AF759CA0EE6BBC3B360BD70DF	26542545	MPAF_DMSO_0.0001%_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227475	GSM5941960	Human Adult Fibroblasts	MPAF_cell_line	DMSO_0.0001%_1h
SAMN26542546	SRR18280498	2022-03-26T14:35:28Z	2022-03-11T15:32:40Z	9910762	1000986962	0	101	328		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280498/SRR18280498	SRX14418371	GSM5941959	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227476	simple	9606	Homo sapiens	GSM5941959							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	D3AF6C3377078CE18A62800ADFFFA1A4	D0D04E5F8EF1F9A0F71DBCBD9C6724E2	26542546	MPAF_SY0351_10nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227476	GSM5941959	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_24h
SAMN26542547	SRR18280499	2022-03-26T14:35:28Z	2022-03-11T15:32:48Z	11511697	1162681397	0	101	377		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280499/SRR18280499	SRX14418370	GSM5941958	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227474	simple	9606	Homo sapiens	GSM5941958							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	A058251A2E6F778344EB4C0E2BE59B58	0FF2DE2F398A92C83099E7DE402AFCB9	26542547	MPAF_SY0351_10nM_24h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227474	GSM5941958	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_24h
SAMN26542548	SRR18280500	2022-03-26T14:35:28Z	2022-03-11T15:33:36Z	11491514	1160642914	0	101	376		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280500/SRR18280500	SRX14418369	GSM5941957	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227473	simple	9606	Homo sapiens	GSM5941957							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	4CA792D434425D2F79CD1D4C6F042225	0A16BD788106EE4849467498D2054878	26542548	MPAF_SY0351_10nM_24h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227473	GSM5941957	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_24h
SAMN26542549	SRR18280501	2022-03-26T14:35:28Z	2022-03-11T15:35:38Z	16282784	1644561184	0	101	535		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280501/SRR18280501	SRX14418368	GSM5941956	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227472	simple	9606	Homo sapiens	GSM5941956							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	EFEE2D93A8685DD9A8AC4E14AE4CB8B5	2AC26B045B801C6EDE8EB69A12385CEF	26542549	MPAF_SY0351_10nM_1h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227472	GSM5941956	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_1h
SAMN26542550	SRR18280502	2022-03-26T14:35:28Z	2022-03-11T15:33:19Z	10608154	1071423554	0	101	349		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280502/SRR18280502	SRX14418367	GSM5941955	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227471	simple	9606	Homo sapiens	GSM5941955							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	A6BF882B9B2C55D3008C9D1F963AB32C	0432C8B74632B3A5E1B22E2587F3E295	26542550	MPAF_SY0351_10nM_1h_2	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227471	GSM5941955	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_1h
SAMN26542551	SRR18280503	2022-03-26T14:35:28Z	2022-03-11T15:34:14Z	11355322	1146887522	0	101	375		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280503/SRR18280503	SRX14418366	GSM5941954	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227470	simple	9606	Homo sapiens	GSM5941954							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	173367FD807DFC5AD8D20B10276EE14F	4969119D1D754B4C45394B9C6375C629	26542551	MPAF_SY0351_10nM_1h_1	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227470	GSM5941954	Human Adult Fibroblasts	MPAF_cell_line	SY0351_10nM_1h
SAMN26542552	SRR18280504	2022-03-26T14:35:28Z	2022-03-11T15:35:29Z	13198306	1333028906	0	101	430		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18280504/SRR18280504	SRX14418365	GSM5941953	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP363222	PRJNA814284	3	814284	SRS12227469	simple	9606	Homo sapiens	GSM5941953							no					PATHOLOGY, DEVELOPMENTAL PATHOLOGY, UNIVERSITY HOSPITAL BONN	SRA1383067		public	C3E47FE383286B34B996EAA3260DC400	C1C3091CF645965727926933A62F62D0	26542552	MPAF_NVP2_10nM_24h_3	Pathology, Developmental Pathology, University Hospital Bonn	9606	SRS12227469	GSM5941953	Human Adult Fibroblasts	MPAF_cell_line	NVP2_10nM_24h
