BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	batch	cell line	compound	source_name	time-point	group
SAMN06611772	SRR5352549	2018-02-26T08:47:08Z	2017-03-17T12:56:56Z	15066722	1521738922	0	101	899		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352549/SRR5352549.1	SRX2648776		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053986	simple	9606	Homo sapiens	GSM2539613							no					GEO	SRA546763		public	B735082EA425EA934FD5BAA9A8F4DFD3	6D5BD8958CDD5D91DE3CD2C145DB088B	6611772	Belinostat_0.0325_6 [CR1A11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053986	GSM2539613	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 6h	6h	Belinostat.6
SAMN06611771	SRR5352550	2018-02-26T08:47:08Z	2017-03-17T12:57:06Z	14527094	1467236494	0	101	852		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352550/SRR5352550.1	SRX2648777		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053987	simple	9606	Homo sapiens	GSM2539614							no					GEO	SRA546763		public	DBF7B252CF67B022825091A6EBF8F059	D47BE242480C86CCD283503836D49B03	6611771	Belinostat_0.00325_6 [CR1A12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053987	GSM2539614	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 6h	6h	Belinostat.6
SAMN06611770	SRR5352551	2018-02-26T08:47:08Z	2017-03-17T12:59:14Z	15761631	1591924731	0	101	939		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352551/SRR5352551.1	SRX2648778		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053988	simple	9606	Homo sapiens	GSM2539615							no					GEO	SRA546763		public	8EEE441758267B0D38BAB66CF6798D0D	AEDEE7FCC22618F7F310F76CC63B6D15	6611770	Entinostat_6.84_6 [CR1B01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053988	GSM2539615	1	H-STS NET	Entinostat	H-STS NET cell line, Entinostat, 6h	6h	Entinostat.6
SAMN06611769	SRR5352552	2018-02-26T08:47:08Z	2017-03-17T12:57:36Z	15416450	1557061450	0	101	919		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352552/SRR5352552.1	SRX2648779		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053989	simple	9606	Homo sapiens	GSM2539616							no					GEO	SRA546763		public	6194B4FB8219A3418DBE59B7ADC9A55D	9323E61DEC056614333E76BDCEABBED2	6611769	Entinostat_0.684_6 [CR1B02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053989	GSM2539616	1	H-STS NET	Entinostat	H-STS NET cell line, Entinostat, 6h	6h	Entinostat.6
SAMN06611768	SRR5352553	2018-02-26T08:47:08Z	2017-03-17T12:57:54Z	16501830	1666684830	0	101	985		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352553/SRR5352553.1	SRX2648780		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053990	simple	9606	Homo sapiens	GSM2539617							no					GEO	SRA546763		public	2024C7F74F8E3868FC60166FFD49FC95	88BE6F23B8EC7901BFA2FB4C94A812FF	6611768	Imatinib_20_6 [CR1B03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053990	GSM2539617	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 6h	6h	Imatinib.6
SAMN06611767	SRR5352554	2018-02-26T08:47:08Z	2017-03-17T12:57:02Z	15837973	1599635273	0	101	951		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352554/SRR5352554.1	SRX2648781		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053991	simple	9606	Homo sapiens	GSM2539618							no					GEO	SRA546763		public	12813B1CCB2E0AC927DDD1D0A1BE4456	A5F93AC19BF132355ED7F3A3E7E4ABBB	6611767	Imatinib_2_6 [CR1B04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053991	GSM2539618	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 6h	6h	Imatinib.6
SAMN06611766	SRR5352555	2018-02-26T08:47:08Z	2017-03-17T12:56:55Z	14337237	1448060937	0	101	856		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352555/SRR5352555.1	SRX2648782		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053992	simple	9606	Homo sapiens	GSM2539619							no					GEO	SRA546763		public	F205532FA148B7629B914ECA2FC2FBDA	815B1DE5BF0EA0E0AA723BD6BCD21B64	6611766	AZD8055_20_24 [CR1B05]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053992	GSM2539619	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 24h	24h	AZD8055.24
SAMN06611765	SRR5352556	2018-02-26T08:47:08Z	2017-03-17T12:57:10Z	13507065	1364213565	0	101	803		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352556/SRR5352556.1	SRX2648783		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053993	simple	9606	Homo sapiens	GSM2539620							no					GEO	SRA546763		public	6AC822F12FE65D56B77B4DACFC79CC45	165D52C99EBD8C8FDC3365EB7155A321	6611765	AZD8055_2_24 [CR1B06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053993	GSM2539620	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 24h	24h	AZD8055.24
SAMN06611764	SRR5352557	2018-02-26T08:47:08Z	2017-03-17T12:56:24Z	14855616	1500417216	0	101	893		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352557/SRR5352557.1	SRX2648784		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053994	simple	9606	Homo sapiens	GSM2539621							no					GEO	SRA546763		public	B38B10A63F35A4AB000E747F93252802	EB81D28EB0FEF49443FC1975EA3EC828	6611764	Belinostat_0.0325_24 [CR1B07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053994	GSM2539621	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 24h	24h	Belinostat.24
SAMN06611763	SRR5352558	2018-02-26T08:47:08Z	2017-03-17T12:58:18Z	15254085	1540662585	0	101	915		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352558/SRR5352558.1	SRX2648785		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053995	simple	9606	Homo sapiens	GSM2539622							no					GEO	SRA546763		public	F8C742A92CB71884B8661A7280E3C7E2	F77AAFF52854C3F7A6D0A34A1AB43A5F	6611763	Belinostat_0.00325_24 [CR1B08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053995	GSM2539622	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 24h	24h	Belinostat.24
SAMN06611762	SRR5352559	2018-02-26T08:47:08Z	2017-03-17T12:59:18Z	14185326	1432717926	0	101	855		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352559/SRR5352559.1	SRX2648786		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053996	simple	9606	Homo sapiens	GSM2539623							no					GEO	SRA546763		public	284C6AFF9C79573EA391BE7ECE5420EF	8F35414E80F39DAB845D8C78FE4B0EFD	6611762	Entinostat_6.84_24 [CR1B09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053996	GSM2539623	1	H-STS NET	Entinostat	H-STS NET cell line, Entinostat, 24h	24h	Entinostat.24
SAMN06611761	SRR5352560	2018-02-26T08:47:08Z	2017-03-17T12:59:23Z	17384442	1755828642	0	101	1045		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352560/SRR5352560.1	SRX2648787		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053997	simple	9606	Homo sapiens	GSM2539624							no					GEO	SRA546763		public	E07741C1F280110C66F7C2289FF1A2A5	4302C861098AD6A4ADBC73B8D31E6FDE	6611761	Entinostat_0.684_24 [CR1B10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053997	GSM2539624	1	H-STS NET	Entinostat	H-STS NET cell line, Entinostat, 24h	24h	Entinostat.24
SAMN06611760	SRR5352561	2018-02-26T08:47:08Z	2017-03-17T12:59:48Z	16282983	1644581283	0	101	978		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352561/SRR5352561.1	SRX2648788		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053998	simple	9606	Homo sapiens	GSM2539625							no					GEO	SRA546763		public	4733986B1E16D3EBC0D7E7FD3E8BA1E9	77C0693991AF02D550058F07B3622666	6611760	Imatinib_20_24 [CR1B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053998	GSM2539625	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 24h	24h	Imatinib.24
SAMN06611523	SRR5352562	2018-02-26T08:47:09Z	2017-03-17T12:59:29Z	17823470	1800170470	0	101	1071		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352562/SRR5352562.1	SRX2648789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2053999	simple	9606	Homo sapiens	GSM2539626							no					GEO	SRA546763		public	4422F21C337F5CF7AEEE2F45848662D3	732754053C4DBDBDE13594D35E0EB4CC	6611523	Imatinib_2_24 [CR1B12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053999	GSM2539626	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 24h	24h	Imatinib.24
SAMN06611524	SRR5352563	2018-02-26T08:47:09Z	2017-03-17T12:58:15Z	15959298	1611889098	0	101	952		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352563/SRR5352563.1	SRX2648790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054000	simple	9606	Homo sapiens	GSM2539627							no					GEO	SRA546763		public	CDE048FC0FBA33FF7B640BDB30BE11D7	2B2AD875265D4B08DDA2E95D355C51BA	6611524	AZD8055_20_24 [CR1C01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054000	GSM2539627	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 24h	24h	AZD8055.24
SAMN06611654	SRR5352564	2018-02-26T08:47:09Z	2017-03-17T12:57:56Z	14239284	1438167684	0	101	850		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352564/SRR5352564.1	SRX2648791		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054001	simple	9606	Homo sapiens	GSM2539628							no					GEO	SRA546763		public	3523516076DE8D3D6AE40309DEF1751C	8D2F233052A82BD95A5C999CE4358CFF	6611654	AZD8055_2_24 [CR1C02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054001	GSM2539628	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 24h	24h	AZD8055.24
SAMN06611653	SRR5352565	2018-02-26T08:47:09Z	2017-03-17T12:58:29Z	17541771	1771718871	0	101	1059		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352565/SRR5352565.1	SRX2648792		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054002	simple	9606	Homo sapiens	GSM2539629							no					GEO	SRA546763		public	C4AA23E266B46828CED58CDC55CA526D	EA8CED0579A2B3ABC08A948FE0998BE5	6611653	Belinostat_0.0325_24 [CR1C03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054002	GSM2539629	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 24h	24h	Belinostat.24
SAMN06611522	SRR5352566	2018-02-26T08:47:09Z	2017-03-17T12:59:24Z	16418635	1658282135	0	101	983		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352566/SRR5352566.1	SRX2648793		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054003	simple	9606	Homo sapiens	GSM2539630							no					GEO	SRA546763		public	8D68D521AFA144FAFC97A22256C06C65	EBCABB5C0DBCB3EDE4224E7B371C2B7F	6611522	Belinostat_0.00325_24 [CR1C04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054003	GSM2539630	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 24h	24h	Belinostat.24
SAMN06611652	SRR5352567	2018-02-26T08:47:09Z	2017-03-17T12:58:55Z	15997811	1615778911	0	101	962		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352567/SRR5352567.1	SRX2648794		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054004	simple	9606	Homo sapiens	GSM2539631							no					GEO	SRA546763		public	3A95280DB7F0082ABA87CCABFAB4BEE9	A339B91B5C8333FD6A5B97BD670ADD5C	6611652	Entinostat_6.84_24 [CR1C05]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054004	GSM2539631	1	H-STS NET	Entinostat	H-STS NET cell line, Entinostat, 24h	24h	Entinostat.24
SAMN06611651	SRR5352568	2018-02-26T08:47:09Z	2017-03-17T12:59:25Z	18165283	1834693583	0	101	1101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352568/SRR5352568.1	SRX2648795		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054005	simple	9606	Homo sapiens	GSM2539632							no					GEO	SRA546763		public	1AC755D1E5374EF235EA40881A1F25E7	BED65721053792E902F066BECAF58C7A	6611651	Entinostat_0.684_24 [CR1C06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054005	GSM2539632	1	H-STS NET	Entinostat	H-STS NET cell line, Entinostat, 24h	24h	Entinostat.24
SAMN06611650	SRR5352569	2018-02-26T08:47:09Z	2017-03-17T12:59:16Z	17977563	1815733863	0	101	1071		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5352569/SRR5352569.1	SRX2648796		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054006	simple	9606	Homo sapiens	GSM2539633							no					GEO	SRA546763		public	092860AB2EB6A430708C0869B9648D58	4B6A837D4C98F6C51C8CC2AE369717E5	6611650	Imatinib_20_24 [CR1C07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054006	GSM2539633	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 24h	24h	Imatinib.24
SAMN06611649	SRR5352570	2018-02-26T08:47:09Z	2017-03-17T13:02:03Z	18657117	1884368817	0	101	1111		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR5352570/SRR5352570.1	SRX2648797		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP102077	PRJNA379584	2	379584	SRS2054007	simple	9606	Homo sapiens	GSM2539634							no					GEO	SRA546763		public	EF80380642C7DA90391F46DB7B892EBD	1E39C8448A05D5935383354D23585B06	6611649	Imatinib_2_24 [CR1C08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054007	GSM2539634	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 24h	24h	Imatinib.24
