BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	passage	source_name	tissue origin	treatment
SAMN13615545	SRR10721113	2019-12-20T11:55:32Z	2019-12-17T21:37:53Z	64417998	3220899900	0	50	1149		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072111/SRR10721113.1	SRX7397768		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845546	simple	9606	Homo sapiens	GSM4222746							no					GEO	SRA1013366		public	66D32D9C5D88FCFFFB87E6FAC0DF7F7C	C89B7D97417CBECCBA17E74CF5DFA3C2	13615545	Run1_DMSO_2	Creighton University	9606	SRS5845546	GSM4222746	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	DMSO
SAMN13615546	SRR10721112	2019-12-20T11:55:32Z	2019-12-17T22:25:57Z	64233786	3211689300	0	50	1142		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072111/SRR10721112.1	SRX7397767		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845544	simple	9606	Homo sapiens	GSM4222745							no					GEO	SRA1013366		public	9365D291C89C3DC7B4FC02938AC892E2	C7EDF7C27C4022D6866BD1DD7CA96068	13615546	Run1_DMSO_1	Creighton University	9606	SRS5845544	GSM4222745	PANC-1	5	PANC-1 human pancreatic cancer cell line	pancreas	DMSO
SAMN13615550	SRR10721141	2019-12-20T11:55:33Z	2019-12-17T22:47:36Z	71340199	3567009950	0	50	1161		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10721141/SRR10721141.1	SRX7397796		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845574	simple	9606	Homo sapiens	GSM4222774							no					GEO	SRA1013366		public	227EBFC9E200F7BF464ECE6CB431273B	0F16D089D7460DF82B3E7D9529824572	13615550	Run2_shATF3_FC26_plus_Pano_3	Creighton University	9606	SRS5845574	GSM4222774	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	ATF3 shRNA E64FC65 + Panobinostat
SAMN13615552	SRR10721147	2019-12-20T11:55:35Z	2019-12-17T22:51:27Z	69424278	3471213900	0	50	1136		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10721147/SRR10721147.1	SRX7397802		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845577	simple	9606	Homo sapiens	GSM4222780							no					GEO	SRA1013366		public	3313B17354FCAB6F9AC6A926C0938C2D	A45C663EFEC6F32783DB3AE52FF58133	13615552	Run2_shCTL_DMSO_3	Creighton University	9606	SRS5845577	GSM4222780	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	Scramble shRNA E64FC26 + Panobinostat
SAMN13615553	SRR10721146	2019-12-20T11:55:35Z	2019-12-17T23:23:41Z	72140771	3607038550	0	50	1183		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721146/SRR10721146.1	SRX7397801		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845581	simple	9606	Homo sapiens	GSM4222779							no					GEO	SRA1013366		public	DCF6FE1529F39BBB75189B183D060368	EF9BAE9F144E3F7443CFDC652B704464	13615553	Run2_shCTL_DMSO_2	Creighton University	9606	SRS5845581	GSM4222779	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	Scramble shRNA E64FC26 + Panobinostat
SAMN13615555	SRR10721145	2019-12-20T11:55:35Z	2019-12-17T21:51:57Z	69989602	3499480100	0	50	1147		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721145/SRR10721145.1	SRX7397800		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845578	simple	9606	Homo sapiens	GSM4222778							no					GEO	SRA1013366		public	616FCFB3FA6BDEB5461CCB2E215F9681	FED5C823E04CDB5250E0A5472862DE0D	13615555	Run2_shCTL_DMSO_1	Creighton University	9606	SRS5845578	GSM4222778	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	Scramble shRNA E64FC26 + Panobinostat
SAMN13615557	SRR10721144	2019-12-20T11:55:35Z	2019-12-17T22:24:54Z	142939859	7146992950	0	50	2346		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072114/SRR10721144.1	SRX7397799		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845579	simple	9606	Homo sapiens	GSM4222777							no					GEO	SRA1013366		public	66BD6422843FC1A4793533D32A6FFC35	261454B632851F60B73F820FA1E23348	13615557	Run2_shCTL_FC26_plus_Pano_3	Creighton University	9606	SRS5845579	GSM4222777	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	Scramble shRNA DMSO
SAMN13615558	SRR10721143	2019-12-20T11:55:35Z	2019-12-18T01:20:20Z	149400526	7470026300	0	50	2453		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10721143/SRR10721143.1	SRX7397798		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845576	simple	9606	Homo sapiens	GSM4222776							no					GEO	SRA1013366		public	F8B9A18EC6F9F33A2A024097E1295DC7	A1DDAF5C6E78CC6A0F5A2C5382BAD96E	13615558	Run2_shCTL_FC26_plus_Pano_2	Creighton University	9606	SRS5845576	GSM4222776	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	Scramble shRNA DMSO
SAMN13615560	SRR10721142	2019-12-20T11:55:34Z	2019-12-17T22:53:06Z	68841758	3442087900	0	50	1130		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721142/SRR10721142.1	SRX7397797		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845575	simple	9606	Homo sapiens	GSM4222775							no					GEO	SRA1013366		public	7C6F5A0AE96D9A953B461D200EDFF8CD	120C699C7DDAD0D081B2B4AE72B9AD7A	13615560	Run2_shCTL_FC26_plus_Pano_1	Creighton University	9606	SRS5845575	GSM4222775	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	Scramble shRNA DMSO
SAMN13615561	SRR10721140	2019-12-20T11:55:33Z	2019-12-17T22:34:16Z	67760039	3388001950	0	50	1103		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10721140/SRR10721140.1	SRX7397795		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845573	simple	9606	Homo sapiens	GSM4222773							no					GEO	SRA1013366		public	A8DD18E6EF8A690018DECAC10A8D64EB	D7B69B87A51F76E977D111DFFF162B48	13615561	Run2_shATF3_FC26_plus_Pano_2	Creighton University	9606	SRS5845573	GSM4222773	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	ATF3 shRNA E64FC65 + Panobinostat
SAMN13615562	SRR10721139	2019-12-20T11:55:33Z	2019-12-17T23:09:49Z	70888097	3544404850	0	50	1157		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721139/SRR10721139.1	SRX7397794		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845572	simple	9606	Homo sapiens	GSM4222772							no					GEO	SRA1013366		public	62B73DE0E9D9372D34F42701B192DBEC	2589DC625706AE64F73F1D25E2B60F3F	13615562	Run2_shATF3_FC26_plus_Pano_1	Creighton University	9606	SRS5845572	GSM4222772	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	ATF3 shRNA E64FC65 + Panobinostat
SAMN13615563	SRR10721138	2019-12-20T11:55:33Z	2019-12-17T23:16:56Z	65042280	3252114000	0	50	1057		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721138/SRR10721138.1	SRX7397793		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845569	simple	9606	Homo sapiens	GSM4222771							no					GEO	SRA1013366		public	E0F429CABB2131E0F194B3301C27CAA6	A4DDBEA904F8783F858D7118111B53FF	13615563	Run2_shATF3_DMSO_3	Creighton University	9606	SRS5845569	GSM4222771	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	ATF3 shRNA DMSO
SAMN13615564	SRR10721137	2019-12-20T11:55:33Z	2019-12-18T03:03:51Z	132284210	6614210500	0	50	2183		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072113/SRR10721137.1	SRX7397792		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845568	simple	9606	Homo sapiens	GSM4222770							no					GEO	SRA1013366		public	96CCBF8830B634E3C5F57F741BB0B6A6	DCCA8E6B466389791FC3140939A97005	13615564	Run2_shATF3_DMSO_2	Creighton University	9606	SRS5845568	GSM4222770	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	ATF3 shRNA DMSO
SAMN13615565	SRR10721136	2019-12-20T11:55:33Z	2019-12-18T00:13:12Z	136252864	6812643200	0	50	2235		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10721136/SRR10721136.1	SRX7397791		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845571	simple	9606	Homo sapiens	GSM4222769							no					GEO	SRA1013366		public	618FC2F578B35C2007144AE48C9C99C2	E62A67C21E9BDF520BD5AE37BA139048	13615565	Run2_shATF3_DMSO_1	Creighton University	9606	SRS5845571	GSM4222769	PANC-1	9	PANC-1 human pancreatic cancer cell line	pancreas	ATF3 shRNA DMSO
SAMN13615566	SRR10721135	2019-12-20T11:55:33Z	2019-12-17T21:41:02Z	59275722	2963786100	0	50	1231		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10721135/SRR10721135.1	SRX7397790		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845570	simple	9606	Homo sapiens	GSM4222768							no					GEO	SRA1013366		public	236E4C3E5F1075C57FDB42A05119F365	EC069E1A3BBAD005B8C886ED66AA0DB9	13615566	Run1b_Pano_3	Creighton University	9606	SRS5845570	GSM4222768	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	Panobinostat
SAMN13615567	SRR10721134	2019-12-20T11:55:33Z	2019-12-17T21:41:35Z	65151345	3257567250	0	50	1353		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072113/SRR10721134.1	SRX7397789		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845567	simple	9606	Homo sapiens	GSM4222767							no					GEO	SRA1013366		public	EB064DE570A0FF94DB194DC7CEE768A4	F546947D908814FF5F4C22A3DB1E49B3	13615567	Run1b_Pano_2	Creighton University	9606	SRS5845567	GSM4222767	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	Panobinostat
SAMN13615568	SRR10721133	2019-12-20T11:55:33Z	2019-12-17T21:42:33Z	64571133	3228556650	0	50	1345		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072113/SRR10721133.1	SRX7397788		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845566	simple	9606	Homo sapiens	GSM4222766							no					GEO	SRA1013366		public	98378AA336475170FBF2C03CB4171353	5047381F69B1ED62EB0C18553A73A04F	13615568	Run1b_Pano_1	Creighton University	9606	SRS5845566	GSM4222766	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	Panobinostat
SAMN13615569	SRR10721132	2019-12-20T11:55:33Z	2019-12-17T21:37:08Z	53950828	2697541400	0	50	1116		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072113/SRR10721132.1	SRX7397787		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845565	simple	9606	Homo sapiens	GSM4222765							no					GEO	SRA1013366		public	5EE91BF0A1ECB31BB72BCF99ECA2B1ED	5D860F26CA8715D313702E1767C09631	13615569	Run1b_FC65_plus_Pano_3	Creighton University	9606	SRS5845565	GSM4222765	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	E64FC65 + Panobinostat
SAMN13615570	SRR10721131	2019-12-20T11:55:33Z	2019-12-17T21:40:00Z	65819148	3290957400	0	50	1364		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10721131/SRR10721131.1	SRX7397786		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845563	simple	9606	Homo sapiens	GSM4222764							no					GEO	SRA1013366		public	C1638A1CEB34785E5D3BF0EF60E13992	125F2D7CA6B687AD1EA375E17C56EBBF	13615570	Run1b_FC65_plus_Pano_2	Creighton University	9606	SRS5845563	GSM4222764	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	E64FC65 + Panobinostat
SAMN13615571	SRR10721130	2019-12-20T11:55:33Z	2019-12-17T21:38:13Z	57836060	2891803000	0	50	1209		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072113/SRR10721130.1	SRX7397785		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845564	simple	9606	Homo sapiens	GSM4222763							no					GEO	SRA1013366		public	56A9C3F24613DC55762AE69028F60D57	73729ED4336B179053A37CE6DF192E78	13615571	Run1b_FC65_plus_Pano_1	Creighton University	9606	SRS5845564	GSM4222763	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	E64FC65 + Panobinostat
SAMN13615572	SRR10721129	2019-12-20T11:55:33Z	2019-12-17T22:02:17Z	69787741	3489387050	0	50	1459		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721129/SRR10721129.1	SRX7397784		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845560	simple	9606	Homo sapiens	GSM4222762							no					GEO	SRA1013366		public	E37DC7D5288D07C86F70E2BA8E793A40	D38B724E0EA45D6D7D3ACBC03BC73A5F	13615572	Run1b_FC65_3	Creighton University	9606	SRS5845560	GSM4222762	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	E64FC65
SAMN13615573	SRR10721128	2019-12-20T11:55:33Z	2019-12-17T21:44:48Z	60889907	3044495350	0	50	1269		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721128/SRR10721128.1	SRX7397783		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845561	simple	9606	Homo sapiens	GSM4222761							no					GEO	SRA1013366		public	3C85DCD08F5E072DD5EB2933A3DD5C26	AEA682B206397D99809A90DCDFD6A2CE	13615573	Run1b_FC65_2	Creighton University	9606	SRS5845561	GSM4222761	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	E64FC65
SAMN13615574	SRR10721127	2019-12-20T11:55:33Z	2019-12-17T21:38:24Z	57040549	2852027450	0	50	1195		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1072112/SRR10721127.1	SRX7397782		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845562	simple	9606	Homo sapiens	GSM4222760							no					GEO	SRA1013366		public	F92D28E656E0127484699309D471C34F	6185E4BCF79CB5FA9B9286EEC2C00243	13615574	Run1b_FC65_1	Creighton University	9606	SRS5845562	GSM4222760	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	E64FC65
SAMN13615575	SRR10721126	2019-12-20T11:55:33Z	2019-12-17T21:48:45Z	64075181	3203759050	0	50	1336		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721126/SRR10721126.1	SRX7397781		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845558	simple	9606	Homo sapiens	GSM4222759							no					GEO	SRA1013366		public	2EF5A11E3113F565F047424C4286BF4B	271E28FB3CFD4EF5A7A69E760B215FDD	13615575	Run1b_DMSO_3	Creighton University	9606	SRS5845558	GSM4222759	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	DMSO
SAMN13615576	SRR10721125	2019-12-20T11:55:33Z	2019-12-17T21:40:45Z	68919967	3445998350	0	50	1440		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10721125/SRR10721125.1	SRX7397780		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP237943	PRJNA596223		596223	SRS5845557	simple	9606	Homo sapiens	GSM4222758							no					GEO	SRA1013366		public	4E4A47C43BD9C01C174C19A739466BA1	F6D0F2271C09AB3DF16AB5FD9731F98F	13615576	Run1b_DMSO_2	Creighton University	9606	SRS5845557	GSM4222758	T98G	5	T98G human glioblastoma cancer cell line	glioblastoma	DMSO
