BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	disease	source_name	tissue	treatment
SAMN19108152	SRR14496751	2022-03-11T06:10:38Z	2021-05-13T17:13:53Z	29886365	8626481202	29886365	288	3662		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496751/SRR14496751.lite.1	SRX10844099		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928059	simple	9606	Homo sapiens	GSM5289946							no					GEO	SRA1230919		public	156BECE5E5125917FBBD3D497635A1DE	BF6A0A0C1C756B1DAB67FACAC917369B	19108152	Colorectal Cancer Cells - HCT116_ctr_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928059	GSM5289946	Colorectal carcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108153	SRR14496750	2022-03-11T06:10:38Z	2021-05-13T18:01:37Z	32599173	9334123210	32599173	286	3846		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496750/SRR14496750.lite.1	SRX10844098		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928058	simple	9606	Homo sapiens	GSM5289945							no					GEO	SRA1230919		public	9A838199070C953C87CFD9C13B69C629	74894140995A2DD7612AC920A0A6EF63	19108153	Colorectal Cancer Cells - HCT116_ctr_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928058	GSM5289945	Colorectal carcinoma	Colorectal Cancer Cells	Colon	untreated
SAMN19108154	SRR14496749	2022-03-11T06:10:38Z	2021-05-13T17:42:39Z	30704195	8741574031	30704195	284	3627		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496749/SRR14496749.lite.1	SRX10844097		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928057	simple	9606	Homo sapiens	GSM5289944							no					GEO	SRA1230919		public	B864C90ECBCDEDE0417B32EB555FE31E	A4C03E6AC4E28976C8E84D2DB653A18C	19108154	Colorectal Cancer Cells - HCT116_NIVO+sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928057	GSM5289944	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-2 for 6h
SAMN19108155	SRR14496748	2022-03-11T06:10:38Z	2021-05-13T19:15:21Z	38932212	11280013026	38932212	289	4806		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496748/SRR14496748.lite.1	SRX10844096		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928056	simple	9606	Homo sapiens	GSM5289943							no					GEO	SRA1230919		public	AC054009F0D784711EE270A7941361E6	E05105E8067CAF9A544E91CF4B6FC84A	19108155	Colorectal Cancer Cells - HCT116_NIVO+sPDL1_6h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928056	GSM5289943	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-1 for 6h
SAMN19108156	SRR14496747	2022-03-11T06:10:38Z	2021-05-13T15:34:46Z	29184620	8308132466	29184620	284	3453		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496747/SRR14496747.lite.1	SRX10844095		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928055	simple	9606	Homo sapiens	GSM5289942							no					GEO	SRA1230919		public	458F5973AEC022BB3E54264F410A8125	EA23E93C71ED1D261FA695CB1BF7E9DD	19108156	Colorectal Cancer Cells - HCT116_sPDL1_6h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928055	GSM5289942	Colorectal carcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 6h
SAMN19108157	SRR14496756	2022-03-11T06:10:38Z	2021-05-13T18:07:16Z	29163850	8442641410	29163850	289	3499		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496756/SRR14496756.lite.1	SRX10844104		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928064	simple	9606	Homo sapiens	GSM5289951							no					GEO	SRA1230919		public	2EF9754207801E7AD8E3F3A24B0BF3AC	36DA4A8CC586D10BC52CA245FD3C05F8	19108157	Colorectal Cancer Cells - HCT116_NIVO+sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928064	GSM5289951	Colorectal carcinoma	Colorectal Cancer Cells	Colon	NIVO+sPDL-1 for 24h
SAMN19108158	SRR14496755	2022-03-11T06:10:38Z	2021-05-13T09:59:21Z	15186736	4368955294	15186736	287	1818		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496755/SRR14496755.lite.1	SRX10844103		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928063	simple	9606	Homo sapiens	GSM5289950							no					GEO	SRA1230919		public	582DB6478C41701126E8BAAC1296F36D	306A8C7E3A357E755BDCB562AFBE65AF	19108158	Colorectal Cancer Cells - HCT116_sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928063	GSM5289950	Colorectal carcinoma	Colorectal Cancer Cells	Colon	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108159	SRR14496773	2022-03-11T06:10:37Z	2021-05-13T11:22:43Z	22079226	6323210809	22079226	286	2651		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14496/SRR14496773/SRR14496773.lite.1	SRX10844073		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928033	simple	9606	Homo sapiens	GSM5289968							no					GEO	SRA1230919		public	788E6AA3E1B29B5142D9F97DEE2BECB2	DB6BA260987AD1AFBDED38A8B1450B4B	19108159	Melanoma Cancer Cells - PES43_NIVO+sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928033	GSM5289968	Melanoma	Melanoma Cancer Cells	Skin	NIVO+sPDL-2 for 24h
SAMN19108160	SRR14496772	2022-03-11T06:10:37Z	2021-05-13T11:39:56Z	24966446	7132120655	24966446	285	2854		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496772/SRR14496772.lite.1	SRX10844072		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928032	simple	9606	Homo sapiens	GSM5289967							no					GEO	SRA1230919		public	AE97F0A6B6372C29E0F53201EC44250A	E39A0FC81B4F450F9EA93BC30851A256	19108160	Melanoma Cancer Cells - PES43_NIVO+sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928032	GSM5289967	Melanoma	Melanoma Cancer Cells	Skin	NIVO+sPDL-1 for 24h
SAMN19108161	SRR14496771	2022-03-11T06:10:37Z	2021-05-13T17:30:55Z	29805488	8341598660	29805488	279	3470		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496771/SRR14496771.lite.1	SRX10844071		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928031	simple	9606	Homo sapiens	GSM5289966							no					GEO	SRA1230919		public	E945BAC9ABEA723A06892E5C3562BD8C	0F4874EC6B4F494DBB091A1B3B906EF8	19108161	Melanoma Cancer Cells - PES43_sPDL1_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928031	GSM5289966	Melanoma	Melanoma Cancer Cells	Skin	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108162	SRR14496770	2022-03-11T06:10:36Z	2021-05-13T12:34:01Z	26143616	7482121811	26143616	286	3017		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496770/SRR14496770.lite.1	SRX10844070		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928030	simple	9606	Homo sapiens	GSM5289965							no					GEO	SRA1230919		public	46C92D4DA5ED290AD76A92605D0C58A4	0CDE9AD14111F13911A685D8EDBC30C3	19108162	Melanoma Cancer Cells - PES43_sPDL1_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928030	GSM5289965	Melanoma	Melanoma Cancer Cells	Skin	solubile-PDL-1 (sPDL-1) for 24h
SAMN19108163	SRR14496769	2022-03-11T06:10:36Z	2021-05-13T11:10:11Z	25733891	7437537914	25733891	289	3093		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14496/SRR14496769/SRR14496769.lite.1	SRX10844069		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928029	simple	9606	Homo sapiens	GSM5289964							no					GEO	SRA1230919		public	EA30E7A1CA04B2A5D7A04DE1D3EAFDC4	C07EE36C66A305D5A2E37D1B2DE2FD14	19108163	Melanoma Cancer Cells - PES43_NIVO_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928029	GSM5289964	Melanoma	Melanoma Cancer Cells	Skin	NIVOLUMAB (NIVO) for 24h
SAMN19108164	SRR14496768	2022-03-11T06:10:36Z	2021-05-13T11:22:23Z	19967337	5631032944	19967337	282	2262		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496768/SRR14496768.lite.1	SRX10844068		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928028	simple	9606	Homo sapiens	GSM5289963							no					GEO	SRA1230919		public	15AA4B65281B4FE03E54CE1117E934BB	3EDC81144A49DD2CCD2EF80B7E298C92	19108164	Melanoma Cancer Cells - PES43_NIVO_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928028	GSM5289963	Melanoma	Melanoma Cancer Cells	Skin	NIVOLUMAB (NIVO) for 24h
SAMN19108165	SRR14496767	2022-03-11T06:10:36Z	2021-05-13T12:21:33Z	26799483	7578489045	26799483	282	3231		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496767/SRR14496767.lite.1	SRX10844067		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928027	simple	9606	Homo sapiens	GSM5289962							no					GEO	SRA1230919		public	85E5F292AA29ABDF5DB0CB15D6FE321B	CE3A8A6C5C45FDBDC9C9633D492EEA99	19108165	Melanoma Cancer Cells - PES43_ctr_24h_rep2	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928027	GSM5289962	Melanoma	Melanoma Cancer Cells	Skin	untreated
SAMN19108166	SRR14496766	2022-03-11T06:10:36Z	2021-05-13T11:37:05Z	20443211	5721266990	20443211	279	2295		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14496/SRR14496766/SRR14496766.lite.1	SRX10844066		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP319374	PRJNA728970	3	728970	SRS8928026	simple	9606	Homo sapiens	GSM5289961							no					GEO	SRA1230919		public	86F499102B2C1263A00E27D3B56D6024	A4F0C117C841FE7AA0B2B02DB7225701	19108166	Melanoma Cancer Cells - PES43_ctr_24h_rep1	"Microenvironment Molecular Targets, Research Department, Istituto Nazionale Tumori di Napoli - IRCCS fondazione ""Pascale"""	9606	SRS8928026	GSM5289961	Melanoma	Melanoma Cancer Cells	Skin	untreated
