BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cancer type	cell type	source_name	treatment	group
SAMN15340176	SRR12066944	2021-05-13T00:11:39Z	2020-06-22T11:23:14Z	22029259	6652836218	22029259	302	2230		https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/011784/SRR12066944	SRX8594752		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885352	simple	9606	Homo sapiens	GSM4630508							no					GEO	SRA1089610		public	48C3EDA95319F4A5C0362094AB3CC319	6C555C5BDB7CF21ED546D067B45E6AEA	15340176	HCT116_6853_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885352	GSM4630508	colorectal cancer	HCT116	HCT116 cells	6853	x6853
SAMN15340176	SRR12066945	2021-05-13T00:11:39Z	2020-06-22T11:13:01Z	21748446	6568030692	21748446	302	2229		https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/011784/SRR12066945	SRX8594752		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885352	simple	9606	Homo sapiens	GSM4630508							no					GEO	SRA1089610		public	F9EE8FBC5FB762B62F9A766A3C4F28F6	41274BCAC5BF027E7AAC148394FAB054	15340176	HCT116_6853_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885352	GSM4630508	colorectal cancer	HCT116	HCT116 cells	6853	x6853
SAMN15340175	SRR12066946	2021-05-13T00:11:39Z	2020-06-22T11:08:52Z	19446791	5872930882	19446791	302	1964		https://sra-download.ncbi.nlm.nih.gov/traces/sra50/SRR/011784/SRR12066946	SRX8594753		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885353	simple	9606	Homo sapiens	GSM4630509							no					GEO	SRA1089610		public	3BAA36A31D9DD6D7A010E2FA7015AB31	4566E02A761C7AFC0B3157AE7B777F8E	15340175	HCT116_8679_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885353	GSM4630509	colorectal cancer	HCT116	HCT116 cells	8679	x8679
SAMN15340175	SRR12066947	2021-05-13T00:11:39Z	2020-06-22T11:08:09Z	19319984	5834635168	19319984	302	1971		https://sra-download.ncbi.nlm.nih.gov/traces/sra66/SRR/011784/SRR12066947	SRX8594753		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885353	simple	9606	Homo sapiens	GSM4630509							no					GEO	SRA1089610		public	2CD23B6F114DE5A8C8367EADF69DFFFC	EB3F23F81BAC7E41480653D032E07AF5	15340175	HCT116_8679_1 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885353	GSM4630509	colorectal cancer	HCT116	HCT116 cells	8679	x8679
SAMN15340174	SRR12066948	2021-05-13T00:11:39Z	2020-06-22T11:10:13Z	18486561	5582941422	18486561	302	1913		https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/011784/SRR12066948	SRX8594754		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885354	simple	9606	Homo sapiens	GSM4630510							no					GEO	SRA1089610		public	CFD2BAE81009E9856C152C5CD4B566AA	29593FCAE075049BDE35F7F9D95F5355	15340174	HCT116_siNeg_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885354	GSM4630510	colorectal cancer	HCT116	HCT116 cells	siNeg	siNeg
SAMN15340174	SRR12066949	2021-05-13T00:11:39Z	2020-06-22T11:08:31Z	18300927	5526879954	18300927	302	1918		https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/011784/SRR12066949	SRX8594754		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885354	simple	9606	Homo sapiens	GSM4630510							no					GEO	SRA1089610		public	C891B68DD568E32E09464F8202FFF47D	EF424D0CB3C22B4B73EB11AAB855C2F9	15340174	HCT116_siNeg_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885354	GSM4630510	colorectal cancer	HCT116	HCT116 cells	siNeg	siNeg
SAMN15340189	SRR12066950	2021-05-13T00:11:39Z	2020-06-22T11:06:54Z	17304047	5225822194	17304047	302	1778		https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/011784/SRR12066950	SRX8594755		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885355	simple	9606	Homo sapiens	GSM4630511							no					GEO	SRA1089610		public	4BBA15909B439FC787DC47E471536F16	39D3A778F851FD36CC3EB83C885C3DA5	15340189	HCT116_siCTNNB1_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885355	GSM4630511	colorectal cancer	HCT116	HCT116 cells	siCTNNB1	siCTNNB1
SAMN15340189	SRR12066951	2021-05-13T00:11:39Z	2020-06-22T11:06:49Z	17138016	5175680832	17138016	302	1782		https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/011784/SRR12066951	SRX8594755		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885355	simple	9606	Homo sapiens	GSM4630511							no					GEO	SRA1089610		public	F61962B5313609F97C630C633C9776FD	374C82C3E057AA8792F24894BE62E683	15340189	HCT116_siCTNNB1_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885355	GSM4630511	colorectal cancer	HCT116	HCT116 cells	siCTNNB1	siCTNNB1
SAMN15340187	SRR12066952	2021-05-13T00:11:39Z	2020-06-22T11:14:34Z	23465246	7086504292	23465246	302	2376		https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/011784/SRR12066952	SRX8594756		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885356	simple	9606	Homo sapiens	GSM4630512							no					GEO	SRA1089610		public	40B137837733B4D7D4A317FBD4963852	A8AF2AE61EAE8ACF68F2684E85C31696	15340187	HCT116_DMSO_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885356	GSM4630512	colorectal cancer	HCT116	HCT116 cells	DMSO	DMSO
SAMN15340187	SRR12066953	2021-05-13T00:11:39Z	2020-06-22T11:16:51Z	23328712	7045271024	23328712	302	2387		https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/011784/SRR12066953	SRX8594756		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885356	simple	9606	Homo sapiens	GSM4630512							no					GEO	SRA1089610		public	17EF6750E7D928B7825DC99CD8D95BEF	0B90C0211A794916A221939FD5FC8D13	15340187	HCT116_DMSO_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885356	GSM4630512	colorectal cancer	HCT116	HCT116 cells	DMSO	DMSO
SAMN15340185	SRR12066954	2021-05-13T00:11:39Z	2020-06-22T11:11:30Z	17776903	5368624706	17776903	302	1844		https://sra-download.ncbi.nlm.nih.gov/traces/sra13/SRR/011784/SRR12066954	SRX8594757		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885357	simple	9606	Homo sapiens	GSM4630513							no					GEO	SRA1089610		public	7AE33948EE41B229AD1A219FC46AD2F1	8B91B701AECBCE36F274F6438A04BBBB	15340185	HCT116_iCRT3_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885357	GSM4630513	colorectal cancer	HCT116	HCT116 cells	iCRT3	iCRT3
SAMN15340185	SRR12066955	2021-05-13T00:11:39Z	2020-06-22T11:08:43Z	17599181	5314952662	17599181	302	1848		https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/011784/SRR12066955	SRX8594757		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885357	simple	9606	Homo sapiens	GSM4630513							no					GEO	SRA1089610		public	AF3AAD94D3DDE6616CDB6E0F6B52B333	FDD149A9AACD47F04525AE0659242E83	15340185	HCT116_iCRT3_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885357	GSM4630513	colorectal cancer	HCT116	HCT116 cells	iCRT3	iCRT3
SAMN15340184	SRR12066956	2021-05-13T00:11:39Z	2020-06-22T11:10:09Z	18791823	5675130546	18791823	302	1876		https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/011784/SRR12066956	SRX8594758		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885358	simple	9606	Homo sapiens	GSM4630514							no					GEO	SRA1089610		public	702D753A12C033B867A562C27B932A9C	A225E80AB28609DCAF9F9FF7BD7FA90D	15340184	HCT116_1874_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885358	GSM4630514	colorectal cancer	HCT116	HCT116 cells	1874	x1874
SAMN15340184	SRR12066957	2021-05-13T00:11:39Z	2020-06-22T11:12:46Z	18598199	5616656098	18598199	302	1877		https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/011784/SRR12066957	SRX8594758		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885358	simple	9606	Homo sapiens	GSM4630514							no					GEO	SRA1089610		public	EAD3101E04242802813D8029CC74E854	F67ECDD38EE3CEBBCE52CAE5233A683F	15340184	HCT116_1874_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885358	GSM4630514	colorectal cancer	HCT116	HCT116 cells	1874	x1874
SAMN15340183	SRR12066958	2021-05-13T00:11:39Z	2020-06-22T11:16:12Z	18733427	5657494954	18733427	302	1899		https://sra-download.ncbi.nlm.nih.gov/traces/sra65/SRR/011784/SRR12066958	SRX8594759		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885359	simple	9606	Homo sapiens	GSM4630515							no					GEO	SRA1089610		public	D47EFABC4DD18183465C45E2960C1BE6	CCD79B389DC53C80AC6B5A44949E33FE	15340183	HCT116_6853_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885359	GSM4630515	colorectal cancer	HCT116	HCT116 cells	6853	x6853
SAMN15340183	SRR12066959	2021-05-13T00:11:39Z	2020-06-22T11:12:40Z	18585669	5612872038	18585669	302	1906		https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/011784/SRR12066959	SRX8594759		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885359	simple	9606	Homo sapiens	GSM4630515							no					GEO	SRA1089610		public	51208B445E95C898C9977B195647A9DC	7B0A814F0281A12652B785AAC86F02C6	15340183	HCT116_6853_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885359	GSM4630515	colorectal cancer	HCT116	HCT116 cells	6853	x6853
SAMN15340182	SRR12066960	2021-05-13T00:11:39Z	2020-06-22T11:10:37Z	20027825	6048403150	20027825	302	2002		https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/011784/SRR12066960	SRX8594760		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885360	simple	9606	Homo sapiens	GSM4630516							no					GEO	SRA1089610		public	7D43B573A0DDB41997CF26276432663A	327D89B16B3FCBCAC2AA44FE6FBB95D0	15340182	HCT116_8679_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885360	GSM4630516	colorectal cancer	HCT116	HCT116 cells	8679	x8679
SAMN15340182	SRR12066961	2021-05-13T00:11:39Z	2020-06-22T11:12:21Z	19879281	6003542862	19879281	302	2008		https://sra-download.ncbi.nlm.nih.gov/traces/sra69/SRR/011784/SRR12066961	SRX8594760		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885360	simple	9606	Homo sapiens	GSM4630516							no					GEO	SRA1089610		public	07635B5FF26DC8123AF8421690BD4C65	DEEAE1D1D45E20EAF6C4E6A570D8F276	15340182	HCT116_8679_2 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885360	GSM4630516	colorectal cancer	HCT116	HCT116 cells	8679	x8679
SAMN15340173	SRR12066962	2021-05-13T00:11:39Z	2020-06-22T11:10:24Z	18750340	5662602680	18750340	302	1951		https://sra-download.ncbi.nlm.nih.gov/traces/sra1/SRR/011784/SRR12066962	SRX8594761		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885361	simple	9606	Homo sapiens	GSM4630517							no					GEO	SRA1089610		public	2A3E7D9BCBC80AE32A768350C6F6433F	14C7E252BBC968640889769A9A939911	15340173	HCT116_siNeg_3 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885361	GSM4630517	colorectal cancer	HCT116	HCT116 cells	siNeg	siNeg
SAMN15340173	SRR12066963	2021-05-13T00:11:39Z	2020-06-22T11:12:21Z	18582284	5611849768	18582284	302	1959		https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/011784/SRR12066963	SRX8594761		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885361	simple	9606	Homo sapiens	GSM4630517							no					GEO	SRA1089610		public	1026C6D2556D12BB5F97F0104A675A03	7EF0E0DD594F423D21F091A5FBE709F6	15340173	HCT116_siNeg_3 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885361	GSM4630517	colorectal cancer	HCT116	HCT116 cells	siNeg	siNeg
SAMN15340172	SRR12066964	2021-05-13T00:11:39Z	2020-06-22T11:09:18Z	18007654	5438311508	18007654	302	1875		https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/011784/SRR12066964	SRX8594762		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885362	simple	9606	Homo sapiens	GSM4630518							no					GEO	SRA1089610		public	1F252882385B1556FBD55566578EC1DB	8B7C21CEE28094BBB5B7013759D622AE	15340172	HCT116_siCTNNB1_3 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885362	GSM4630518	colorectal cancer	HCT116	HCT116 cells	siCTNNB1	siCTNNB1
SAMN15340172	SRR12066965	2021-05-13T00:11:39Z	2020-06-22T11:10:27Z	17839673	5387581246	17839673	302	1874		https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/011784/SRR12066965	SRX8594762		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885362	simple	9606	Homo sapiens	GSM4630518							no					GEO	SRA1089610		public	C146A79187ACDC367BA32E9760E5F1ED	F7F79AE431A50726FB77F230C97D7534	15340172	HCT116_siCTNNB1_3 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885362	GSM4630518	colorectal cancer	HCT116	HCT116 cells	siCTNNB1	siCTNNB1
SAMN15340171	SRR12066966	2021-05-13T00:11:39Z	2020-06-22T11:19:45Z	20387826	6157123452	20387826	302	2104		https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/011784/SRR12066966	SRX8594763		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885364	simple	9606	Homo sapiens	GSM4630519							no					GEO	SRA1089610		public	41111536551917691CFE5D960AFA3DEA	052081A33C3A9D8CEE04EB74E650C75B	15340171	HCT116_DMSO_3 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885364	GSM4630519	colorectal cancer	HCT116	HCT116 cells	DMSO	DMSO
SAMN15340171	SRR12066967	2021-05-13T00:11:39Z	2020-06-22T11:13:08Z	20288073	6126998046	20288073	302	2117		https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/011784/SRR12066967	SRX8594763		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885364	simple	9606	Homo sapiens	GSM4630519							no					GEO	SRA1089610		public	0F73A8889B37F431634BE5DF63CDCCFD	CB1689B5B17A3019FFEE10CFC490928A	15340171	HCT116_DMSO_3 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885364	GSM4630519	colorectal cancer	HCT116	HCT116 cells	DMSO	DMSO
SAMN15340193	SRR12066968	2021-05-13T00:11:39Z	2020-06-22T11:10:53Z	17452718	5270720836	17452718	302	1815		https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/011784/SRR12066968	SRX8594764		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP268282	PRJNA641077		641077	SRS6885363	simple	9606	Homo sapiens	GSM4630520							no					GEO	SRA1089610		public	B0D709499E38C1C6A785D81C7CAD1AB1	B1584F6AF4DAECC9FDCAE452EDB6585C	15340193	HCT116_iCRT3_3 	Bioinformatics Consulting and Training Platform, Genome Institute of Singapore	9606	SRS6885363	GSM4630520	colorectal cancer	HCT116	HCT116 cells	iCRT3	iCRT3
