BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug	experiment	source_name	timepoint	group
SAMN10663324	SRR8380984	2019-07-02T15:57:12Z	2020-02-22T12:08:07Z	43778990	8843355980	43778990	202	3755		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380984.sralite.1	SRX5190958		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197083	simple	9606	Homo sapiens	GSM3535552							no					GEO	SRA827993		public	AD92F790D8D2C42F75A9D5218ECB8804	232B58498167CBD198B325D0FCC0AF2F	10663324	MM.1S 10 nM E7107 mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197083	GSM3535552	MM.1S		10 nM E7107	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.10.nM.E7107.24.h
SAMN10663325	SRR8380983	2019-07-02T15:57:12Z	2020-02-22T11:34:18Z	51043909	10310869618	51043909	202	4352		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380983.sralite.1	SRX5190957		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197082	simple	9606	Homo sapiens	GSM3535551							no					GEO	SRA827993		public	EEBE4416564249BAE56FD93C08B7E410	75F0473474798A22011AA2532C14BA2A	10663325	MM.1S 10 nM E7107 mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197082	GSM3535551	MM.1S		10 nM E7107	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.10.nM.E7107.24.h
SAMN10663326	SRR8380982	2019-07-02T15:57:12Z	2020-02-22T12:03:21Z	49003160	9898638320	49003160	202	4210		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380982.sralite.1	SRX5190956		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197081	simple	9606	Homo sapiens	GSM3535550							no					GEO	SRA827993		public	504659C4AF9BE68F20DA00B23F5C42E4	1883650D132A1BE8C0DBF072994ADDF7	10663326	MM.1S 10 nM E7107 mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197081	GSM3535550	MM.1S		10 nM E7107	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.10.nM.E7107.24.h
SAMN10663327	SRR8380981	2019-07-02T15:57:12Z	2020-02-22T11:06:46Z	54001494	10908301788	54001494	202	3892		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380981.sralite.1	SRX5190955		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197080	simple	9606	Homo sapiens	GSM3535549							no					GEO	SRA827993		public	2D9CC40F29AB52A31C58F4146A6E3140	22057413F85F6270E2C24C66A5069894	10663327	MM.1S 10 uM melphalan mRNA replicate 10	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197080	GSM3535549	MM.1S		10 uM melphalan	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.10.uM.melphalan.24.h
SAMN10663328	SRR8380980	2019-07-02T15:57:12Z	2020-02-22T14:53:59Z	50667237	10234781874	50667237	202	3651		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380980.sralite.1	SRX5190954		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197079	simple	9606	Homo sapiens	GSM3535548							no					GEO	SRA827993		public	331FA3139A4F95DD857AF6702E9D4498	26E5759A8D9C308152515F4D511D311D	10663328	MM.1S 10 uM melphalan mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197079	GSM3535548	MM.1S		10 uM melphalan	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.10.uM.melphalan.24.h
SAMN10663329	SRR8380979	2019-07-02T15:57:12Z	2020-02-22T11:07:53Z	65974684	13326886168	65974684	202	4719		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380979.sralite.1	SRX5190953		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197078	simple	9606	Homo sapiens	GSM3535547							no					GEO	SRA827993		public	C166F3004BC1AFA34F9FEB9FE1A780B6	49B88C938E05BF2FE4DD184D950C8177	10663329	MM.1S 10 uM melphalan mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197078	GSM3535547	MM.1S		10 uM melphalan	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.10.uM.melphalan.24.h
SAMN10663330	SRR8380978	2019-07-02T15:57:12Z	2020-02-22T18:33:47Z	81264102	16415348604	81264102	202	5876		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380978.sralite.1	SRX5190952		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197077	simple	9606	Homo sapiens	GSM3535546							no					GEO	SRA827993		public	0B2CFC0FCD45BB7CB08C76C269DA32AB	CB65509B45E1315AE4D9C06C2B892672	10663330	MM.1S 18 nM carfilzomib mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197077	GSM3535546	MM.1S		18 nM carfilzomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.18.nM.carfilzomib.24.h
SAMN10663331	SRR8380977	2019-07-02T15:57:12Z	2020-02-22T11:17:57Z	45572486	9205642172	45572486	202	3275		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380977.sralite.1	SRX5190951		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197076	simple	9606	Homo sapiens	GSM3535545							no					GEO	SRA827993		public	81D9F58A841DA19D9C16EF060923F80C	AABE053D8CB66EE9B6B0ED71E389E446	10663331	MM.1S 18 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197076	GSM3535545	MM.1S		18 nM carfilzomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.18.nM.carfilzomib.24.h
SAMN10663332	SRR8380976	2019-07-02T15:57:12Z	2020-02-22T11:13:45Z	45605539	9212318878	45605539	202	3304		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380976.sralite.1	SRX5190950		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197075	simple	9606	Homo sapiens	GSM3535544							no					GEO	SRA827993		public	6EB764347C1B72FCA9748CEFBBE84945	7A5962D1A16B0F23F9CD70CC22E9F096	10663332	MM.1S 18 nM carfilzomib mRNA replicate 1	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197075	GSM3535544	MM.1S		18 nM carfilzomib	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h	MM.1S.stras.18.nM.carfilzomib.24.h
SAMN10663333	SRR8380975	2019-07-02T15:57:12Z	2020-02-22T10:38:03Z	33271322	8384373144	33271322	252	3138		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380975.sralite.1	SRX5190949		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197074	simple	9606	Homo sapiens	GSM3535543							no					GEO	SRA827993		public	1FC9F2022AFF97688E83DF47664E6862	FCE1E03C7BDF3233339E7C01864FD81E	10663333	MM.1S DMSO mRNA replicate 8	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197074	GSM3535543	MM.1S		DMSO	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h (untreated)	MM.1S.stras.DMSO.24.h..untreated.
SAMN10663334	SRR8380974	2019-07-02T15:57:12Z	2020-02-22T12:09:08Z	48564855	9810100710	48564855	202	3515		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380974.sralite.1	SRX5190948		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197073	simple	9606	Homo sapiens	GSM3535542							no					GEO	SRA827993		public	6E96133F1DB675904FD5CE681D179FC5	96FE878A62497B43E0CAA9E12F8EAB00	10663334	MM.1S DMSO mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197073	GSM3535542	MM.1S		DMSO	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h (untreated)	MM.1S.stras.DMSO.24.h..untreated.
SAMN10663335	SRR8380973	2019-07-02T15:57:12Z	2020-02-22T11:23:12Z	42144214	8513131228	42144214	202	3549		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380973.sralite.1	SRX5190947		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197072	simple	9606	Homo sapiens	GSM3535541							no					GEO	SRA827993		public	D453892AA6AA8C5EE5A01EBDFEF725F2	106E3A749D4EA9D70D1C5A3908EA5D27	10663335	MM.1S DMSO mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197072	GSM3535541	MM.1S		DMSO	single timepoint response alternative splicing	MM.1S myeloma cell line	24 h (untreated)	MM.1S.stras.DMSO.24.h..untreated.
SAMN10663336	SRR8380972	2019-07-02T15:57:12Z	2020-02-22T10:05:51Z	28865878	1472159778	0	51	856		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380972.sralite.1	SRX5190946		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP174924	PRJNA512268	3	512268	SRS4197071	simple	9606	Homo sapiens	GSM3535540							no					GEO	SRA827993		public	E7C39425C07D75B1156DCAF501B191F7	3476647E2C87332A2077710DE16C76A2	10663336	MM.1S 30 nM carfilzomib 24 h mRNA	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197071	GSM3535540	MM.1S		30 nM carfilzomib	timecourse gene expression	MM.1S myeloma cell line	24 h	MM.1S.tmge.30.nM.carfilzomib.24.h
SAMN10663337	SRR8380971	2019-07-02T15:57:12Z	2020-02-22T10:02:41Z	26781554	1365859254	0	51	794		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/380/SRR8380971.sralite.1	SRX5190945		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP174924	PRJNA512268	3	512268	SRS4197070	simple	9606	Homo sapiens	GSM3535539							no					GEO	SRA827993		public	F188FC0DF57BD55A1071B60B787E7E60	4B2201B5D4EBA2D31A1C64FA8722A922	10663337	MM.1S 30 nM carfilzomib 16 h mRNA	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197070	GSM3535539	MM.1S		30 nM carfilzomib	timecourse gene expression	MM.1S myeloma cell line	16 h	MM.1S.tmge.30.nM.carfilzomib.16.h
SAMN10663338	SRR8380970	2019-07-02T15:57:12Z	2020-02-22T09:58:56Z	47501639	2422583589	0	51	1400		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380970.sralite.1	SRX5190944		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP174924	PRJNA512268	3	512268	SRS4197069	simple	9606	Homo sapiens	GSM3535538							no					GEO	SRA827993		public	9303F7B43B07EEF4C866E14E74877511	D366814B7D36852990C14F4EB76DBDE8	10663338	MM.1S 30 nM carfilzomib 08 h mRNA	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197069	GSM3535538	MM.1S		30 nM carfilzomib	timecourse gene expression	MM.1S myeloma cell line	8 h	MM.1S.tmge.30.nM.carfilzomib.8.h
SAMN10663339	SRR8380969	2019-07-02T15:57:12Z	2020-02-22T10:00:28Z	35375889	1804170339	0	51	1046		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/380/SRR8380969.sralite.1	SRX5190943		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP174924	PRJNA512268	3	512268	SRS4197068	simple	9606	Homo sapiens	GSM3535537							no					GEO	SRA827993		public	A57CA3E0EA7210392A64867A5B167F02	726414337747646B8A0BB965E7F4FB61	10663339	MM.1S 30 nM carfilzomib 00 h mRNA	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197068	GSM3535537	MM.1S		untreated	timecourse gene expression	MM.1S myeloma cell line	0 h (untreated)	MM.1S.tmge.untreated.0.h..untreated.
SAMN10663340	SRR8381011	2019-07-02T15:57:13Z	2020-02-22T10:29:16Z	29864677	6032664754	29864677	202	2295		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/381/SRR8381011.sralite.1	SRX5190985		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197110	simple	9606	Homo sapiens	GSM3535579							no					GEO	SRA827993		public	2BCEAB135F80337A434738AA7253B0BF	2ED8FE5A2B8B1E1E4D3B91CFF1E3C180	10663340	AMO-1 SRSF1mSA 15 nM carfilzomib mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197110	GSM3535579	AMO-1		15 nM carfilzomib	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSRSF1SAeas.15.nM.carfilzomib.24.h
SAMN10663341	SRR8381010	2019-07-02T15:57:13Z	2020-02-22T15:06:15Z	52224420	10549332840	52224420	202	4029		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/381/SRR8381010.sralite.1	SRX5190984		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197109	simple	9606	Homo sapiens	GSM3535578							no					GEO	SRA827993		public	E9C1056D63766BD199F30A730416450F	070A4BA4F5C6823C81EFE3416EDC4F47	10663341	AMO-1 SRSF1mSA 15 nM carfilzomib mRNA replicate 2	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197109	GSM3535578	AMO-1		15 nM carfilzomib	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSRSF1SAeas.15.nM.carfilzomib.24.h
SAMN10663342	SRR8381009	2019-07-02T15:57:13Z	2020-02-22T12:51:58Z	39799166	8039431532	39799166	202	3085		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/381/SRR8381009.sralite.1	SRX5190983		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197108	simple	9606	Homo sapiens	GSM3535577							no					GEO	SRA827993		public	FA1ED84C4AE7A59244B83E7910EAA6EC	48FCF04DC56985AB9B58B11E388389F0	10663342	AMO-1 SRSF1mSA 15 nM carfilzomib mRNA replicate 4	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197108	GSM3535577	AMO-1		15 nM carfilzomib	exogenous SRSF1mSA effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSRSF1SAeas.15.nM.carfilzomib.24.h
SAMN10663343	SRR8381008	2019-07-02T15:57:13Z	2020-02-22T10:38:13Z	39139243	7906127086	39139243	202	2986		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/381/SRR8381008.sralite.1	SRX5190982		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP174924	PRJNA512268	3	512268	SRS4197107	simple	9606	Homo sapiens	GSM3535576							no					GEO	SRA827993		public	A9FCC095011122E8EF0CD5765A6764BE	096D99C3BF373642F7C352B15EFCC3DF	10663343	AMO-1 SRSF1mSD 15 nM carfilzomib mRNA replicate 3	Wiita Lab, Laboratory Medicine, University of California San Francisco	9606	SRS4197107	GSM3535576	AMO-1		15 nM carfilzomib	exogenous SRSF1mSD effect alternative splicing	AMO-1 myeloma cell line	24 h	AMO.1.eSRSF1SDeas.15.nM.carfilzomib.24.h
