BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	Biological replicate	age	biomaterial_provider	cell_line	disease	disease_stage	isolate	sample_type	sex	tissue	treatment	group
SAMN13087978	SRR10326427	2019-11-14T16:02:05Z	2019-10-28T12:48:12Z	26841962	7767292731	26824820	289	1964	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032642/SRR10326427.1	SRX7036711	B 2-5	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556618	simple	9606	Homo sapiens	H2030_MRTX849_QDX1_24hr_2					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	09FD57CBD80538F79D954839255D6AF8	1DFF8B62819E5C9EFC7A555DBA40E2E4	13087978	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX1_24hr_2	SRA: SRS5556618	Biological replicate 2	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX1_24hr	H2030.MRTX849_QDX1_24hr
SAMN13087979	SRR10326426	2019-11-14T16:02:05Z	2019-10-28T12:53:32Z	20508703	5929726267	20497476	289	1656	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326426/SRR10326426.1	SRX7036712	B 2-6	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556619	simple	9606	Homo sapiens	H2030_MRTX849_QDX1_24hr_3					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	F4A2474DAC479FDCE598ED062DE1EC85	5278642E2DB9261AD71A192FF0262877	13087979	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX1_24hr_3	SRA: SRS5556619	Biological replicate 3	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX1_24hr	H2030.MRTX849_QDX1_24hr
SAMN13087980	SRR10326425	2019-11-14T16:02:05Z	2019-10-28T12:48:24Z	20899006	6043691451	20884590	289	1492	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326425/SRR10326425.1	SRX7036713	B 4-1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556620	simple	9606	Homo sapiens	H2030_MRTX849_QDX7_6hr_1					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	58A31D349B11EB295C283E293233612A	E7BBFEB83A7F77F255132B31B91CAA99	13087980	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX7_6hr_1	SRA: SRS5556620	Biological replicate 1	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX7_6hr	H2030.MRTX849_QDX7_6hr
SAMN13087981	SRR10326424	2019-11-14T16:02:05Z	2019-10-28T12:48:04Z	24399559	6892040534	24384173	282	1871	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032642/SRR10326424.1	SRX7036714	B 4-2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556621	simple	9606	Homo sapiens	H2030_MRTX849_QDX7_6hr_2					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	7838E2C85C40045FAD81E44FEA6A1E59	9AB0258AE19A0A1087CBD31DBEF27BCA	13087981	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX7_6hr_2	SRA: SRS5556621	Biological replicate 2	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX7_6hr	H2030.MRTX849_QDX7_6hr
SAMN13087982	SRR10326422	2019-11-14T16:02:05Z	2019-10-28T12:47:55Z	23922385	6779151050	23909655	283	1558	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032642/SRR10326422.1	SRX7036716	B 4-3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556623	simple	9606	Homo sapiens	H2030_MRTX849_QDX7_6hr_3					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	F7FF964B0058629312B4DEF4F301081F	5ACB605CE53D0DB71A4942346F82FF1E	13087982	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX7_6hr_3	SRA: SRS5556623	Biological replicate 3	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX7_6hr	H2030.MRTX849_QDX7_6hr
SAMN13087983	SRR10326421	2019-11-14T16:02:05Z	2019-10-28T12:42:05Z	20448951	5797765302	20437117	283	1574	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326421/SRR10326421.1	SRX7036717	B 4-5	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556624	simple	9606	Homo sapiens	H2030_MRTX849_QDX7_24hr_1					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	45B7058C4EEDAE59F2A1323FB780878D	EF893BE9400E5A4321898B05B4A23177	13087983	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX7_24hr_1	SRA: SRS5556624	Biological replicate 1	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX7_24hr	H2030.MRTX849_QDX7_24hr
SAMN13087984	SRR10326420	2019-11-14T16:02:05Z	2019-10-28T12:52:40Z	20347366	5781684531	20340684	284	1356	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10326420/SRR10326420.1	SRX7036718	B 4-6	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556625	simple	9606	Homo sapiens	H2030_MRTX849_QDX7_24hr_2					male		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	C7EE104AD941F2D547CBD2A877D271A0	7493B9F6977DAD7911C38DA1F6F650F5	13087984	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2030_MRTX849_QDX7_24hr_2	SRA: SRS5556625	Biological replicate 2	not applicable	ATCC	H2030	adenocarcinoma; non-small cell lung cancer	""	not applicable	xenograft	male	lung; derived from metastatic site: lymph node	MRTX849_QDX7_24hr	H2030.MRTX849_QDX7_24hr
SAMN13087985	SRR10326483	2019-11-14T16:02:04Z	2019-10-28T12:56:22Z	25999773	7365743377	25985374	283	1622	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032648/SRR10326483.1	SRX7036655	A-1-1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556562	simple	9606	Homo sapiens	H2122_Vehicle_QDX1_24hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	44D7CFCA0E0EC063732182A2F2C170BE	06A81AFCDDEDBC851F560EA26CBB89E5	13087985	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Vehicle_QDX1_24hr_1	SRA: SRS5556562	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Vehicle_QDX1_24hr	H2122.Vehicle_QDX1_24hr
SAMN13087986	SRR10326482	2019-11-14T16:02:04Z	2019-10-28T12:46:43Z	22206854	6375444012	22197332	287	1349	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10326482/SRR10326482.1	SRX7036656	A-1-2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556563	simple	9606	Homo sapiens	H2122_Vehicle_QDX1_24hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	EE6FDE814D753AE8CF9BFBBBD2B69959	7D4A8D09F54F2A972B5C23679E88D9C1	13087986	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Vehicle_QDX1_24hr_2	SRA: SRS5556563	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Vehicle_QDX1_24hr	H2122.Vehicle_QDX1_24hr
SAMN13087987	SRR10326481	2019-11-14T16:02:04Z	2019-10-28T12:58:15Z	27577712	7861092006	27561813	285	2165	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032648/SRR10326481.1	SRX7036657	A-1-3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556564	simple	9606	Homo sapiens	H2122_Vehicle_QDX1_24hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	8EF4736EB62C8882D96DEDE9CF022C20	A25C8B74D07EE37776D7D37B500159E8	13087987	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Vehicle_QDX1_24hr_3	SRA: SRS5556564	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Vehicle_QDX1_24hr	H2122.Vehicle_QDX1_24hr
SAMN13087988	SRR10326480	2019-11-14T16:02:04Z	2019-10-28T12:43:52Z	21561938	6235035491	21547231	289	1334	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326480/SRR10326480.1	SRX7036658	A-1-4	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556565	simple	9606	Homo sapiens	H2122_Vehicle_QDX7_24hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	DD1E061D2B589C53BF737843AA500D78	E0E8761DBF332156535B0A156EC41538	13087988	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Vehicle_QDX7_24hr_1	SRA: SRS5556565	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Vehicle_QDX7_24hr	H2122.Vehicle_QDX7_24hr
SAMN13087989	SRR10326479	2019-11-14T16:02:04Z	2019-10-28T12:47:21Z	26333564	7643973925	26322009	290	1631	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032647/SRR10326479.1	SRX7036659	A-1-5	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556566	simple	9606	Homo sapiens	H2122_Vehicle_QDX7_24hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	11F9186623320C1B075FA48904417397	28F9D2115F60A47079C14CBD8C9C3491	13087989	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Vehicle_QDX7_24hr_2	SRA: SRS5556566	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Vehicle_QDX7_24hr	H2122.Vehicle_QDX7_24hr
SAMN13087990	SRR10326477	2019-11-14T16:02:04Z	2019-10-28T12:46:14Z	26743755	7694043739	26720287	287	2131	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1032647/SRR10326477.1	SRX7036661	A-1-6	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556568	simple	9606	Homo sapiens	H2122_Vehicle_QDX7_24hr_3					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	017FA9B2B8B3F7D464616CDDDB29E789	95E363035E568995ECFE7C82B0735E76	13087990	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_Vehicle_QDX7_24hr_3	SRA: SRS5556568	Biological replicate 3	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	Vehicle_QDX7_24hr	H2122.Vehicle_QDX7_24hr
SAMN13087991	SRR10326476	2019-11-14T16:02:04Z	2019-10-28T12:46:57Z	21747599	6206625335	21736575	285	1527	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326476/SRR10326476.1	SRX7036662	A-2-1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556569	simple	9606	Homo sapiens	H2122_MRTX849_QDX1_6hr_1					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	4F22AEE22B3D4F564D9C424F6BE6B027	6FD6BFD69184E0064C11EAAE1C7AC005	13087991	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX1_6hr_1	SRA: SRS5556569	Biological replicate 1	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX1_6hr	H2122.MRTX849_QDX1_6hr
SAMN13087992	SRR10326475	2019-11-14T16:02:04Z	2019-10-28T12:54:48Z	19760868	5696699913	19751165	288	1346	GCF_000001405.29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10326475/SRR10326475.1	SRX7036663	A-2-2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP226644	PRJNA578935		578935	SRS5556570	simple	9606	Homo sapiens	H2122_MRTX849_QDX1_6hr_2					female		no					MIRATI THERAPEUTICS, INC.	SRA983490		public	8AF064E7802DAE0E25D3132B7EDF669B	7BC4BC2BF63F52C31BCFFEF4068FDC3A	13087992	Human sample from Homo sapiens	Mirati Therapeutics, Inc.	9606	Sample name: H2122_MRTX849_QDX1_6hr_2	SRA: SRS5556570	Biological replicate 2	not applicable	ATCC	H2122	adenocarcinoma; non-small cell lung cancer	stage 4	not applicable	xenograft	female	lung; derived from metastatic site: pleural effusion	MRTX849_QDX1_6hr	H2122.MRTX849_QDX1_6hr
