BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	mtap status	replicate	source_name	treatment
SAMN10955834	SRR8582931	2019-08-15T15:52:20Z	2019-02-15T17:56:13Z	110024358	22224920316	110024358	202	11150		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582931/SRR8582931.1	SRX5383630		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372545	simple	9606	Homo sapiens	GSM3610487							no					GEO	SRA849758		public	7D775EC10E248C2850668D8EC2E5333A	0F9E479CE5D900DA5B0721CF60F8EB46	10955834	PANC03.27_MTAP_KO_DMSO_N2	GlaxoSmithKline LLC	9606	SRS4372545	GSM3610487	PANC03.27	Knock out	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955835	SRR8582930	2019-08-15T15:52:20Z	2019-02-15T17:57:23Z	126870186	25627777572	126870186	202	12719		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582930/SRR8582930.1	SRX5383629		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372544	simple	9606	Homo sapiens	GSM3610486							no					GEO	SRA849758		public	6B32D654BBC9C89E91E5F7034639D919	74797C471C7CD09B7801EB977DEF296C	10955835	PANC03.27_MTAP_KO_DMSO_N1	GlaxoSmithKline LLC	9606	SRS4372544	GSM3610486	PANC03.27	Knock out	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955836	SRR8582925	2019-08-15T15:52:19Z	2019-02-15T17:43:28Z	101725303	20548511206	101725303	202	9609		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582925/SRR8582925.1	SRX5383624		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372539	simple	9606	Homo sapiens	GSM3610481							no					GEO	SRA849758		public	8A2B72F29FF40EE956B493A9ED70C270	704D3672975959472991D2CCFAD3590D	10955836	PANC03.27_MTAP_WT_GSK712_N2	GlaxoSmithKline LLC	9606	SRS4372539	GSM3610481	PANC03.27	Parental	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955837	SRR8582924	2019-08-15T15:52:19Z	2019-02-15T17:46:58Z	113349426	22896584052	113349426	202	11219		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8582924/SRR8582924.1	SRX5383623		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372538	simple	9606	Homo sapiens	GSM3610480							no					GEO	SRA849758		public	10A73259D3BC77816EAEDC83010C2C83	030045B41C94F74B0F040C510B7AA582	10955837	PANC03.27_MTAP_WT_GSK712_N1	GlaxoSmithKline LLC	9606	SRS4372538	GSM3610480	PANC03.27	Parental	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955838	SRR8582923	2019-08-15T15:52:19Z	2019-02-15T17:44:53Z	105627007	21336655414	105627007	202	9859		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582923/SRR8582923.1	SRX5383622		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372537	simple	9606	Homo sapiens	GSM3610479							no					GEO	SRA849758		public	8E4E7071589B0F5D0C9E0BB63EB386C0	B7D0BDAF1850B3E291BCAF954CFC4DB1	10955838	PANC03.27_MTAP_WT_DMSO_N2	GlaxoSmithKline LLC	9606	SRS4372537	GSM3610479	PANC03.27	Parental	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955839	SRR8582922	2019-08-15T15:52:19Z	2019-02-15T18:04:25Z	100022615	20204568230	100022615	202	9624		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8582922/SRR8582922.1	SRX5383621		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372536	simple	9606	Homo sapiens	GSM3610478							no					GEO	SRA849758		public	428A813D2D3A29A8B3D81C26CADBB598	1BD3DC91B98EDE2F7E5C6EEF58F52EE6	10955839	PANC03.27_MTAP_WT_DMSO_N1	GlaxoSmithKline LLC	9606	SRS4372536	GSM3610478	PANC03.27	Parental	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955840	SRR8582921	2019-08-15T15:52:19Z	2019-02-15T17:48:37Z	109817505	22183136010	109817505	202	10540		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582921/SRR8582921.1	SRX5383620		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372535	simple	9606	Homo sapiens	GSM3610477							no					GEO	SRA849758		public	8B5F4E46DDA70854CE34ED450B355616	977F9801B4958C009FFD405B4054DE27	10955840	PANC08.13_N2_GSK712	GlaxoSmithKline LLC	9606	SRS4372535	GSM3610477	PANC08.13	NA	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955841	SRR8582920	2019-08-15T15:52:19Z	2019-02-15T18:01:06Z	129228773	26104212146	129228773	202	12304		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582920/SRR8582920.1	SRX5383619		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372534	simple	9606	Homo sapiens	GSM3610476							no					GEO	SRA849758		public	6BC8AD1861DCDA9B963F7A27C234D3A1	A46300A96BCF50AC3592DAC5EE24E112	10955841	PANC08.13_N2_DMSO	GlaxoSmithKline LLC	9606	SRS4372534	GSM3610476	PANC08.13	NA	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955842	SRR8582919	2019-08-15T15:52:19Z	2019-02-15T18:00:00Z	129100846	26078370892	129100846	202	12309		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582919/SRR8582919.1	SRX5383618		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372533	simple	9606	Homo sapiens	GSM3610475							no					GEO	SRA849758		public	811D0D62A488B260CC43609339255258	E48E5989632F20E7CC65BA5404A26791	10955842	PANC08.13_N1_GSK712	GlaxoSmithKline LLC	9606	SRS4372533	GSM3610475	PANC08.13	NA	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955843	SRR8582918	2019-08-15T15:52:19Z	2019-02-15T17:58:10Z	125928339	25437524478	125928339	202	12013		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582918/SRR8582918.1	SRX5383617		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372532	simple	9606	Homo sapiens	GSM3610474							no					GEO	SRA849758		public	9ABD3A70BF2CCFD79C811C25E07D45D7	FB6DBC96F38092156B1C254EF62E7EB7	10955843	PANC08.13_N1_DMSO	GlaxoSmithKline LLC	9606	SRS4372532	GSM3610474	PANC08.13	NA	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955844	SRR8582914	2019-08-15T15:52:19Z	2019-02-15T17:57:45Z	133360649	26938851098	133360649	202	13350		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582914/SRR8582914.1	SRX5383613		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372528	simple	9606	Homo sapiens	GSM3610470							no					GEO	SRA849758		public	528229F09F16B54D49BD4BD7CC5F6396	616A489AF083D394195880903C0AE91D	10955844	HupT4_N1_DMSO	GlaxoSmithKline LLC	9606	SRS4372528	GSM3610470	HuPT4	NA	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955845	SRR8582913	2019-08-15T15:52:19Z	2019-02-15T17:44:29Z	122913788	24828585176	122913788	202	11334		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8582913/SRR8582913.1	SRX5383612		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372527	simple	9606	Homo sapiens	GSM3610469							no					GEO	SRA849758		public	B7107A8271907D52BB297C8DE7A99FF6	46D7E01E50813411275B7F19C82878AD	10955845	CAPAN-2_N2_GSK712	GlaxoSmithKline LLC	9606	SRS4372527	GSM3610469	CAPAN-2	NA	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955846	SRR8582912	2019-08-15T15:52:19Z	2019-02-15T17:53:34Z	123278397	24902236194	123278397	202	11548		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582912/SRR8582912.1	SRX5383611		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372526	simple	9606	Homo sapiens	GSM3610468							no					GEO	SRA849758		public	3BC26F3D2408E6BBC2EF991602136164	AD5C1586E8792D843388B26555760267	10955846	CAPAN-2_N2_DMSO	GlaxoSmithKline LLC	9606	SRS4372526	GSM3610468	CAPAN-2	NA	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955847	SRR8582917	2019-08-15T15:52:19Z	2019-02-15T17:55:03Z	131313569	26525340938	131313569	202	12901		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8582917/SRR8582917.1	SRX5383616		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372531	simple	9606	Homo sapiens	GSM3610473							no					GEO	SRA849758		public	30290098D12348DA01132F6FED4AC93D	3967C67EB961E4EFE858A08AEC86C8AD	10955847	HupT4_N2_GSK712	GlaxoSmithKline LLC	9606	SRS4372531	GSM3610473	HuPT4	NA	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955848	SRR8582916	2019-08-15T15:52:19Z	2019-02-15T18:00:32Z	139276268	28133806136	139276268	202	13963		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582916/SRR8582916.1	SRX5383615		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372530	simple	9606	Homo sapiens	GSM3610472							no					GEO	SRA849758		public	3E6B69E03547FC8881BA1D904520AED0	E5CBD13EFEBE6A2D0CC46DD138392C89	10955848	HupT4_N2_DMSO	GlaxoSmithKline LLC	9606	SRS4372530	GSM3610472	HuPT4	NA	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955849	SRR8582915	2019-08-15T15:52:19Z	2019-02-15T17:46:10Z	134362665	27141258330	134362665	202	13393		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582915/SRR8582915.1	SRX5383614		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372529	simple	9606	Homo sapiens	GSM3610471							no					GEO	SRA849758		public	099C69ED034F88E0ED1727CDD4B1091F	9067CF651CF30A5E0D5AE68E329F3CAF	10955849	HupT4_N1_GSK712	GlaxoSmithKline LLC	9606	SRS4372529	GSM3610471	HuPT4	NA	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955850	SRR8582911	2019-08-15T15:52:19Z	2019-02-15T17:51:43Z	128038581	25863793362	128038581	202	11974		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582911/SRR8582911.1	SRX5383610		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372525	simple	9606	Homo sapiens	GSM3610467							no					GEO	SRA849758		public	396AB7F48EAF65006FCF6525859E15C2	2BD91C6C872920A62860F7FB28497131	10955850	CAPAN-2_N1_GSK712	GlaxoSmithKline LLC	9606	SRS4372525	GSM3610467	CAPAN-2	NA	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955851	SRR8582910	2019-08-15T15:52:19Z	2019-02-15T17:41:44Z	107228286	21660113772	107228286	202	10139		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582910/SRR8582910.1	SRX5383609		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372524	simple	9606	Homo sapiens	GSM3610466							no					GEO	SRA849758		public	A3DA9B53F8CEE4F1CFBFB144DA5B9187	7EB90B0CBFBFE3B687636392CBEE3B1E	10955851	CAPAN-2_N1_DMSO	GlaxoSmithKline LLC	9606	SRS4372524	GSM3610466	CAPAN-2	NA	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
SAMN10955852	SRR8582909	2019-08-15T15:52:19Z	2019-02-15T17:47:40Z	128929607	26043780614	128929607	202	12480		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8582909/SRR8582909.1	SRX5383608		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372523	simple	9606	Homo sapiens	GSM3610465							no					GEO	SRA849758		public	60B099C1E2F18CDFA66CF29A6DE8224C	E2E6826D777668520EDE0CEE96DEAC57	10955852	BxPC3_N2_GSK712	GlaxoSmithKline LLC	9606	SRS4372523	GSM3610465	BxPC3	NA	Replicate #2	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955853	SRR8582908	2019-08-15T15:52:19Z	2019-02-15T17:58:12Z	127281149	25710792098	127281149	202	12868		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8582908/SRR8582908.1	SRX5383607		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372522	simple	9606	Homo sapiens	GSM3610464							no					GEO	SRA849758		public	48E2AE60365B61A804A2DD3DE793BC6E	E874196B72BF14362958C54FB08AF4F9	10955853	BxPC3_N2_DMSO	GlaxoSmithKline LLC	9606	SRS4372522	GSM3610464	BxPC3	NA	Replicate #2	Pancreatic cancer cell line	Control (DMSO)
SAMN10955854	SRR8582907	2019-08-15T15:52:19Z	2019-02-15T17:53:51Z	121996173	24643226946	121996173	202	11904		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8582907/SRR8582907.1	SRX5383606		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372521	simple	9606	Homo sapiens	GSM3610463							no					GEO	SRA849758		public	7CE2ECF89FD72563C9BD5A6FE31B20AB	9E531C6CFA768D5BC7013AB1FD4E250A	10955854	BxPC3_N1_GSK712	GlaxoSmithKline LLC	9606	SRS4372521	GSM3610463	BxPC3	NA	Replicate #1	Pancreatic cancer cell line	Treated (GSK3368712)
SAMN10955855	SRR8582906	2019-08-15T15:52:19Z	2019-02-15T17:57:00Z	133261914	26918906628	133261914	202	13355		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8582906/SRR8582906.1	SRX5383605		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP186070	PRJNA522801		522801	SRS4372520	simple	9606	Homo sapiens	GSM3610462							no					GEO	SRA849758		public	8090AE6BC3F68CE9CAC8B4E316A6D47D	969877645DEFAF0EDB1173B84E044422	10955855	BxPC3_N1_DMSO	GlaxoSmithKline LLC	9606	SRS4372520	GSM3610462	BxPC3	NA	Replicate #1	Pancreatic cancer cell line	Control (DMSO)
