BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	source_name	treatment	dtep	group
SAMN09466888	SRR7407822	2019-03-02T11:47:05Z	2018-06-21T19:00:53Z	16167057	808352850	0	50	287		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR7407822/SRR7407822.1	SRX4279373		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444448	simple	9606	Homo sapiens	GSM3209388							no					GEO	SRA726173		public	73B21583640272D668E158B930BB4850	C8BB7A9304327DD8BD6A08C1DF568034	9466888	J4_THZ1_250NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444448	GSM3209388	Mantle cell lymphoma	250nM THZ1	j4	j4.thz1_250nM_6hr
SAMN09466887	SRR7407823	2019-03-02T11:47:05Z	2018-06-21T19:01:42Z	21871267	1093563350	0	50	383		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407823/SRR7407823.1	SRX4279374		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444449	simple	9606	Homo sapiens	GSM3209389							no					GEO	SRA726173		public	5C98E70EDE127C8F492BB0C2D3E01480	420BAF660F58AAF61F79FD23EED9D1E8	9466887	L20_DMSO_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444449	GSM3209389	Mantle cell lymphoma	none	l20	l20.dmso
SAMN09466886	SRR7407824	2019-03-02T11:47:05Z	2018-06-21T19:04:27Z	12947864	647393200	0	50	247		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407824/SRR7407824.1	SRX4279375		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444450	simple	9606	Homo sapiens	GSM3209390							no					GEO	SRA726173		public	9C8B4B1E6DF196B9DFD2452A62DE952E	7F605C8B41690D1050C293C50A3F26A1	9466886	L20_DMSO_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444450	GSM3209390	Mantle cell lymphoma	none	l20	l20.dmso
SAMN09466885	SRR7407825	2019-03-02T11:47:05Z	2018-06-21T19:01:34Z	19608356	980417800	0	50	345		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7407825/SRR7407825.1	SRX4279376		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444451	simple	9606	Homo sapiens	GSM3209391							no					GEO	SRA726173		public	D08731A6ACC58951F9295A91C8DBED8A	46CFF47D90176751B67F40D0B8D193EB	9466885	L20_DMSO_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444451	GSM3209391	Mantle cell lymphoma	none	l20	l20.dmso
SAMN09466884	SRR7407826	2019-03-02T11:47:05Z	2018-06-21T19:06:28Z	25859821	1292991050	0	50	451		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407826/SRR7407826.1	SRX4279377		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444453	simple	9606	Homo sapiens	GSM3209392							no					GEO	SRA726173		public	1885F34D1EC8647D6998BF84D97B9A49	1CC8EC525F449352319DAD94A12E92FF	9466884	L20_THZ1_50NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444453	GSM3209392	Mantle cell lymphoma	50nM THZ1	l20	l20.thz1_50nM_6hr
SAMN09466883	SRR7407827	2019-03-02T11:47:05Z	2018-06-21T19:00:40Z	16665973	833298650	0	50	317		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407827/SRR7407827.1	SRX4279378		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444454	simple	9606	Homo sapiens	GSM3209393							no					GEO	SRA726173		public	51705045C741FCB8E865786AB74D47C6	37A60D3CACB4D3C3C61BE9EBE8B16150	9466883	L20_THZ1_50NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444454	GSM3209393	Mantle cell lymphoma	50nM THZ1	l20	l20.thz1_50nM_6hr
SAMN09466882	SRR7407828	2019-03-02T11:47:05Z	2018-06-21T19:06:09Z	19979760	998988000	0	50	351		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7407828/SRR7407828.1	SRX4279379		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444452	simple	9606	Homo sapiens	GSM3209394							no					GEO	SRA726173		public	C326C3D8A4DBCF562C84A249BAFB0D35	6E90FFA2E09AEFDC79911D444F784CCA	9466882	L20_THZ1_50NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444452	GSM3209394	Mantle cell lymphoma	50nM THZ1	l20	l20.thz1_50nM_6hr
SAMN09466881	SRR7407829	2019-03-02T11:47:05Z	2018-06-21T19:01:50Z	20987469	1049373450	0	50	367		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407829/SRR7407829.1	SRX4279380		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444456	simple	9606	Homo sapiens	GSM3209395							no					GEO	SRA726173		public	C24685F5F1EBF4DF804F63C224FB1741	DE727A703911A4A4638359AE486DD882	9466881	L20_THZ1_250NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444456	GSM3209395	Mantle cell lymphoma	250nM THZ1	l20	l20.thz1_250nM_6hr
SAMN09466880	SRR7407830	2019-03-02T11:47:05Z	2018-06-21T19:01:31Z	15061412	753070600	0	50	287		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407830/SRR7407830.1	SRX4279381		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444455	simple	9606	Homo sapiens	GSM3209396							no					GEO	SRA726173		public	8D18160C430DFD37507016DCA94453FA	30F6985C4992DC5A7AA2529F221ED1A0	9466880	L20_THZ1_250NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444455	GSM3209396	Mantle cell lymphoma	250nM THZ1	l20	l20.thz1_250nM_6hr
SAMN09466879	SRR7407831	2019-03-02T11:47:05Z	2018-06-21T19:05:21Z	33068963	1653448150	0	50	582		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407831/SRR7407831.1	SRX4279382		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444457	simple	9606	Homo sapiens	GSM3209397							no					GEO	SRA726173		public	CD325F9DC020EDB66FF6493088BFFA4D	232A057E4085CA9105C22C9D06E7A821	9466879	L20_THZ1_250NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444457	GSM3209397	Mantle cell lymphoma	250nM THZ1	l20	l20.thz1_250nM_6hr
SAMN09466878	SRR7407832	2019-03-02T11:47:05Z	2018-06-21T19:06:48Z	24480980	1224049000	0	50	429		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407832/SRR7407832.1	SRX4279383		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444458	simple	9606	Homo sapiens	GSM3209398							no					GEO	SRA726173		public	A722A6BC7CE7AA828BC086BEC9D56180	C56A39D2AD5A06B33817C63FDA169ABF	9466878	PAR_DMSO_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444458	GSM3209398	Mantle cell lymphoma	none	par	par.dmso
SAMN09466877	SRR7407833	2019-03-02T11:47:05Z	2018-06-21T19:05:12Z	17549890	877494500	0	50	334		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407833/SRR7407833.1	SRX4279384		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444459	simple	9606	Homo sapiens	GSM3209399							no					GEO	SRA726173		public	CDB4FED65C20447FBC287147B3AA6F5E	A66EE02E9E80986979B1DC67252C68D1	9466877	PAR_DMSO_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444459	GSM3209399	Mantle cell lymphoma	none	par	par.dmso
SAMN09466918	SRR7407834	2019-03-02T11:47:05Z	2018-06-21T19:04:39Z	27834113	1391705650	0	50	490		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407834/SRR7407834.1	SRX4279385		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444460	simple	9606	Homo sapiens	GSM3209400							no					GEO	SRA726173		public	0D8E4882747CFC594FA031B0D2FD6359	E0949F338A4FA924CBC9AE4F8923767D	9466918	PAR_DMSO_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444460	GSM3209400	Mantle cell lymphoma	none	par	par.dmso
SAMN09466917	SRR7407835	2019-03-02T11:47:05Z	2018-06-21T19:01:52Z	20803023	1040151150	0	50	365		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407835/SRR7407835.1	SRX4279386		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444461	simple	9606	Homo sapiens	GSM3209401							no					GEO	SRA726173		public	99D81A66A3C6BC46D590E16D8647F1FA	9C86C8FEB276CA80433414DF8F3B2CDD	9466917	PAR_THZ1_50NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444461	GSM3209401	Mantle cell lymphoma	50nM THZ1	par	par.thz1_50nM_6hr
SAMN09466916	SRR7407836	2019-03-02T11:47:05Z	2018-06-21T19:03:22Z	21899519	1094975950	0	50	418		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407836/SRR7407836.1	SRX4279387		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444462	simple	9606	Homo sapiens	GSM3209402							no					GEO	SRA726173		public	43F19593393F68AA39DD6635DFDACB50	E7AF70B09A6159527F780AFBB600DA84	9466916	PAR_THZ1_50NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444462	GSM3209402	Mantle cell lymphoma	50nM THZ1	par	par.thz1_50nM_6hr
SAMN09466915	SRR7407837	2019-03-02T11:47:05Z	2018-06-21T19:03:59Z	23296287	1164814350	0	50	413		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407837/SRR7407837.1	SRX4279388		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444463	simple	9606	Homo sapiens	GSM3209403							no					GEO	SRA726173		public	55B321D6FD81E8EA6A133AEF7FAE948D	333CD5B04433DCE67DFC61F1287B587B	9466915	PAR_THZ1_50NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444463	GSM3209403	Mantle cell lymphoma	50nM THZ1	par	par.thz1_50nM_6hr
SAMN09466914	SRR7407838	2019-03-02T11:47:05Z	2018-06-21T19:04:48Z	23541244	1177062200	0	50	412		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407838/SRR7407838.1	SRX4279389		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444464	simple	9606	Homo sapiens	GSM3209404							no					GEO	SRA726173		public	CB733F3FCF77816277CC300A7CDD178F	12228196C79DC0F995C7540EE0D8BE83	9466914	PAR_THZ1_250NM_1	Qi, Cancer Biology, Dana-Farber	9606	SRS3444464	GSM3209404	Mantle cell lymphoma	250nM THZ1	par	par.thz1_250nM_6hr
SAMN09466913	SRR7407839	2019-03-02T11:47:05Z	2018-06-21T19:01:58Z	17498545	874927250	0	50	333		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7407839/SRR7407839.1	SRX4279390		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444465	simple	9606	Homo sapiens	GSM3209405							no					GEO	SRA726173		public	3C08F36AC9D2BF235439489B3D32744C	4170B9507A9704B1797D4C19D13F6D24	9466913	PAR_THZ1_250NM_2	Qi, Cancer Biology, Dana-Farber	9606	SRS3444465	GSM3209405	Mantle cell lymphoma	250nM THZ1	par	par.thz1_250nM_6hr
SAMN09466912	SRR7407840	2019-03-02T11:47:06Z	2018-06-21T19:01:38Z	20696303	1034815150	0	50	364		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7407840/SRR7407840.1	SRX4279391		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP151047	PRJNA477352	3	477352	SRS3444466	simple	9606	Homo sapiens	GSM3209406							no					GEO	SRA726173		public	1331330F446EBCCD0C61C8B86CA699E3	476F0DD317E028D6E1C457DDCE57BC19	9466912	PAR_THZ1_250NM_3	Qi, Cancer Biology, Dana-Farber	9606	SRS3444466	GSM3209406	Mantle cell lymphoma	250nM THZ1	par	par.thz1_250nM_6hr
