BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line name	replicate	source_name	treatment	treatment time	tumor type	group
SAMN05597429	SRR4044988	2016-08-23T16:47:43Z	2016-08-19T15:36:24Z	16537093	1686783486	16537093	102	1058		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044988/SRR4044988.1	SRX2035852		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629733	simple	9606	Homo sapiens	GSM2285396							no					GEO	SRA453630		public	65ECA96A11F2A94CBE45CC3DF417B6AD	5DC4BE6E3EF6D46AE8F5163B06E2DD93	5597429	OCIAML2_AZD5153_24_1	AstraZeneca	9606	SRS1629733	GSM2285396	OCIAML2	1	Cancer cell line	AZD5153	24 h	aml	OCIAML2.AZD5153
SAMN05597427	SRR4044989	2016-08-23T16:47:43Z	2016-08-19T15:36:50Z	18911418	1928964636	18911418	102	1223		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044989/SRR4044989.1	SRX2035853		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629736	simple	9606	Homo sapiens	GSM2285397							no					GEO	SRA453630		public	594ACFD52E8B9798A832652ED64CA1D4	EB9131DE87C9AE42E68BC4E8963275A8	5597427	OCIAML2_AZD5153_24_2	AstraZeneca	9606	SRS1629736	GSM2285397	OCIAML2	2	Cancer cell line	AZD5153	24 h	aml	OCIAML2.AZD5153
SAMN05597426	SRR4044990	2016-08-23T16:47:43Z	2016-08-19T15:39:21Z	14184563	1446825426	14184563	102	895		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044990/SRR4044990.1	SRX2035854		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629735	simple	9606	Homo sapiens	GSM2285398							no					GEO	SRA453630		public	3C44A39344FBBF60AA09EA41A014BB43	DC3C66254416695CC0C2552F4CDD7CBE	5597426	KG1A_AZD5153_24_1	AstraZeneca	9606	SRS1629735	GSM2285398	KG1A	1	Cancer cell line	AZD5153	24 h	aml	KG1A.AZD5153
SAMN05597424	SRR4044991	2016-08-23T16:47:43Z	2016-08-19T15:41:02Z	15216244	1552056888	15216244	102	973		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044991/SRR4044991.1	SRX2035855		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629738	simple	9606	Homo sapiens	GSM2285399							no					GEO	SRA453630		public	C8E28469E0172FBE49251CDF93C32EB6	FD09DFC674A535B6E7AC96B5DD24743B	5597424	KG1A_AZD5153_24_2	AstraZeneca	9606	SRS1629738	GSM2285399	KG1A	2	Cancer cell line	AZD5153	24 h	aml	KG1A.AZD5153
SAMN05597422	SRR4044992	2016-08-23T16:47:43Z	2016-08-19T15:40:28Z	17982800	1834245600	17982800	102	1120		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4044992/SRR4044992.1	SRX2035856		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629737	simple	9606	Homo sapiens	GSM2285400							no					GEO	SRA453630		public	B56EE5C12D1C6923BB44AFC82B49E740	F0195A7949B8203BAD004295BEF25E4D	5597422	MOLM13_AZD5153_24_1	AstraZeneca	9606	SRS1629737	GSM2285400	MOLM13	1	Cancer cell line	AZD5153	24 h	aml	MOLM13.AZD5153
SAMN05597420	SRR4044993	2016-08-23T16:47:43Z	2016-08-19T15:35:52Z	12702024	1295606448	12702024	102	842		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044993/SRR4044993.1	SRX2035857		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629739	simple	9606	Homo sapiens	GSM2285401							no					GEO	SRA453630		public	BEECA52973A275DF7FF834DAFAE2BBDD	962A364DB591FC8F34365C682100AF0D	5597420	MOLM13_AZD5153_24_2	AstraZeneca	9606	SRS1629739	GSM2285401	MOLM13	2	Cancer cell line	AZD5153	24 h	aml	MOLM13.AZD5153
SAMN05597418	SRR4044994	2016-08-23T16:47:43Z	2016-08-19T15:37:40Z	15143392	1544625984	15143392	102	978		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044994/SRR4044994.1	SRX2035858		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629741	simple	9606	Homo sapiens	GSM2285402							no					GEO	SRA453630		public	0F8B0D84F4161BA1AB65042192F96964	4D1F5227F067CEAD719CCE8C8E350308	5597418	OCILY19_DMSO_24_1	AstraZeneca	9606	SRS1629741	GSM2285402	OCILY19	1	Cancer cell line	DMSO	24 h	dlbcl	OCILY19.DMSO
SAMN05597416	SRR4044995	2016-08-23T16:47:43Z	2016-08-19T15:36:43Z	18589226	1896101052	18589226	102	1196		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044995/SRR4044995.1	SRX2035859		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629740	simple	9606	Homo sapiens	GSM2285403							no					GEO	SRA453630		public	17E9316CA9EA2FF5194C00789FCDD7FF	FAD566A70CF84660C519EB38C882A220	5597416	OCILY19_DMSO_24_2	AstraZeneca	9606	SRS1629740	GSM2285403	OCILY19	2	Cancer cell line	DMSO	24 h	dlbcl	OCILY19.DMSO
SAMN05597415	SRR4044996	2016-08-23T16:47:43Z	2016-08-19T15:40:25Z	26419026	2694740652	26419026	102	1707		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-10/SRR4044996/SRR4044996.1	SRX2035860		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629742	simple	9606	Homo sapiens	GSM2285404							no					GEO	SRA453630		public	E2110629B419A7862F620FE43F89F342	5D7C5DCF4BCF3900F2A60CE6BA528061	5597415	WILL2_DMSO_24_1	AstraZeneca	9606	SRS1629742	GSM2285404	WILL2	1	Cancer cell line	DMSO	24 h	dlbcl	WILL2.DMSO
SAMN05597413	SRR4044997	2016-08-23T16:47:43Z	2016-08-19T15:42:08Z	22958981	2341816062	22958981	102	1527		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044997/SRR4044997.1	SRX2035861		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629743	simple	9606	Homo sapiens	GSM2285405							no					GEO	SRA453630		public	18399124CF3D8CDD11EA00558797535D	6E0323BC2C1A5AFD5B77872282AE28DE	5597413	WILL2_DMSO_24_2	AstraZeneca	9606	SRS1629743	GSM2285405	WILL2	2	Cancer cell line	DMSO	24 h	dlbcl	WILL2.DMSO
SAMN05597411	SRR4044998	2016-08-23T16:47:43Z	2016-08-19T15:45:18Z	26984571	2752426242	26984571	102	1732		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044998/SRR4044998.1	SRX2035862		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629744	simple	9606	Homo sapiens	GSM2285406							no					GEO	SRA453630		public	BD3655FA945B438DA668EE77519C5D53	A2679D05BAC5D57502C010B9E432DFFE	5597411	MV411_DMSO_24_1	AstraZeneca	9606	SRS1629744	GSM2285406	MV411	1	Cancer cell line	DMSO	24 h	aml	MV411.DMSO
SAMN05597409	SRR4044999	2016-08-23T16:47:43Z	2016-08-19T15:41:24Z	16909044	1724722488	16909044	102	1057		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4044999/SRR4044999.1	SRX2035863		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629745	simple	9606	Homo sapiens	GSM2285407							no					GEO	SRA453630		public	4740EB3017F7D0FA043748FA4FCFFEDD	822CBF10B54424C9E0A96F3D47436E0D	5597409	MV411_DMSO_24_2	AstraZeneca	9606	SRS1629745	GSM2285407	MV411	2	Cancer cell line	DMSO	24 h	aml	MV411.DMSO
SAMN05597465	SRR4045000	2016-08-23T16:47:43Z	2016-08-19T15:40:46Z	19004792	1938488784	19004792	102	1217		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4045000/SRR4045000.1	SRX2035864		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629747	simple	9606	Homo sapiens	GSM2285408							no					GEO	SRA453630		public	9F0EF8B990697DE4E99D3801075E0613	5BC6151CDF6C33034A07B124A75357FF	5597465	MV411_DMSO_24_3	AstraZeneca	9606	SRS1629747	GSM2285408	MV411	3	Cancer cell line	DMSO	24 h	aml	MV411.DMSO
SAMN05597466	SRR4045001	2016-08-23T16:47:43Z	2016-08-19T15:39:46Z	20919234	2133761868	20919234	102	1326		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4045001/SRR4045001.1	SRX2035865		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629746	simple	9606	Homo sapiens	GSM2285409							no					GEO	SRA453630		public	3A5215DF169BCF8BE9E65776059BD145	DE79E915386530E4CE6030C5C65B601A	5597466	MM1S_DMSO_24_1	AstraZeneca	9606	SRS1629746	GSM2285409	MM1S	1	Cancer cell line	DMSO	24 h	mm	MM1S.DMSO
SAMN05597463	SRR4045002	2016-08-23T16:47:43Z	2016-08-19T15:43:51Z	22354030	2280111060	22354030	102	1377		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4045002/SRR4045002.1	SRX2035866		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629748	simple	9606	Homo sapiens	GSM2285410							no					GEO	SRA453630		public	9592A3398202194824299B191A68A9FA	81C8A9B3469A947A366722CD28D12A72	5597463	MM1S_DMSO_24_2	AstraZeneca	9606	SRS1629748	GSM2285410	MM1S	2	Cancer cell line	DMSO	24 h	mm	MM1S.DMSO
SAMN05597462	SRR4045003	2016-08-23T16:47:43Z	2016-08-19T15:44:59Z	20497639	2090759178	20497639	102	1289		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4045003/SRR4045003.1	SRX2035867		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629749	simple	9606	Homo sapiens	GSM2285411							no					GEO	SRA453630		public	1D891EF8CB4CC3DCC6BFEE9500DC4DD4	6422C9B560C54657213F2EAB3F7F1BFB	5597462	MM1S_DMSO_24_3	AstraZeneca	9606	SRS1629749	GSM2285411	MM1S	3	Cancer cell line	DMSO	24 h	mm	MM1S.DMSO
SAMN05597460	SRR4045004	2016-08-23T16:47:43Z	2016-08-19T15:41:38Z	15633573	1594624446	15633573	102	999		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR4045004/SRR4045004.1	SRX2035868		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP082423	PRJNA339566	2	339566	SRS1629750	simple	9606	Homo sapiens	GSM2285412							no					GEO	SRA453630		public	5001240241DA843B62620192631555E4	EE658856A8258F5F8EC150429CA3D5AA	5597460	IM9_DMSO_24_1	AstraZeneca	9606	SRS1629750	GSM2285412	IM9	1	Cancer cell line	DMSO	24 h	mm	IM9.DMSO
