BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	time	tissue	treatment
SAMN29048026	SRR19659384	2022-06-14T22:06:21Z	2022-06-14T19:44:27Z	17201477	1273820672	0	74	538		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19659/SRR19659384/SRR19659384.lite.1	SRX15709157	GSM6244098	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403624	simple	9606	Homo sapiens	GSM6244098							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	1F8C57A01710026E6280FFB89221007A	93979B7E334594BCF480064EA41F9CDA	29048026	U2940_IBR_2_S5	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403624	GSM6244098	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, IBR treated, 48hrs		pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048027	SRR19659385	2022-06-14T22:06:21Z	2022-06-14T19:45:33Z	16276576	1200098592	0	73	506		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659385/SRR19659385.lite.1	SRX15709156	GSM6244097	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403623	simple	9606	Homo sapiens	GSM6244097							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	0705B4B2C088DD4D10C9749F00FDD4C8	FD0CAF1ED964E2EE86831ECE39DB58F7	29048027	U2940_IBR_1_S4	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403623	GSM6244097	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, IBR treated, 48hrs		pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048028	SRR19659386	2022-06-14T22:06:21Z	2022-06-14T19:44:52Z	18773495	1389798513	0	74	593		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19659/SRR19659386/SRR19659386.lite.1	SRX15709155	GSM6244096	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403622	simple	9606	Homo sapiens	GSM6244096							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	23770EAE9932903BFA7CA52AFA3859EA	330D4A22A5347870BA690EEA3A214F45	29048028	U2940_BV_3_S3	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403622	GSM6244096	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, BV treated, 48hrs		pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048029	SRR19659387	2022-06-14T22:06:21Z	2022-06-14T19:46:45Z	21492132	1588597384	0	73	672		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659387/SRR19659387.lite.1	SRX15709154	GSM6244095	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403621	simple	9606	Homo sapiens	GSM6244095							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	6B0D0877F2CD2D053533C8BE3E4AD4EE	4979AC768862A7125E97B864AA245472	29048029	U2940_BV_2_S2	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403621	GSM6244095	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, BV treated, 48hrs		pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048030	SRR19659388	2022-06-14T22:06:21Z	2022-06-14T19:45:42Z	19026282	1407975516	0	74	596		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659388/SRR19659388.lite.1	SRX15709153	GSM6244094	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403620	simple	9606	Homo sapiens	GSM6244094							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	E5668157BD6EDE96796908EB0379673C	7660EB2BE31E761302F168EC57A634FB	29048030	U2940_BV_1_S1	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403620	GSM6244094	U-2940	Primary mediastinal B-cell lymphoma	U2940 cells, BV treated, 48hrs		pleural effusion	Brentuximab vedotin (BV) 25ng/ul
SAMN29048031	SRR19659389	2022-06-14T22:06:21Z	2022-06-14T19:45:19Z	16025969	1184111318	0	73	498		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19659/SRR19659389/SRR19659389.lite.1	SRX15709152	GSM6244093	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403619	simple	9606	Homo sapiens	GSM6244093							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	56DF0E6BBD6A29689B29A73AB791D4BA	EE829676A293221B7C6F35B33A623DE6	29048031	L428_UT_3_S15	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403619	GSM6244093	L-428	Hodgkin lymphoma	L428 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048032	SRR19659390	2022-06-14T22:06:21Z	2022-06-14T19:43:52Z	16068019	1191267835	0	74	503		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19659/SRR19659390/SRR19659390.lite.1	SRX15709151	GSM6244092	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403618	simple	9606	Homo sapiens	GSM6244092							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	FAC097098A30427CBF293327D8946712	937B8469906C347ED0465060FEB1194C	29048032	L428_UT_2_S14	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403618	GSM6244092	L-428	Hodgkin lymphoma	L428 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048033	SRR19659391	2022-06-14T22:06:21Z	2022-06-14T19:47:21Z	18831196	1392012312	0	73	586		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19659/SRR19659391/SRR19659391.lite.1	SRX15709150	GSM6244091	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403617	simple	9606	Homo sapiens	GSM6244091							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	7F2B305D3640E14C00CCF0DA400C8285	CD36B0651450C0D7B420111575A357B3	29048033	L428_UT_1_S13	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403617	GSM6244091	L-428	Hodgkin lymphoma	L428 cells, Untreated, 48hrs	48 hours	pleural effusion	Untreated (UT) RPMI media
SAMN29048034	SRR19659392	2022-06-14T22:06:21Z	2022-06-14T19:44:36Z	14806411	1097943042	0	74	466		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19659/SRR19659392/SRR19659392.lite.1	SRX15709149	GSM6244090	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403616	simple	9606	Homo sapiens	GSM6244090							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	5D0EFD1DD6EAB95594C08369D5CFC4C4	40231EAE57F7BDE6038855569894EC53	29048034	L428_RmAb_3_S12	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403616	GSM6244090	L-428	Hodgkin lymphoma	L428 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048035	SRR19659393	2022-06-14T22:06:21Z	2022-06-14T19:46:38Z	18506208	1365372463	0	73	573		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659393/SRR19659393.lite.1	SRX15709148	GSM6244089	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403615	simple	9606	Homo sapiens	GSM6244089							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	0B6C4C0EA2F6314BB44D0423E0476B72	1DA26773ED277BD75B8AD7AFD9A9D383	29048035	L428_RmAb_2_S11	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403615	GSM6244089	L-428	Hodgkin lymphoma	L428 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048036	SRR19659394	2022-06-14T22:06:21Z	2022-06-14T19:46:26Z	19732578	1460143395	0	73	616		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19659/SRR19659394/SRR19659394.lite.1	SRX15709147	GSM6244088	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403614	simple	9606	Homo sapiens	GSM6244088							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	BAF4EFBE1528F22B681B4B4F17B655C0	16A797DF9A4611CD390A186FBE02B9B1	29048036	L428_RmAb_1_S10	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403614	GSM6244088	L-428	Hodgkin lymphoma	L428 cells, RmAb treated, 48hrs	48 hours	pleural effusion	Rituximab (RmAb) 200ug/ml
SAMN29048037	SRR19659395	2022-06-14T22:06:21Z	2022-06-14T19:47:17Z	20762365	1535727985	0	73	645		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19659/SRR19659395/SRR19659395.lite.1	SRX15709146	GSM6244087	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403613	simple	9606	Homo sapiens	GSM6244087							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	DE0E74FB541A7A0A906EFFAC6EC68F53	242D6B9297DBFA4B14799E89F3B9BF1D	29048037	L428_PRED_3_S9	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403613	GSM6244087	L-428	Hodgkin lymphoma	L428 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048038	SRR19659396	2022-06-14T22:06:21Z	2022-06-14T19:45:33Z	19516477	1445879166	0	74	610		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19659/SRR19659396/SRR19659396.lite.1	SRX15709145	GSM6244086	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403612	simple	9606	Homo sapiens	GSM6244086							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	9E67167CAA32BFF73131536B5DDA1F8E	CDC561BB8AEAB9A45B36F5F30765FDA5	29048038	L428_PRED_2_S8	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403612	GSM6244086	L-428	Hodgkin lymphoma	L428 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048039	SRR19659397	2022-06-14T22:06:21Z	2022-06-14T19:43:32Z	14458223	1072339648	0	74	447		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19659/SRR19659397/SRR19659397.lite.1	SRX15709144	GSM6244085	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403611	simple	9606	Homo sapiens	GSM6244085							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	5C3A1DB70A383885F531B299C6634233	FF4A909B1AA1930002F8DB7FB0C255D2	29048039	L428_PRED_1_S7	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403611	GSM6244085	L-428	Hodgkin lymphoma	L428 cells, PRED treated, 48hrs	48 hours	pleural effusion	Prednisone (PRED) 60ug/ml
SAMN29048040	SRR19659398	2022-06-14T22:06:21Z	2022-06-14T19:46:06Z	16366723	1211146425	0	74	511		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR019/19659/SRR19659398/SRR19659398.lite.1	SRX15709143	GSM6244084	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403610	simple	9606	Homo sapiens	GSM6244084							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	021F591D02B1D024522E41924446090F	58D4D3019380A11292D9DB0BABA3FBBA	29048040	L428_IBR_3_S6	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403610	GSM6244084	L-428	Hodgkin lymphoma	L428 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048041	SRR19659399	2022-06-14T22:06:21Z	2022-06-14T19:42:59Z	16768661	1241023231	0	74	523		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19659/SRR19659399/SRR19659399.lite.1	SRX15709142	GSM6244083	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403609	simple	9606	Homo sapiens	GSM6244083							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	FBEFF4FFA018A15CAD2EFF3356AB2D7B	8149B7AA5135F5D2394B87242DD65958	29048041	L428_IBR_2_S5	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403609	GSM6244083	L-428	Hodgkin lymphoma	L428 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048042	SRR19659400	2022-06-14T22:06:21Z	2022-06-14T19:46:17Z	18722210	1385454149	0	74	583		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19659/SRR19659400/SRR19659400.lite.1	SRX15709141	GSM6244082	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403608	simple	9606	Homo sapiens	GSM6244082							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	4D3C2E2BD572D2B1710B4EE8A94D5E71	32ED7983638F40235A9533F73A0A86D8	29048042	L428_IBR_1_S4	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403608	GSM6244082	L-428	Hodgkin lymphoma	L428 cells, IBR treated, 48hrs	48 hours	pleural effusion	Ibrutinib (IBR) 2.5uM
SAMN29048043	SRR19659401	2022-06-14T22:06:21Z	2022-06-14T19:44:08Z	19179584	1419263030	0	73	597		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19659/SRR19659401/SRR19659401.lite.1	SRX15709140	GSM6244081	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP381792	PRJNA849261		849261	SRS13403607	simple	9606	Homo sapiens	GSM6244081							no					NEUROSCIENCE AND PHYSIOLOGY, SUNY UPSTATE MEDICAL UNIV	SRA1437580		public	14B070FC28A3F1E39674A72B315462B4	21B986751AA2DBB84191F82953FAB43E	29048043	L428_BV_3_S3	Neuroscience and Physiology, SUNY Upstate Medical Univ	9606	SRS13403607	GSM6244081	L-428	Hodgkin lymphoma	L428 cells, BV treated, 48hrs	48 hours	pleural effusion	Brentuximab vedotin (BV) 25ng/ul
