BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	tissue source	treatment	group
SAMN02721639	SRR1223551	2014-04-14T10:02:10Z	2014-04-09T00:18:41Z	21365765	2136576500	21365765	100	1411		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223551/SRR1223551.1	SRX513322		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590265	simple	9606	Homo sapiens	GSM1365942							no					GEO	SRA156980		public	A48CA0DBB8268552F96EEE6C21D3ACD4	4B7059DD1A85E5DC4735B33DEE579042	2721639	11.24hr.JJN3.Control	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590265	GSM1365942	JJN3	Multiple myeloma	24hr	bone marrow	Control	JJN3.Control.24hr
SAMN02721624	SRR1223552	2014-04-14T10:02:10Z	2014-04-09T00:19:36Z	24386980	2438698000	24386980	100	1633		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223552/SRR1223552.1	SRX513323		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590266	simple	9606	Homo sapiens	GSM1365943							no					GEO	SRA156980		public	5644FDC1C7C76F9B070B3A3D15316041	1133C43FA3D8EFB7B174016D33DB52DF	2721624	12.24hr.JJN3.LBH.589	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590266	GSM1365943	JJN3	Multiple myeloma	24hr	bone marrow	LBH.589	JJN3.LBH.589.24hr
SAMN02721625	SRR1223553	2014-04-14T10:02:10Z	2014-04-09T00:19:10Z	22731152	2273115200	22731152	100	1477		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223553/SRR1223553.1	SRX513324		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590267	simple	9606	Homo sapiens	GSM1365944							no					GEO	SRA156980		public	7B8905CF62393839B74A4AC057C655ED	155845E0485956C99569802055EFF263	2721625	13.24hr.JJN3.5.AZA	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590267	GSM1365944	JJN3	Multiple myeloma	24hr	bone marrow	5.AZA	JJN3.5.AZA.24hr
SAMN02721630	SRR1223554	2014-04-14T10:02:10Z	2014-04-09T00:18:38Z	20926228	2092622800	20926228	100	1360		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223554/SRR1223554.1	SRX513325		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590268	simple	9606	Homo sapiens	GSM1365945							no					GEO	SRA156980		public	F8D30808D9D285D1B99D6A369C28ED0C	749F6755B75C877F48FEF4D4509ACEA7	2721630	14.24hr.JJN3.Combo	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590268	GSM1365945	JJN3	Multiple myeloma	24hr	bone marrow	Combo	JJN3.Combo.24hr
SAMN02721629	SRR1223555	2014-04-14T10:02:10Z	2014-04-09T00:20:18Z	22061629	2206162900	22061629	100	1426		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223555/SRR1223555.1	SRX513326		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590269	simple	9606	Homo sapiens	GSM1365946							no					GEO	SRA156980		public	E1C5860651E4F4864C5C96686744E8F9	C51EA6E10A236CC3F16451B9378B6444	2721629	15.24hr.JJN3.NMP	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590269	GSM1365946	JJN3	Multiple myeloma	24hr	bone marrow	NMP	JJN3.NMP.24hr
SAMN02721621	SRR1223556	2014-04-14T10:02:10Z	2014-04-09T00:19:02Z	23687982	2368798200	23687982	100	1530		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223556/SRR1223556.1	SRX513327		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590270	simple	9606	Homo sapiens	GSM1365947							no					GEO	SRA156980		public	9143AAA522BCB3B5B8C55C8B1BC9AC78	49FF526106768622E1567DDE0F07180E	2721621	16.24hr.U266.Control	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590270	GSM1365947	U266	Multiple myeloma	24hr	peripheral blood	Control	U266.Control.24hr
SAMN02721626	SRR1223557	2014-04-14T10:02:10Z	2014-04-09T00:18:57Z	22264475	2226447500	22264475	100	1449		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223557/SRR1223557.1	SRX513328		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590271	simple	9606	Homo sapiens	GSM1365948							no					GEO	SRA156980		public	CD19D9D3E12628BEE4B5DDAD573F9B66	D3541DCDA0C42BF8A31D9142776EC094	2721626	17.24hr.U266.LBH.589	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590271	GSM1365948	U266	Multiple myeloma	24hr	peripheral blood	LBH.589	U266.LBH.589.24hr
SAMN02721632	SRR1223558	2014-04-14T10:02:10Z	2014-04-09T00:18:31Z	22082252	2208225200	22082252	100	1396		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223558/SRR1223558.1	SRX513329		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590272	simple	9606	Homo sapiens	GSM1365949							no					GEO	SRA156980		public	439336C9FAB1713B980C407B1B19582C	E31E64C0EEB5555F931E55F6E2FA6D8C	2721632	18.24hr.U266.5.AZA	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590272	GSM1365949	U266	Multiple myeloma	24hr	peripheral blood	5.AZA	U266.5.AZA.24hr
SAMN02721627	SRR1223559	2014-04-14T10:02:10Z	2014-04-09T00:17:42Z	20388417	2038841700	20388417	100	1291		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223559/SRR1223559.1	SRX513330		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590273	simple	9606	Homo sapiens	GSM1365950							no					GEO	SRA156980		public	E9A20444919CA53ED51FFECCA03A5D2D	D10739084F718C461E84B20633F654FF	2721627	19.24hr.U266.Combo	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590273	GSM1365950	U266	Multiple myeloma	24hr	peripheral blood	Combo	U266.Combo.24hr
SAMN02721631	SRR1223560	2014-04-14T10:02:10Z	2014-04-09T00:20:13Z	21409342	2140934200	21409342	100	1383		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223560/SRR1223560.1	SRX513331		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590274	simple	9606	Homo sapiens	GSM1365951							no					GEO	SRA156980		public	E26A6A8E45DFD190DD3655D8652C3134	0FA4643AB3E1EADC7589C641FF401CF9	2721631	20.24hr.U266.NMP	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590274	GSM1365951	U266	Multiple myeloma	24hr	peripheral blood	NMP	U266.NMP.24hr
SAMN02721628	SRR1223561	2014-04-14T10:02:10Z	2014-04-09T00:20:37Z	20394080	2039408000	20394080	100	1289		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223561/SRR1223561.1	SRX513332		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590275	simple	9606	Homo sapiens	GSM1365952							no					GEO	SRA156980		public	BD990601EFCF9F65F83C52850F138DA5	73392F096067D5E66B0003A60A4464FE	2721628	21.4hr.JJN3.Control.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590275	GSM1365952	JJN3	Multiple myeloma	4hr	bone marrow	Control	JJN3.Control.4hr
SAMN02721634	SRR1223562	2014-04-14T10:02:10Z	2014-04-09T00:21:46Z	21825791	2182579100	21825791	100	1378		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223562/SRR1223562.1	SRX513333		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590276	simple	9606	Homo sapiens	GSM1365953							no					GEO	SRA156980		public	F5F911E70C6073E1F8786B1015B9B8C4	2D705B4F266CC5A4A10890D0DF11290E	2721634	22.4hr.JJN3.LBH.589.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590276	GSM1365953	JJN3	Multiple myeloma	4hr	bone marrow	LBH.589	JJN3.LBH.589.4hr
SAMN02721636	SRR1223563	2014-04-14T10:02:10Z	2014-04-09T00:21:12Z	21284161	2128416100	21284161	100	1384		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223563/SRR1223563.1	SRX513334		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590277	simple	9606	Homo sapiens	GSM1365954							no					GEO	SRA156980		public	CD2430343F466E25F58042BCA61498F2	978A814081FEDED7430F23D78ECD2421	2721636	23.4hr.JJN3.5.AZA.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590277	GSM1365954	JJN3	Multiple myeloma	4hr	bone marrow	5.AZA	JJN3.5.AZA.4hr
SAMN02721642	SRR1223564	2014-04-14T10:02:10Z	2014-04-09T00:20:08Z	21067572	2106757200	21067572	100	1362		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223564/SRR1223564.1	SRX513335		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590278	simple	9606	Homo sapiens	GSM1365955							no					GEO	SRA156980		public	E335D3A8D8A06949C577C62DE89B3AEA	BB564252E0A3B27237B84C0DB59485C9	2721642	24.4hr.JJN3.Combo.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590278	GSM1365955	JJN3	Multiple myeloma	4hr	bone marrow	Combo	JJN3.Combo.4hr
SAMN02721633	SRR1223565	2014-04-14T10:02:10Z	2014-04-09T00:20:22Z	24304981	2430498100	24304981	100	1604		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223565/SRR1223565.1	SRX513336		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590279	simple	9606	Homo sapiens	GSM1365956							no					GEO	SRA156980		public	CDD9D84622014BB143CD591B4BD68888	FEA032790CD70E3B1944853F0DDF81D3	2721633	25.4hr.JJN3.NMP.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590279	GSM1365956	JJN3	Multiple myeloma	4hr	bone marrow	NMP	JJN3.NMP.4hr
SAMN02721655	SRR1223566	2014-04-14T10:02:10Z	2014-04-09T00:21:33Z	20819331	2081933100	20819331	100	1377		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223566/SRR1223566.1	SRX513337		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590280	simple	9606	Homo sapiens	GSM1365957							no					GEO	SRA156980		public	F8B5784EF0FC640933438C90BD815DFB	9227686BC3B9149C18D1E629825AD1B4	2721655	26.4hr.U266.Control.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590280	GSM1365957	U266	Multiple myeloma	4hr	peripheral blood	Control	U266.Control.4hr
SAMN02721635	SRR1223567	2014-04-14T10:02:10Z	2014-04-09T00:21:18Z	23108266	2310826600	23108266	100	1525		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223567/SRR1223567.1	SRX513338		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590281	simple	9606	Homo sapiens	GSM1365958							no					GEO	SRA156980		public	38737E64ABA2D3AD68DF466337F95D42	63436A28BF6A8077836748C42FACFA20	2721635	27.4hr.U266.LBH.589.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590281	GSM1365958	U266	Multiple myeloma	4hr	peripheral blood	LBH.589	U266.LBH.589.4hr
SAMN02721654	SRR1223568	2014-04-14T10:02:10Z	2014-04-09T00:21:09Z	22070840	2207084000	22070840	100	1460		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223568/SRR1223568.1	SRX513339		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590282	simple	9606	Homo sapiens	GSM1365959							no					GEO	SRA156980		public	6CD6B58441CFEAD0AFABFAFBC4354C21	A6CD08DD7AFA897DAEBB0B42065FEEA0	2721654	28.4hr.U266.5.AZA.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590282	GSM1365959	U266	Multiple myeloma	4hr	peripheral blood	5.AZA	U266.5.AZA.4hr
SAMN02721637	SRR1223569	2014-04-14T10:02:10Z	2014-04-09T00:20:14Z	20913844	2091384400	20913844	100	1400		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223569/SRR1223569.1	SRX513340		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590283	simple	9606	Homo sapiens	GSM1365960							no					GEO	SRA156980		public	7214D319469C61EE16A08018D1366A90	7AFFE364F8BE57F087B0DCEAD9AF421B	2721637	29.4hr.U266.Combo.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590283	GSM1365960	U266	Multiple myeloma	4hr	peripheral blood	Combo	U266.Combo.4hr
SAMN02721643	SRR1223570	2014-04-14T10:02:10Z	2014-04-09T00:20:47Z	23427246	2342724600	23427246	100	1528		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223570/SRR1223570.1	SRX513341		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590284	simple	9606	Homo sapiens	GSM1365961							no					GEO	SRA156980		public	5F12E20BB8FE9FCFDD233EAB88702565	690469CD334B5ADB19B2A3366052CF36	2721643	30.4hr.U266.NMP.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590284	GSM1365961	U266	Multiple myeloma	4hr	peripheral blood	NMP	U266.NMP.4hr
SAMN02721638	SRR1223571	2014-04-14T10:02:10Z	2014-04-09T00:21:11Z	22072401	2207240100	22072401	100	1436		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223571/SRR1223571.1	SRX513342		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590285	simple	9606	Homo sapiens	GSM1365962							no					GEO	SRA156980		public	B3388FDFD10FE17FDD36D7AA08121895	E3EB6B2356A18996A5873332AAEEE17D	2721638	31.24hr.JJN3.Control.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590285	GSM1365962	JJN3	Multiple myeloma	24hr	bone marrow	Control	JJN3.Control.24hr
SAMN02721641	SRR1223572	2014-04-14T10:02:10Z	2014-04-09T00:19:59Z	20477773	2047777300	20477773	100	1341		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223572/SRR1223572.1	SRX513343		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590286	simple	9606	Homo sapiens	GSM1365963							no					GEO	SRA156980		public	B4AF4A6031E4A7A05F5CD02E8C744C61	BFFBAC2085FFACC868359CF999A0129E	2721641	32.24hr.JJN3.LBH.589.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590286	GSM1365963	JJN3	Multiple myeloma	24hr	bone marrow	LBH.589	JJN3.LBH.589.24hr
SAMN02721648	SRR1223573	2014-04-14T10:02:10Z	2014-04-09T00:21:06Z	22296286	2229628600	22296286	100	1440		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1223573/SRR1223573.1	SRX513344		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP041036	PRJNA244098	2	244098	SRS590287	simple	9606	Homo sapiens	GSM1365964							no					GEO	SRA156980		public	6884D9073AF81E4CD25BDBC795110E54	D2865A02ACC399B1D1B7B0AC77B47ADA	2721648	33.24hr.JJN3.5.AZA.B	Gene Regulation, Cancer Therapeutics, Peter MacCallum Cancer Centre	9606	SRS590287	GSM1365964	JJN3	Multiple myeloma	24hr	bone marrow	5.AZA	JJN3.5.AZA.24hr
