BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex.x	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	Sex.y	age	cell line	collection_date	geo_loc_name	provider	source_name	treatment	vendor id	group
SAMN27108717	SRR19982852	2023-04-24T18:39:05Z	2022-07-05T14:25:28Z	2451163	121441846	0	49	52		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982852/SRR19982852.lite.1	SRX16025291	GSM5986711	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705511	simple	9606	Homo sapiens	GSM5986711							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	E8807EC3BD403E2650472388A89A330C	0A5109C3787CF9EF01260FEF4BFA9F5B	27108717	lncap_LNCAPPS5B_H2_Ro 106-9920_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705511	GSM5986711	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ro 106-9920	CRL-1740	LNCaP.Ro.106.9920.24hr
SAMN27108718	SRR19982853	2023-04-24T18:39:05Z	2022-07-05T14:25:30Z	2729750	135283731	0	49	58		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982853/SRR19982853.lite.1	SRX16025290	GSM5986710	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705510	simple	9606	Homo sapiens	GSM5986710							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	D823B5C612AF223E2357729252CD2B90	9F065B8C794ABB5DAFA6EE1C6C1C5925	27108718	lncap_LNCAPPS5B_H1_SB 216641 hydrochloride_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705510	GSM5986710	male	50	LNCaP	missing	missing	ATCC	prostate cancer	SB 216641 hydrochloride	CRL-1740	LNCaP.SB.216641.hydrochloride.24hr
SAMN27108719	SRR19982854	2023-04-24T18:39:05Z	2022-07-05T14:25:26Z	1897218	94066330	0	49	40		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR019/19982/SRR19982854/SRR19982854.lite.1	SRX16025289	GSM5986709	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705509	simple	9606	Homo sapiens	GSM5986709							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	945DCBE59CD98F781E6E7069C3756575	AEBD3841E21B8183CD7F7296863CC9F6	27108719	lncap_LNCAPPS5B_G12_Thapsigargin_0.01_24	Department of Systems Biology, Columbia University	9606	SRS13705509	GSM5986709	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Thapsigargin	CRL-1740	LNCaP.Thapsigargin.24hr
SAMN27108720	SRR19982855	2023-04-24T18:39:05Z	2022-07-07T04:27:43Z	3360799	166614788	0	49	70		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982855/SRR19982855.lite.1	SRX16025288	GSM5986708	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705507	simple	9606	Homo sapiens	GSM5986708							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	0EE31C4883D8905CF83E514A11B562A0	1FC94FD78361B1C79CF094E66CFD9354	27108720	lncap_LNCAPPS5B_G11_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705507	GSM5986708	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740	LNCaP.UNTREATED.24hr
SAMN27108721	SRR19982857	2023-04-24T18:39:05Z	2022-07-05T14:25:22Z	2117827	104938129	0	49	46		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982857/SRR19982857.lite.1	SRX16025255	GSM5986707	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705475	simple	9606	Homo sapiens	GSM5986707							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	6A3F01DB791157D3563A1724B3758226	EA6809363BBC9174B0030143930D5862	27108721	lncap_LNCAPPS5B_G10_Podophyllotoxin_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705475	GSM5986707	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Podophyllotoxin	CRL-1740	LNCaP.Podophyllotoxin.24hr
SAMN27108722	SRR19982856	2023-04-24T18:39:05Z	2022-07-05T14:25:39Z	3014791	149415604	0	49	63		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982856/SRR19982856.lite.1	SRX16025287	GSM5986706	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705508	simple	9606	Homo sapiens	GSM5986706							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	B276146EAD9D241774EF05987041D06A	DABB8AAED0CC73B6FF1FFAFD436A1EEE	27108722	lncap_LNCAPPS5B_G9_AC-93253 iodide_0.03_24	Department of Systems Biology, Columbia University	9606	SRS13705508	GSM5986706	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AC-93253 iodide	CRL-1740	LNCaP.AC.93253.iodide.24hr
SAMN27108723	SRR19982858	2023-04-24T18:39:05Z	2022-07-05T14:25:46Z	3637906	180371366	0	49	77		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR019/19982/SRR19982858/SRR19982858.lite.1	SRX16025286	GSM5986705	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705506	simple	9606	Homo sapiens	GSM5986705							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	D63A5E59D9680AD7F0DE3D62F6949A8B	3712EDD1D13A700C05C39AC046189644	27108723	lncap_LNCAPPS5B_G8_BNTX maleate salt hydrate_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705506	GSM5986705	male	50	LNCaP	missing	missing	ATCC	prostate cancer	BNTX maleate salt hydrate	CRL-1740	LNCaP.BNTX.maleate.salt.hydrate.24hr
SAMN27108724	SRR19982859	2023-04-24T18:39:05Z	2022-07-05T14:25:56Z	3790888	187901545	0	49	82		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982859/SRR19982859.lite.1	SRX16025285	GSM5986704	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705505	simple	9606	Homo sapiens	GSM5986704							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	EFB5A0558FD66FFAD20CC950246E18D0	AEA093E8219A394EF9C64119B06BABC7	27108724	lncap_LNCAPPS5B_G7_Bay 11-7085_3_24	Department of Systems Biology, Columbia University	9606	SRS13705505	GSM5986704	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Bay 11-7085	CRL-1740	LNCaP.Bay.11.7085.24hr
SAMN27108725	SRR19982860	2023-04-24T18:39:05Z	2022-07-05T14:25:32Z	3248467	161044223	0	49	69		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19982/SRR19982860/SRR19982860.lite.1	SRX16025284	GSM5986703	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705503	simple	9606	Homo sapiens	GSM5986703							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	988D4EF88A4C4776A24DF212BF40B7DC	5518BF1ADC38EF7E649947D90CF6C191	27108725	lncap_LNCAPPS5B_G6_Etonitazenyl isothiocyanate_4_24	Department of Systems Biology, Columbia University	9606	SRS13705503	GSM5986703	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Etonitazenyl isothiocyanate	CRL-1740	LNCaP.Etonitazenyl.isothiocyanate.24hr
SAMN27108726	SRR19982861	2023-04-24T18:39:05Z	2022-07-05T14:25:13Z	1546689	76674252	0	49	32		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982861/SRR19982861.lite.1	SRX16025283	GSM5986702	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705504	simple	9606	Homo sapiens	GSM5986702							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	D0B0863D8622AD3446E6E06A5CA76E3D	4A85A6A8304D89BFDA3819BD86B63A33	27108726	lncap_LNCAPPS5B_G5_JK 184_0.09_24	Department of Systems Biology, Columbia University	9606	SRS13705504	GSM5986702	male	50	LNCaP	missing	missing	ATCC	prostate cancer	JK 184	CRL-1740	LNCaP.JK.184.24hr
SAMN27108727	SRR19982862	2023-04-24T18:39:05Z	2022-07-05T14:26:18Z	4582297	227087147	0	49	101		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19982/SRR19982862/SRR19982862.lite.1	SRX16025282	GSM5986701	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705501	simple	9606	Homo sapiens	GSM5986701							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	446D4D0130F47E867ACB69D47C612E1C	AE300D3A62704DE48238F8CF8EA04F16	27108727	lncap_LNCAPPS5B_G4_AT 101_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705501	GSM5986701	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AT 101	CRL-1740	LNCaP.AT.101.24hr
SAMN27108728	SRR19982863	2023-04-24T18:39:05Z	2022-07-05T14:25:50Z	3737107	185162220	0	49	80		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19982/SRR19982863/SRR19982863.lite.1	SRX16025281	GSM5986700	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705502	simple	9606	Homo sapiens	GSM5986700							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	F15674D7A7D18FAA2F5E9B0DBC87F36A	410F1F7C35D5A7D180261A9B5E5D9E4E	27108728	lncap_LNCAPPS5B_G3_PHA 665752_4.5_24	Department of Systems Biology, Columbia University	9606	SRS13705502	GSM5986700	male	50	LNCaP	missing	missing	ATCC	prostate cancer	PHA 665752	CRL-1740	LNCaP.PHA.665752.24hr
SAMN27108729	SRR19982864	2023-04-24T18:39:05Z	2022-07-05T14:26:16Z	3938243	195174765	0	49	86		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982864/SRR19982864.lite.1	SRX16025280	GSM5986699	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705500	simple	9606	Homo sapiens	GSM5986699							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	BEF1189B07407F64EF67177AD8021EDA	A51F777571547064E2924B462B40DA41	27108729	lncap_LNCAPPS5B_G2_FIT_4_24	Department of Systems Biology, Columbia University	9606	SRS13705500	GSM5986699	male	50	LNCaP	missing	missing	ATCC	prostate cancer	FIT	CRL-1740	LNCaP.FIT.24hr
SAMN27108730	SRR19982865	2023-04-24T18:39:05Z	2022-07-05T14:25:37Z	3809146	188737874	0	49	88		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19982/SRR19982865/SRR19982865.lite.1	SRX16025279	GSM5986698	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705499	simple	9606	Homo sapiens	GSM5986698							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	D1FC2B2F3C9D80D1F24CD2218B93FC44	B484DCC40401587E107144FB2A62E153	27108730	lncap_LNCAPPS5B_G1_RS 17053 hydrochloride_2_24	Department of Systems Biology, Columbia University	9606	SRS13705499	GSM5986698	male	50	LNCaP	missing	missing	ATCC	prostate cancer	RS 17053 hydrochloride	CRL-1740	LNCaP.RS.17053.hydrochloride.24hr
SAMN27108731	SRR19982866	2023-04-24T18:39:05Z	2022-07-05T14:25:14Z	1767082	87600963	0	49	39		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19982/SRR19982866/SRR19982866.lite.1	SRX16025278	GSM5986697	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705498	simple	9606	Homo sapiens	GSM5986697							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	A42F6A72464F740EBB67655E00C2F1FD	159F5092BA3D4672A67C100744FF8F8C	27108731	lncap_LNCAPPS5B_F12_Tetraethylthiuram disulfide_0.11_24	Department of Systems Biology, Columbia University	9606	SRS13705498	GSM5986697	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Tetraethylthiuram disulfide	CRL-1740	LNCaP.Tetraethylthiuram.disulfide.24hr
SAMN27108732	SRR19982868	2023-04-24T18:39:05Z	2022-07-07T05:45:24Z	3071960	152292545	0	49	66		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19982/SRR19982868/SRR19982868.lite.1	SRX16025254	GSM5986696	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705474	simple	9606	Homo sapiens	GSM5986696							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	ABDF2C0495B3195062736D5E7398EBEC	15611D5DED050B046BA9072BE89DDFC2	27108732	lncap_LNCAPPS5B_F11_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705474	GSM5986696	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740	LNCaP.DMSO.24hr
SAMN27108733	SRR19982867	2023-04-24T18:39:05Z	2022-07-05T14:25:36Z	3594440	178138604	0	49	77		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19982/SRR19982867/SRR19982867.lite.1	SRX16025277	GSM5986695	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP384953	PRJNA821516	3	821516	SRS13705497	simple	9606	Homo sapiens	GSM5986695							no					DEPARTMENT OF SYSTEMS BIOLOGY, COLUMBIA UNIVERSITY	SRA1394566		public	C3E44A24380BD1B6D9333AB1E18E9365	6F4CBC290F2C62933AA91E8AB010F611	27108733	lncap_LNCAPPS5B_F10_beta-Lapachone_1_24	Department of Systems Biology, Columbia University	9606	SRS13705497	GSM5986695	male	50	LNCaP	missing	missing	ATCC	prostate cancer	beta-Lapachone	CRL-1740	LNCaP.beta.Lapachone.24hr
