BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	shRNA	source_name	time point	tissue	treatment
SAMN06075596	SRR5062124	2018-03-15T16:02:14Z	2016-11-30T08:05:22Z	25312418	1290933318	0	51	848		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062124.sralite.1	SRX2382602		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824876	simple	9606	Homo sapiens	GSM2410403							no					GEO	SRA499824		public	89EBE7F5D7641849E6AB6E3B2827AB63	52EEDE62A58E9DC81E156C8148BD07A1	6075596	HepG2_shIGF2BP3_1h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824876	GSM2410403	shIGF2BP3	HepG2 cells	1h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075597	SRR5062123	2018-03-15T16:02:14Z	2016-11-30T08:07:20Z	33113495	1688788245	0	51	1143		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062123.sralite.1	SRX2382601		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824875	simple	9606	Homo sapiens	GSM2410402							no					GEO	SRA499824		public	6698E757C43FEC83E20B68C3D8BDDC9A	ECD00EC31012833F2D017F5E42387A00	6075597	HepG2_shIGF2BP3_1h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824875	GSM2410402	shIGF2BP3	HepG2 cells	1h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075598	SRR5062122	2018-03-15T16:02:14Z	2016-11-30T08:15:34Z	56772970	2895421470	0	51	1874		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062122.sralite.1	SRX2382600		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824874	simple	9606	Homo sapiens	GSM2410401							no					GEO	SRA499824		public	41C1C9D4AED99A4A6468A4F76BB0594B	618EE72FEA766E3514E646872676D07C	6075598	HepG2_shIGF2BP3_0h_rep2 (RNA-seq_rep2)	Chen Lab, Systems Biology, City of Hope	9606	SRS1824874	GSM2410401	shIGF2BP3	HepG2 cells	0h	HepG2 cells	untreated
SAMN06075599	SRR5062121	2018-03-15T16:02:14Z	2016-11-30T08:11:00Z	31897609	1626778059	0	51	1100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062121/SRR5062121.sralite.1	SRX2382599		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824873	simple	9606	Homo sapiens	GSM2410400							no					GEO	SRA499824		public	DA1D441E441340771C06C614719114B2	2CF6D31A469DE600FBE496EE7FEFD2A9	6075599	HepG2_shIGF2BP3_0h_rep1 (RNA-seq_rep1)	Chen Lab, Systems Biology, City of Hope	9606	SRS1824873	GSM2410400	shIGF2BP3	HepG2 cells	0h	HepG2 cells	untreated
SAMN06075600	SRR5062120	2018-03-15T16:02:14Z	2016-11-30T08:05:51Z	26006060	1326309060	0	51	836		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062120/SRR5062120.sralite.1	SRX2382598		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824872	simple	9606	Homo sapiens	GSM2410399							no					GEO	SRA499824		public	85E6B5FB4852EC7B018B52AC15B77574	AD8570BBFDAFCFBFC04E3D2C51B830FD	6075600	HepG2_shIGF2BP1_6h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824872	GSM2410399	shIGF2BP1	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075601	SRR5062119	2018-03-15T16:02:14Z	2016-11-30T08:06:57Z	34254766	1746993066	0	51	1062		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062119.sralite.1	SRX2382597		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824871	simple	9606	Homo sapiens	GSM2410398							no					GEO	SRA499824		public	7BCA4070C989EFDA93F75542E861D7CC	B055477758C272E4565C6C9BD09D2DFC	6075601	HepG2_shIGF2BP1_6h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824871	GSM2410398	shIGF2BP1	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075602	SRR5062118	2018-03-15T16:02:14Z	2016-11-30T08:06:59Z	32980211	1681990761	0	51	1059		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062118/SRR5062118.sralite.1	SRX2382596		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824870	simple	9606	Homo sapiens	GSM2410397							no					GEO	SRA499824		public	D1A90B82A329DEE52A0F595C7CB35949	3DEBE1FB119FA9F4120A23B10FA093A8	6075602	HepG2_shIGF2BP1_3h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824870	GSM2410397	shIGF2BP1	HepG2 cells	3h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075603	SRR5062117	2018-03-15T16:02:14Z	2016-11-30T08:05:30Z	24703350	1259870850	0	51	772		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062117/SRR5062117.sralite.1	SRX2382595		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824869	simple	9606	Homo sapiens	GSM2410396							no					GEO	SRA499824		public	909849E86D6250BB9ACD6364BA57EBCC	F5D5CD017FB82DE2481CCC8C77C7B528	6075603	HepG2_shIGF2BP1_3h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824869	GSM2410396	shIGF2BP1	HepG2 cells	3h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075604	SRR5062109	2018-03-15T16:02:14Z	2016-11-30T08:05:28Z	30493281	1555157331	0	51	991		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062109.sralite.1	SRX2382587		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824861	simple	9606	Homo sapiens	GSM2410388							no					GEO	SRA499824		public	3925EF3A7A8B0B7A3F62847E6BE3BEE9	858CC9AED1EA4615E928393EA7570BE0	6075604	HepG2_shNS_3h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824861	GSM2410388	shNS (non-specific control)	HepG2 cells	3h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075605	SRR5062110	2018-03-15T16:02:14Z	2016-11-30T08:12:22Z	44531272	2271094872	0	51	1440		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062110.sralite.1	SRX2382588		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824862	simple	9606	Homo sapiens	GSM2410389							no					GEO	SRA499824		public	2112FAC3C25E264D15A489B36F23380A	A13FB3040FE82BCBB7B984531DF8E0EA	6075605	HepG2_shNS_3h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824862	GSM2410389	shNS (non-specific control)	HepG2 cells	3h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075606	SRR5062111	2018-03-15T16:02:14Z	2016-11-30T08:06:10Z	34662348	1767779748	0	51	1082		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062111.sralite.1	SRX2382589		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824863	simple	9606	Homo sapiens	GSM2410390							no					GEO	SRA499824		public	1A4A0DA86222A009C2C8E874C8FA3E47	E86F87812A7651DCBF41C35EB70D8070	6075606	HepG2_shNS_6h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824863	GSM2410390	shNS (non-specific control)	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075607	SRR5062116	2018-03-15T16:02:14Z	2016-11-30T08:05:57Z	21534348	1098251748	0	51	693		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062116/SRR5062116.sralite.1	SRX2382594		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824868	simple	9606	Homo sapiens	GSM2410395							no					GEO	SRA499824		public	6E7DC239BC6B9AA4A80B017AE7A56E6E	55D60330687B13F6D9707EEF685FF047	6075607	HepG2_shIGF2BP1_1h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824868	GSM2410395	shIGF2BP1	HepG2 cells	1h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075608	SRR5062115	2018-03-15T16:02:14Z	2016-11-30T08:08:19Z	38582858	1967725758	0	51	1198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062115/SRR5062115.sralite.1	SRX2382593		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824867	simple	9606	Homo sapiens	GSM2410394							no					GEO	SRA499824		public	9A32517B8E1742E1B660FB6C94BFF14C	CB45CAD4BF1826CCCEFA20EFAFB9E818	6075608	HepG2_shIGF2BP1_1h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824867	GSM2410394	shIGF2BP1	HepG2 cells	1h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075609	SRR5062114	2018-03-15T16:02:14Z	2016-11-30T08:05:29Z	24010634	1224542334	0	51	766		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062114/SRR5062114.sralite.1	SRX2382592		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824866	simple	9606	Homo sapiens	GSM2410393							no					GEO	SRA499824		public	EC30E42C624E0D8B3A9C573E5F89C3C4	605C2D75207BA8D09A75D4CA2D3A7DF4	6075609	HepG2_shIGF2BP1_0h_rep2 (RNA-seq_rep2)	Chen Lab, Systems Biology, City of Hope	9606	SRS1824866	GSM2410393	shIGF2BP1	HepG2 cells	0h	HepG2 cells	untreated
SAMN06075610	SRR5062113	2018-03-15T16:02:14Z	2016-11-30T08:06:50Z	33537570	1710416070	0	51	1039		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062113.sralite.1	SRX2382591		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824865	simple	9606	Homo sapiens	GSM2410392							no					GEO	SRA499824		public	FF99F162592330E2AD7069EFC362FF0C	9CC88138AA2E80D76A8EC470234BF9AA	6075610	HepG2_shIGF2BP1_0h_rep1 (RNA-seq_rep1)	Chen Lab, Systems Biology, City of Hope	9606	SRS1824865	GSM2410392	shIGF2BP1	HepG2 cells	0h	HepG2 cells	untreated
SAMN06075619	SRR5062108	2018-03-15T16:02:14Z	2016-11-30T08:23:05Z	48101722	2453187822	0	51	1545		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062108.sralite.1	SRX2382586		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824860	simple	9606	Homo sapiens	GSM2410387							no					GEO	SRA499824		public	24FEFAFA727C7297DC4EFACE38BDD088	00C37FDC3E76016DF7569EE110BCFAF6	6075619	HepG2_shNS_1h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824860	GSM2410387	shNS (non-specific control)	HepG2 cells	1h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075620	SRR5062107	2018-03-15T16:02:14Z	2016-11-30T08:05:58Z	30236512	1542062112	0	51	983		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062107/SRR5062107.sralite.1	SRX2382585		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824859	simple	9606	Homo sapiens	GSM2410386							no					GEO	SRA499824		public	1C11DE47DC070FF2AB2E33B62D752FD1	2B216AAC9B3B4791EBD7438CAE19CE2C	6075620	HepG2_shNS_1h_rep1	Chen Lab, Systems Biology, City of Hope	9606	SRS1824859	GSM2410386	shNS (non-specific control)	HepG2 cells	1h	HepG2 cells	5 μg/mL actinomycin D
SAMN06075621	SRR5062106	2018-03-15T16:02:14Z	2016-11-30T08:08:26Z	51005725	2601291975	0	51	1747		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062106/SRR5062106.sralite.1	SRX2382584		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824858	simple	9606	Homo sapiens	GSM2410385							no					GEO	SRA499824		public	DAEE7A384720656DA196506557D48006	52F7E3411D6B043077DB631505E41903	6075621	HepG2_shNS_0h_rep2 (RNA-seq_rep2)	Chen Lab, Systems Biology, City of Hope	9606	SRS1824858	GSM2410385	shNS (non-specific control)	HepG2 cells	0h	HepG2 cells	untreated
SAMN06075622	SRR5062105	2018-03-15T16:02:14Z	2016-11-30T08:15:07Z	27196059	1386999009	0	51	936		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/062/SRR5062105/SRR5062105.sralite.1	SRX2382583		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824857	simple	9606	Homo sapiens	GSM2410384							no					GEO	SRA499824		public	DCBE6DC9898000144B8B1013AA1FDB8C	96534A76B9F4CA16EF7AB9121CB8DAD7	6075622	HepG2_shNS_0h_rep1 (RNA-seq_rep1)	Chen Lab, Systems Biology, City of Hope	9606	SRS1824857	GSM2410384	shNS (non-specific control)	HepG2 cells	0h	HepG2 cells	untreated
SAMN06075623	SRR5062112	2018-03-15T16:02:14Z	2016-11-30T08:09:10Z	50134256	2556847056	0	51	1607		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/062/SRR5062112.sralite.1	SRX2382590		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1000	SRP094100	PRJNA355385	2	355385	SRS1824864	simple	9606	Homo sapiens	GSM2410391							no					GEO	SRA499824		public	21DFC734FAD643FA2ED845F664137532	398F52F1BDE8C9594089A559CA2CD336	6075623	HepG2_shNS_6h_rep2	Chen Lab, Systems Biology, City of Hope	9606	SRS1824864	GSM2410391	shNS (non-specific control)	HepG2 cells	6h	HepG2 cells	5 μg/mL actinomycin D
